mz_rt,row ID,6104_U2_HILICPOS_19,6110_U2_HILICPOS_34,6108_U2_HILICPOS_27,6111_U4_HILICPOS_42,6101_U3_HILICPOS_29,6104_U1_HILICPOS_55,6103_U4_HILICPOS_53,6110_U3_HILICPOS_45,6111_U2_HILICPOS_35,6111_U1_HILICPOS_51,6105_U3_HILICPOS_39,6109_U2_HILICPOS_13,6108_U1_HILICPOS_44,6109_U4_HILICPOS_22,6101_U4_HILICPOS_14,6101_U2_HILICPOS_30,6110_U4_HILICPOS_10,6105_U1_HILICPOS_43,6105_U4_HILICPOS_47,6102_U1_HILICPOS_26,6102_U2_HILICPOS_16,6104_U3_HILICPOS_32,6104_U4_HILICPOS_12,6113_U3_HILICPOS_15,6113_U2_HILICPOS_31,6109_U3_HILICPOS_52,6102_U4_HILICPOS_50,6102_U3_HILICPOS_48,6108_U4_HILICPOS_18,6106_U2_HILICPOS_46,6111_U3_HILICPOS_54,6110_U1_HILICPOS_11,6108_U3_HILICPOS_28,6106_U3_HILICPOS_20,6105_U2_HILICPOS_40,6112_U2_HILICPOS_37,6103_U1_HILICPOS_21,6113_U1_HILICPOS_24,6103_U3_HILICPOS_61,6101_U1_HILICPOS_59,6112_U1_HILICPOS_38,6109_U1_HILICPOS_58,6112_U3_HILICPOS_56,6106_U4_HILICPOS_36,6103_U2_HILICPOS_60,6106_U1_HILICPOS_23,6112_U4_HILICPOS_63,PooledQC5_HILICPOS_11_1,6113_U4_HILICPOS_62,PooledQC7_HILICPOS_25,PooledQC6_HILICPOS_17,PooledQC9_HILICPOS_41,PooledQC10_HILICPOS_49,PooledQC8_HILICPOS_33,PooledQC11_HILICPOS_57,PooledQC12_HILICPOS_64,...63
553.3887_0.421,152,3028.5269,4240.289,2162.1748,8723.304,3652.0537,6700.4805,7693.831,1657.0421,7980.3076,4490.841,2667.7397,5091.7617,2474.6897,12794.807,35113.754,7095.551,11833.322,3267.3357,3401.3992,2600.2043,21782.975,9275.653,5527.06,1310.1436,2137.2288,4805.69,2309.3333,3145.9307,2851.5688,2432.7378,1819.3951,3129.1228,1349.2411,2675.0063,2184.0356,82582.33,7890.8755,2554.247,2016.9866,4290.1616,8926.98,5940.5645,13360.059,16894.139,47777.246,2767.9062,22866.312,12415.603,5578.93,10222.376,10592.733,7716.291,8454.185,9393.586,12770.491,11555.754,NA
666.637_0.431,175,20290.463,NA,NA,1186.7206,1152.5675,1479.3018,3270.316,NA,1054.9924,1628.5261,1110.8351,1245.0419,1042.1241,NA,1913.7273,1001.4482,1189.1895,1236.0612,1349.2266,1953.2603,NA,1024.6862,1032.4008,1530.9446,1021.0328,1259.9274,1065.5208,1268.6744,NA,1141.8682,1083.5454,NA,1049.4261,2085.0334,1431.919,NA,1350.2322,1265.7,NA,5838.392,1467.3962,1917.6702,8552.371,1220.0753,2115.1775,2677.4746,1038.14,2398.3672,1148.8889,1406.2858,1490.0762,2229.889,1686.8583,1735.3844,2098.1084,2589.1729,NA
489.2284_0.496,309,1683.369,2050.1914,NA,1205.0459,NA,1635.1193,NA,1443.8546,1205.5146,2146.6333,1851.4225,1118.6702,1632.7766,NA,1349.204,2080.0005,NA,NA,2336.664,NA,NA,1829.1039,1884.3318,2542.0444,NA,1201.1473,1715.1992,1414.1335,1539.0005,NA,NA,1442.1436,1070.7942,1406.721,2685.6436,7434.799,1015.85474,NA,1426.6842,NA,4509.2026,1016.0333,26151.104,NA,2469.6516,NA,NA,88696.75,1094.8417,77386.98,74786.08,77551.01,72356.664,76594.016,99670.34,84920.68,NA
297.1938_0.496,545,NA,1599.5325,1799.4502,2850.32,2701.1572,2007.1744,3964.6025,2057.993,3538.2695,2447.4028,2023.8928,1824.9521,2700.1633,1344.1833,2641.8167,1678.3695,1977.2637,1768.9957,2622.553,1894.8479,2457.206,3871.28,3384.9927,2497.28,1910.1666,2427.0144,1599.1827,1774.0864,2952.0476,25437.336,2576.9004,2614.692,2473.2383,74386.59,2024.284,1724.414,2741.9604,3463.6858,2413.4832,2919.1372,1713.1218,2476.1333,2248.9062,59187.062,3977.9048,37535.867,3047.1409,36390.117,4318.888,48124.914,39532.293,47752.406,44379.65,47471.336,52964.37,55237.188,NA
356.2792_0.463,585,14118.352,28103.852,3339.6792,4978.4453,6235.1743,13785.761,50874.9,4228.8374,5645.857,10373.041,7825.771,19475.557,4346.8403,14121.107,26126.953,4579.6104,5948.297,17392.143,32645.76,4596.0005,3081.7786,12964.149,12985.05,4327.832,5538.4556,14896.544,35300.28,5965.3267,4320.8,2581.5955,5941.363,6673.0107,5078.003,2357.855,6530.8906,13519.372,88380.7,12136.007,19278.455,5752.0874,20275.572,44213.145,5961.164,3764.6458,85272.63,3087.5273,25350.12,12713.195,23069.39,14662.612,14895.599,19627.19,18681.383,16703.941,21915.918,21561.297,NA
349.1768_0.501,642,2741.6985,2862.3977,NA,1945.9017,2410.8462,2182.6123,19515.703,2315.2002,5014.493,1719.0929,3117.4402,5198.3647,3178.5645,1227.8513,1889.24,3738.0208,2277.7983,1815.522,1918.6226,1637.9698,1751.2769,2481.0115,1212.6426,1385.7697,3054.218,3397.8523,2774.5037,1791.3788,1557.9655,1561.1199,2896.3574,3481.5176,4748.1206,1783.1364,1134.1444,2330.0317,27983.54,1070.4164,10459.418,1997.5837,1555.8376,2824.1987,2770.8213,1991.5496,29774.773,7233.778,2018.7761,1777.04,2010.1456,3111.0593,4282.3257,3182.0051,4360.5503,3179.2656,4146.9907,3790.8591,NA
572.3994_0.467,670,7104.42,2696.3093,2943.8337,3344.0615,8334.938,5472.0225,6519.92,6366.8926,4017.9436,9176.513,12158.12,4141.4907,3869.1243,3100.7617,3104.0024,2557.94,13078.71,10141.049,9221.745,3964.5593,2118.4448,10324.516,49820.53,6412.4175,4157.403,3967.092,2725.9756,5589.0303,3590.8098,3795.6863,4510.204,20803.709,5863.1167,4946.5713,14298.197,3954.107,5750.7285,7572.44,6501.561,4688.1206,4462.285,4606.2695,3999.413,1841.4645,10026.708,2653.9617,6950.378,6444.782,6618.358,5836.142,5466.1836,6248.9746,5443.0073,5211.7856,6555.0005,7422.3286,NA
188.0705_0.471,715,42936.562,54497.574,2239.0623,3266.267,5990.557,5646.235,31743.93,3691.1614,2691.924,4114.7026,4918.617,35092.39,2500.7937,16774.03,41094.33,10264.5205,2255.7297,4599.065,34287.156,6131.102,8074.193,11083.014,3714.717,1669.905,3511.5632,12546.37,16048.517,4355.1733,10532.431,3583.4187,5557.7026,4579.8413,4712.3086,3695.6,2393.6404000000002,9358.081,13774.751,2096.6482,10382.993,4603.6714,21850.03,29808.738,17587.695,2776.269,98419.88,2534.462,22396.385,8245.96,12426.306,12057.179,8625.838,10947.042,15197.937,11124.891,15520.745,13912.306,NA
342.2636_0.484,736,18981.988,46345.11,14923.549,18744.598,16585.121,25611.908,22264.357,11417.112,15551.462,19251.53,19954.596,20499.572,11913.748,20255.584,24374.234,12906.809,18068.994,24197.016,39885.16,9559.448,7105.3877,18685.75,21166.338,9546.554,7970.3022,16420.885,35175.793,11258.784,14829.029,3857.3396,14293.163,16421.13,11954.041,4620.569,15331.03,22123.893,37780.074,25673.916,12511.558,26513.547,37607.6,43355.848,9205.918,4805.6147,32893.938,11142.486,34442.53,13245.137,19336.498,18763.361,17863.812,19419.832,19324.9,20585.736,23947.826,21669.7,NA
357.1666_0.506,741,2254.6292,1590.0057,36303.504,1585.4083,1871.7936,1342.3458,2362.7693,1148.7339,1623.0005,2056.5444,1430.012,1006.4153,7239.0664,1896.3778,1287.5099,1570.05,1143.4695,1618.8206,1441.4847,1929.3903,1447.3385,2181.5374,1129.404,1594.8016,2058.3137,2172.302,1363.7578,1698.6052,1570.9679,1224.255,2088.239,1918.6182,20213.588,NA,1289.5151,1878.504,1974.7812,2017.886,2772.4636,2323.5803,1628.3364,2124.658,1822.2961,1118.603,2394.5269,1306.9171,1698.7042,4640.465,1948.6963,4503.672,4244.3716,4938.11,4770.478,4741.882,5046.7163,4233.311,NA
313.1894_0.512,756,2574.1953,1361.7245,1120.7172,1571.5275,1680.4447,2740.9097,2112.559,NA,1310.649,1720.0118,2238.6667,2138.8584,2178.0688,1944.2031,2308.2688,2114.006,1838.0837,1411.6,1372.239,1435.1504,2212.1904,2192.1536,2220.125,2251.8218,1783.534,1636.9806,2470.2368,1050.0441,1334.9731,5797.9194,2060.692,1829.7052,1815.9672,18650.857,2567.6895,1728.8074,1434.6427,1918.6404,2562.0337,2208.0393,2024.4403,2716.2104,1182.7812,22227.195,2481.838,19850.69,2026.7803,6969.9204,2965.7622,6442.378,6927.185,9106.341,8346.122,8473.496,10943.566,8861.252,NA
324.2159_0.482,757,25105.324,99492.78,3901.3975,5312.945,7189.3677,20400.143,96102.56,5507.3013,5989.8545,6117.6074,5358.6562,50689.63,3130.0835,7314.1616,21599.379,8416.689,7138.45,9703.396,23248.086,3650.6697,4175.2144,23002.836,19293.639,3792.1802,9008.186,13242.076,18574.754,5094.704,7191.3213,2053.4968,3701.3337,8232.076,7353.248,3324.7476,5572.806,47551.74,144609.16,5129.6895,24890.771,4101.9624,37980.035,38299.22,11171.858,3850.0156,90189.12,2377.6038,49005.35,13493.869,25884.441,16764.875,14142.858,18995.781,17284.88,18688.521,20238.184,20389.848,NA
472.3114_0.479,770,4333.384,1762.9377,3133.5176,2890.0837,3745.2449,12195.182,6015.0015,2964.8713,2039.7783,4430.9507,3673.0757,2486.4883,3301.594,3067.3608,2168.7412,4741.416,2262.316,2130.8804,2175.221,2692.5972,2635.1118,34006.48,33384.93,2231.421,6692.267,2398.583,2793.0522,1924.0084,2614.8145,2094.293,2212.5378,2834.835,2260.99,3239.1877,3534.4377,4013.15,2500.5405,3885.4453,3020.873,2635.1128,4349.2495,2035.4979,4322.9697,1849.8104,3281.9758,1842.0726,4802.014,3884.4778,2326.3218,4031.8018,4659.169,3666.6348,5165.001,4458.9365,4166.658,3940.662,NA
568.4552_0.447,780,NA,NA,NA,1422.6064,NA,1078.0055,1086.1323,NA,NA,1255.6268,1047.8138,NA,NA,NA,1248.5696,1008.70593,NA,NA,NA,1204,NA,1396.1469,NA,NA,NA,1062.791,NA,1475.0706,NA,NA,NA,NA,NA,2210.3496,NA,NA,1523.9603,NA,NA,2243.9631,1309.0963,1081.4257,2713.0056,NA,1386.4685,1426.925,NA,20189.176,NA,20657.682,19898.695,16822.488,17703.885,21228.428,21408.357,22263.1,NA
