mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
138.0556_4.837,2615440.424770497,1632787.0841688993,1.6018257678108565,6.36e-4,0.6797172328993715,3.196542884351586,138.0556,4.837,2544313.6,138.0556_4.837,138.0556_4.837,1
138.055_4.139,111039.06656887266,30056.188805568072,3.694382787091824,7.7e-6,1.8853333564200114,5.113509274827518,138.055,4.139,68255.4335,138.055_4.139,138.055_4.139,1
144.1028_4.464,2183863.596302078,3318251.8785147713,0.6581367769102452,0.0376,-0.60354065247096,1.424812155072339,144.1028,4.464,3377211,Cluster_144.1028_4.464,144.1028_4.464;309.1782_4.452,2
146.0812_0.629,29273.558645693283,67835.88483153093,0.4315350012518239,0.00863,-1.212450515588491,2.0639892042847903,146.0812,0.629,28611.9895,146.0812_0.629,146.0812_0.629,1
146.0813_1.149,128434.64346706269,195911.16951065662,0.655575911204371,0.0144,-0.6091652505544348,1.8416375079047504,146.0813,1.149,117432.37,146.0813_1.149,146.0813_1.149,1
146.0921_5.109,139640.40355867753,85235.36957551254,1.6382917590914645,0.0178,0.7121923056431148,1.749579997691106,146.0921,5.109,119739.455,146.0921_5.109,146.0921_5.109,1
153.1273_3.887,5565.092311154216,22728.385662329805,0.24485207149480226,0.0141,-2.0300176933163354,1.85078088734462,153.1273,3.887,9961.310000000001,Cluster_153.1273_3.887,135.1169_3.89;153.1273_3.887;311.1486_3.895;347.1698_3.893,4
157.0971_5.014,11639.87141488223,3274.6789098999834,3.5545077044630733,0.0325,1.8296497619513807,1.4881166390211256,157.0971,5.014,4803.37615,157.0971_5.014,157.0971_5.014,1
160.0972_5.086,305497.65327323053,1290691.8012015976,0.23669295256142547,1.48e-4,-2.078911343846709,3.8297382846050425,160.0972,5.086,443546.985,160.0972_5.086,160.0972_5.086,1
160.1051_5.081,20398.914783684722,32890.45851344838,0.6202076743729168,0.013,-0.6891767170966975,1.8860566476931633,160.1051,5.081,29639.954,160.1051_5.081,160.1051_5.081,1
174.1125_0.823,65351.62265038753,105591.87887734472,0.6189076598049725,0.0281,-0.6922039175624842,1.5512936800949202,174.1125,0.823,64354.784,174.1125_0.823,174.1125_0.823,1
176.0108_4.197,21937.63504268453,5883.527650949323,3.728653342717754,4.85e-5,1.8986546742931927,4.314258261397736,176.0108,4.197,10911.203000000001,176.0108_4.197,176.0108_4.197,1
182.0811_5.07,94963.76095224704,10252.039564568911,9.26291401375802,4.08e-6,3.2114661213317826,5.38933983691012,182.0811,5.07,35063.5015,182.0811_5.07,182.0811_5.07,1
198.0529_5.13,184812.3098759923,476369.8519865508,0.387959710517554,0.00216,-1.3660212580795306,2.665546248849069,198.0529,5.13,234272.095,Cluster_198.0529_5.13,198.0529_5.13;198.0617_5.134,2
208.0968_0.848,18315.604583236705,11081.829696937273,1.6527599759359826,6.02e-4,0.7248772227123735,3.2204035087421756,208.0968,0.848,12621.7605,208.0968_0.848,208.0968_0.848,1
217.1656_3.908,67173.76724669174,146309.3868121149,0.45912137772099204,0.0303,-1.123052486156569,1.518557371497695,217.1656,3.908,100770.207,217.1656_3.908,217.1656_3.908,1
229.1553_4.5,1372137.6673106325,775849.4977934164,1.7685616491511713,0.00575,0.8225765098923713,2.2403321553103694,229.1553,4.5,722405.75,229.1553_4.5,229.1553_4.5,1
230.9901_5.64,27155.76173819301,6379.601380787647,4.256654940851535,0.0107,2.0897201450176555,1.9706162223147903,230.9901,5.64,7290.36035,230.9901_5.64,230.9901_5.64,1
231.0378_5.108,15058.21485654314,7123.609654680812,2.113846151950314,0.0344,1.0798703796083768,1.4634415574284698,231.0378,5.108,9334.01,231.0378_5.108,231.0378_5.108,1
234.1136_0.825,16670.891525904393,2964.9857880477625,5.6225873301338885,1.93e-6,2.4912341641440667,5.714442690992226,234.1136,0.825,11581.9795,234.1136_0.825,234.1136_0.825,1
238.1548_5.5,15159.125645205188,5715.354931685883,2.6523506984952263,0.0403,1.4072715437497352,1.3946949538588904,238.1548,5.5,4214.535,238.1548_5.5,238.1548_5.5,1
239.0726_0.758,866.816901558477,1316.0800140032843,0.6586354114760637,0.0178,-0.6024480144944705,1.749579997691106,239.0726,0.758,1452.5342500000002,Cluster_239.0726_0.758,177.1023_0.759;239.0726_0.758;433.1308_0.774;433.1762_0.76;435.137_0.773;455.1122_0.758;471.0862_0.773;478.1873_0.765,8
247.1759_4.792,10489.615963406548,36653.99046476732,0.286179371751881,0.00205,-1.8050084107466835,2.688246138944246,247.1759,4.792,20156.716,247.1759_4.792,247.1759_4.792,1
254.161_4.479,34190.441978409384,17145.13818202888,1.994177102302213,0.0106,0.9957935407627643,1.9746941347352298,254.161,4.479,12255.052500000002,254.161_4.479,254.161_4.479,1
255.0974_5.375,24883.817104049216,41796.20091524443,0.5953607399512064,0.0113,-0.7481640062391623,1.9469215565165803,255.0974,5.375,24128.6495,255.0974_5.375,255.0974_5.375,1
255.1338_4.731,49974.61956580852,28268.69724973836,1.7678430358608428,2.56e-4,0.8219901856807009,3.5917600346881504,255.1338,4.731,36639.4035,255.1338_4.731,255.1338_4.731,1
256.1125_1.174,1238.558692108952,574.0617116453856,2.1575357962107833,2.89e-4,1.1093844957135541,3.5391021572434522,256.1125,1.174,1308.37055,256.1125_1.174,256.1125_1.174,1
259.0977_3.914,17609.99968114445,842.4000231812745,20.904557450795544,1.18e-6,4.385745596757779,5.928117992693875,259.0977,3.914,1107.1612,Cluster_259.0977_3.914,259.0977_3.914;435.1274_3.904,2
261.1807_4.595,20236.311708101817,51958.96520247052,0.38946718105809447,0.026,-1.3604263319908827,1.585026652029182,261.1807,4.595,23205.513,261.1807_4.595,261.1807_4.595,1
262.1284_5.3,20820.634884716976,38729.560768272866,0.5375902662385258,9.27e-4,-0.8954210783788349,3.032920265855503,262.1284,5.3,22911.103499999997,262.1284_5.3,262.1284_5.3,1
272.1239_7.242,10481.143628774866,16939.998175276964,0.6187216503996762,0.0353,-0.6926375770538806,1.4522252946121774,272.1239,7.242,15520.682499999999,272.1239_7.242,272.1239_7.242,1
275.1025_4.835,84383.88114941363,34159.92287841448,2.4702597090093397,4.19e-4,1.304662726507626,3.377785977033705,275.1025,4.835,55108.002,Cluster_275.1025_4.835,275.1025_4.835;366.2019_4.828;378.2019_4.83,3
287.1968_4.478,236259.323743654,761218.2831522127,0.31037000683339044,0.0204,-1.6879389480693001,1.6903698325741012,287.1968,4.478,323945.53,287.1968_4.478,287.1968_4.478,1
292.1576_1.593,30969.645838253105,8319.897427615399,3.7223590924881687,4.42e-6,1.8962172375471642,5.354577730650908,292.1576,1.593,19250.35,292.1576_1.593,292.1576_1.593,1
292.1577_0.516,36443.17318642433,12204.727929300196,2.985988167662,5.94e-6,1.578208448630801,5.2262135550188065,292.1577,0.516,19641.396,292.1577_0.516,292.1577_0.516,1
293.0895_4.725,23733.770221660307,15074.488007022432,1.5744329234003807,0.00524,0.6548322946984723,2.2806687130162735,293.0895,4.725,21126.272,293.0895_4.725,293.0895_4.725,1
299.1366_4.533,48526.7617343651,88348.87066987572,0.5492629545395112,0.00136,-0.8644311034213142,2.8664610916297826,299.1366,4.533,62870.1505,299.1366_4.533,299.1366_4.533,1
300.1564_3.706,2818.8523340798124,1514.3239949090512,1.8614592013046125,3.42e-4,0.896433996140787,3.465973893943865,300.1564,3.706,2020.2247499999999,300.1564_3.706,300.1564_3.706,1
303.1914_5.064,1278.8892478375544,9766.899829266054,0.13094116558925106,0.0109,-2.9330093684598117,1.9625735020593764,303.1914,5.064,1562.07115,303.1914_5.064,303.1914_5.064,1
305.0866_4.783,26613.970515583995,17335.583546921756,1.5352220733469213,0.00858,0.6184473597928852,2.0665127121512947,305.0866,4.783,25403.7555,Cluster_305.0866_4.783,305.0866_4.783;305.0866_4.789,2
305.1818_5.115,54214.06821499181,127800.16676749408,0.4242096828685918,0.0264,-1.2371505431677228,1.578396073130169,305.1818,5.115,76628.4825,305.1818_5.115,305.1818_5.115,1
306.1705_1.305,5617.963654774247,13027.845346819273,0.43122738297978513,0.0429,-1.2134793026160084,1.3675427078152758,306.1705,1.305,7017.0056,306.1705_1.305,306.1705_1.305,1
307.1868_5.097,5429.769867373419,15576.859206006726,0.3485792479449002,0.0495,-1.5204414111900943,1.3053948010664314,307.1868,5.097,7307.1383000000005,307.1868_5.097,307.1868_5.097,1
308.1524_4.919,21357.82185727412,9844.383364945752,2.1695438978256223,0.00105,1.1173917774589264,2.978810700930062,308.1524,4.919,20304.3545,308.1524_4.919,308.1524_4.919,1
312.2168_0.956,133409.66997313715,305161.58761375427,0.43717713954875265,0.0194,-1.1937101319423404,1.712198270069774,312.2168,0.956,175852.42,Cluster_312.2168_0.956,220.0969_0.954;312.2167_0.957;312.2168_0.956,3
313.0582_4.803,18366.59296595012,8291.819551409804,2.2150256469133325,0.00701,1.1473234032771198,2.1542819820333414,313.0582,4.803,14414.394499999999,313.0582_4.803,313.0582_4.803,1
319.1866_5.073,8442.341132510295,186550.50747910122,0.045254988831676425,4.24e-4,-4.465779348606674,3.3726341434072675,319.1866,5.073,13896.896499999999,Cluster_319.1866_5.073,319.1866_5.073;388.2448_5.078,2
325.1527_4.364,244510.1513352427,673480.3745600199,0.36305460496154696,0.00503,-1.4617415428574165,2.2984320149440727,325.1527,4.364,495703.65,Cluster_325.1527_4.364,325.1527_4.364;327.1515_4.359,2
327.1515_4.429,22561.62581552608,52474.687970053375,0.42995254832961954,0.00847,-1.2177506491821546,2.0721165896692932,327.1515,4.429,44917.748,327.1515_4.429,327.1515_4.429,1
337.1424_2.92,8471.159220493071,1889.7216728454046,4.482754969803474,0.0455,2.1643856429285093,1.3419886033428876,337.1424,2.92,2850.3958,337.1424_2.92,337.1424_2.92,1
339.166_4.664,7107.602325109676,4175.327251446512,1.702286287295756,2.52e-4,0.7674736871584261,3.598599459218456,339.166,4.664,4675.3892,339.166_4.664,339.166_4.664,1
341.1373_2.931,17776.511041367874,6967.992570296448,2.5511667617365994,0.0484,1.351157206453927,1.3151546383555874,341.1373,2.931,11800.029999999999,341.1373_2.931,341.1373_2.931,1
341.1704_5.083,11201.377846195583,5105.319215380926,2.1940602288783246,0.0281,1.1336031295293634,1.5512936800949202,341.1704,5.083,5094.3957,341.1704_5.083,341.1704_5.083,1
347.2191_4.123,15660.3518748315,32158.682877982636,0.4869711839334478,0.00474,-1.038091690190226,2.3242216583259148,347.2191,4.123,18325.315499999997,347.2191_4.123,347.2191_4.123,1
357.142_5.129,13030.091819883508,124662.60148628945,0.10452286142381341,0.00201,-3.258109569274478,2.696803942579511,357.142,5.129,15754.7645,Cluster_357.142_5.129,341.147_5.13;357.142_5.129,2
364.196_3.866,3815.6308123958443,11777.643042491942,0.323972360057919,0.0253,-1.626057361124215,1.596879478824182,364.196,3.866,4803.445,364.196_3.866,364.196_3.866,1
365.1337_4.633,2070.258672016331,919.25487198042,2.252105194238695,0.0163,1.1712742162556489,1.7878123955960423,365.1337,4.633,1171.39165,365.1337_4.633,365.1337_4.633,1
378.1755_3.998,3128.747406324804,9944.26557131635,0.31462830350684645,0.00791,-1.6682796355378997,2.1018235165023236,378.1755,3.998,4272.0286,378.1755_3.998,378.1755_3.998,1
