mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
104.0706_5.342,20476.72439038428,65497.39880158304,0.31263416204384237,8.55e-4,-1.6774526623002923,3.068033885271827,104.0706,5.342,33772.9735,104.0706_5.342,104.0706_5.342,1
124.0759_2.019,7670.227822375334,18598.210997834023,0.41241750742953825,0.035,-1.2778225174052547,1.4559319556497243,124.0759,2.019,9234.012999999999,124.0759_2.019,124.0759_2.019,1
130.0499_4.245,28943.11438202865,59823.73631759941,0.48380653171463545,0.0408,-1.0474978480815076,1.38933983691012,130.0499,4.245,32379.659,Cluster_130.0499_4.245,130.0499_4.245;220.0637_4.25;258.0196_4.237,3
141.0661_5.379,282929.14902526897,622176.9209696428,0.45474066859364204,0.00427,-1.1368840612146733,2.369572124974976,141.0661,5.379,500797.12,141.0661_5.379,141.0661_5.379,1
143.0816_5.378,48826.92837658922,87223.56199260935,0.5597905802187537,0.00608,-0.8370408844789108,2.216096420727265,143.0816,5.378,69435.735,Cluster_143.0816_5.378,143.0816_5.378;181.0374_5.376,2
144.102_5.362,71566.55046435283,140367.9831318623,0.5098495316921587,0.00727,-0.9718565574326653,2.1384655891409623,144.102,5.362,118750.4225,144.102_5.362,144.102_5.362,1
146.0925_2.629,80538.86454609032,196984.34915245962,0.40885920578266755,0.00797,-1.2903239707636693,2.0985416786038877,146.0925,2.629,81705.557,146.0925_2.629,146.0925_2.629,1
146.1176_5.027,67871.8534952014,149806.237615847,0.4530642687205549,0.00443,-1.1422123788591607,2.3535962737769305,146.1176,5.027,80582.822,146.1176_5.027,146.1176_5.027,1
146.1176_5.061,69368.19208219255,159568.5498250993,0.43472345996893486,0.00426,-1.2018301417429942,2.370590400897281,146.1176,5.061,87067.045,146.1176_5.061,146.1176_5.061,1
151.123_0.863,23214.992209216303,45272.84352775018,0.5127796356547956,0.0341,-0.9635891264627168,1.4672456210075022,151.123,0.863,24149.9485,151.123_0.863,151.123_0.863,1
158.1176_4.212,30127.685952438245,51128.37634570371,0.5892556757275133,0.0341,-0.7630343452651203,1.4672456210075022,158.1176,4.212,38009.8075,158.1176_4.212,158.1176_4.212,1
162.1128_5.221,436456.86430729425,779006.8604695399,0.5602734538746212,0.0231,-0.8357969565414897,1.6363880201078558,162.1128,5.221,557485.28,Cluster_162.1128_5.221,162.1128_5.221;200.0685_5.215,2
162.1129_5.651,910500.9822658146,1596070.222900095,0.5704642372259875,0.0179,-0.8097916490288611,1.747146969020107,162.1129,5.651,900006.68,Cluster_162.1129_5.651,162.1129_5.651;163.1159_5.649,2
165.1386_0.836,9568.488634188925,18033.35758438817,0.530599395559735,0.0267,-0.9143050627875261,1.5734887386354248,165.1386,0.836,6545.09175,165.1386_0.836,165.1386_0.836,1
169.0608_5.613,97438.98848716877,179114.48993793532,0.544003941394871,0.0223,-0.8783109908194027,1.6516951369518393,169.0608,5.613,120009.4325,169.0608_5.613,169.0608_5.613,1
170.0932_7.795,2458066.1487766136,3777681.666523132,0.6506811229118059,0.015,-0.6199773949697045,1.8239087409443189,170.0932,7.795,3504471.4,170.0932_7.795,170.0932_7.795,1
171.0765_5.52,113899.32734785738,217461.44231020863,0.5237679201326185,6.71e-4,-0.9330003950363561,3.173277479831008,171.0765,5.52,145522.015,171.0765_5.52,171.0765_5.52,1
171.0765_5.569,110751.10201628631,180669.2719546248,0.6130046400148307,0.00124,-0.7060301007412062,2.906578314837765,171.0765,5.569,133186.915,171.0765_5.569,171.0765_5.569,1
176.0708_1.349,3086.9867720685274,9632.972940820891,0.3204604425895402,0.0454,-1.6417818123087176,1.342944147142896,176.0708,1.349,4062.7892,176.0708_1.349,176.0708_1.349,1
182.0811_5.07,66177.2085844508,28176.83799324401,2.3486385732962005,0.0263,1.2318247173382373,1.5800442515102422,182.0811,5.07,35063.5015,182.0811_5.07,182.0811_5.07,1
184.0621_3.682,6827.356354445952,10435.34236810904,0.6542532207961586,0.0415,-0.6120789734127404,1.3819519032879073,184.0621,3.682,7061.8932,184.0621_3.682,184.0621_3.682,1
188.0705_0.471,24257.871436484478,5645.7339724435105,4.296672771846087,0.00115,2.1032199078050597,2.939302159646388,188.0705,0.471,8435.899,188.0705_0.471,188.0705_0.471,1
200.107_1.003,11742.007649918785,19131.010410506333,0.6137682954513647,0.0135,-0.7042339703870247,1.869666231504994,200.107,1.003,9017.509,200.107_1.003,200.107_1.003,1
202.1187_4.623,171263.252671781,267438.62563048553,0.6403833861620719,0.0184,-0.6429922152226104,1.7351821769904636,202.1187,4.623,218229.97999999998,202.1187_4.623,202.1187_4.623,1
205.0684_5.668,97598.6113418361,248842.1140199804,0.3922109877831997,0.0159,-1.350298141717618,1.7986028756795485,205.0684,5.668,112450.747,205.0684_5.668,205.0684_5.668,1
205.1261_3.722,44787.08628930984,89504.6236266346,0.500388521559932,0.00234,-0.9988793990656758,2.630784142589857,205.1261,3.722,55414.0465,205.1261_3.722,205.1261_3.722,1
208.0968_0.848,41382.42263813915,13316.818676225404,3.107530683136764,0.0046,1.6357686362305226,2.337242168318426,208.0968,0.848,12621.7605,208.0968_0.848,208.0968_0.848,1
213.0984_6.64,11113.760058857992,19364.97892622882,0.5739102583687815,0.0321,-0.8011029327743935,1.493494967595128,213.0984,6.64,18719.6725,213.0984_6.64,213.0984_6.64,1
217.1548_5.348,100261.5541055918,171302.78144650234,0.5852885356499793,0.00353,-0.7727800747583158,2.452225294612177,217.1548,5.348,173927.77000000002,217.1548_5.348,217.1548_5.348,1
217.1647_5.35,8191.376755659104,13742.601931409155,0.5960571947396257,0.00232,-0.7464773235820585,2.6345120151091,217.1647,5.35,12533.6655,217.1647_5.35,217.1647_5.35,1
218.1387_2.855,28464.491074796162,46027.43312921534,0.6184244729634658,0.0169,-0.6933306826032325,1.7721132953863266,218.1387,2.855,31124.425499999998,218.1387_2.855,218.1387_2.855,1
220.0637_4.274,19427.278331834827,42233.732756430545,0.45999434726443433,0.0368,-1.1203119624648339,1.4341521813264824,220.0637,4.274,24025.644500000002,Cluster_220.0637_4.274,220.0637_4.274;258.0197_4.277,2
221.0422_5.654,43604.75331432069,99617.20548861711,0.4377231131955739,0.0282,-1.1919095299365654,1.5497508916806388,221.0422,5.654,48921.115,Cluster_221.0422_5.654,129.0547_5.652;147.0652_5.654;165.0758_5.654;183.0863_5.651;221.0422_5.654,5
230.1247_5.055,32087.08852546287,67162.78817148763,0.47775098978223607,0.00519,-1.0656692327731823,2.284832642151542,230.1247,5.055,46335.193,230.1247_5.055,230.1247_5.055,1
234.1136_0.825,64045.984997994026,4087.980350630392,15.666901380315524,2.88e-5,3.9696479648509944,4.540607512240769,234.1136,0.825,11581.9795,234.1136_0.825,234.1136_0.825,1
241.0948_5.126,51982.10229071783,80573.36611129994,0.6451524219419157,0.0194,-0.6322880469074638,1.712198270069774,241.0948,5.126,64539.615000000005,241.0948_5.126,241.0948_5.126,1
241.1294_5.434,28362.55531300398,50416.75198904728,0.5625621285394499,9.36e-4,-0.829915660626778,3.028724151261895,241.1294,5.434,35291.148,241.1294_5.434,241.1294_5.434,1
246.1703_1.784,128244.97224888773,295106.43811666843,0.4345719228198841,0.0219,-1.2023331281846317,1.6595558851598817,246.1703,1.784,164752.83,246.1703_1.784,246.1703_1.784,1
247.1398_7.906,73553.12667426313,45662.87107421227,1.6107862896908742,0.0291,0.6877650978587065,1.5361070110140926,247.1398,7.906,58326.2405,247.1398_7.906,247.1398_7.906,1
255.0974_5.375,17585.325132621907,31255.918887391967,0.5626238408148508,0.00244,-0.8297574076869136,2.612610173661271,255.0974,5.375,24128.6495,255.0974_5.375,255.0974_5.375,1
255.145_7.703,17982.557372405816,30645.78408286309,0.5867873154683465,0.0133,-0.7690904101553793,1.8761483590329142,255.145,7.703,26116.6935,255.145_7.703,255.145_7.703,1
262.1284_5.3,17029.20882807401,31707.506908137624,0.5370718321503707,0.00622,-0.8968130365527616,2.2062096153091812,262.1284,5.3,22911.103499999997,262.1284_5.3,262.1284_5.3,1
262.1648_4.112,60080.81775688592,95219.4828822571,0.630971897118769,0.026,-0.6643523444977094,1.585026652029182,262.1648,4.112,70441.008,262.1648_4.112,262.1648_4.112,1
271.1654_0.513,212166.1513141023,327297.6111695553,0.6482361742756211,3.69e-4,-0.625408563599315,3.43297363384094,271.1654,0.513,227863.505,271.1654_0.513,271.1654_0.513,1
280.1183_0.99,8461.706608517954,2509.413437588908,3.3719858520595642,0.00114,1.7535984831345843,2.9430951486635273,280.1183,0.99,2583.06025,280.1183_0.99,280.1183_0.99,1
284.0796_7.959,26502.99681365366,17132.86789915576,1.5469095407523465,0.00634,0.6293888341988959,2.197910742118267,284.0796,7.959,18146.131999999998,284.0796_7.959,284.0796_7.959,1
284.1853_1.366,25685.207428146805,43264.0681278662,0.5936845178829374,9.06e-4,-0.7522316039211637,3.042871802323187,284.1853,1.366,31409.754,284.1853_1.366,284.1853_1.366,1
284.1854_1.331,28164.266210127334,46388.701952568095,0.6071363289907307,9.64e-4,-0.719907593109224,3.015922966097169,284.1854,1.331,34509.19,284.1854_1.331,284.1854_1.331,1
286.146_3.481,491.25807625780016,829.7298905740063,0.5920698794133454,0.0215,-0.7561606340103298,1.6675615400843946,286.146,3.481,506.41945,286.146_3.481,286.146_3.481,1
286.2017_0.511,602964.694925532,1024147.594120451,0.5887478507854764,0.00295,-0.7642782066872823,2.530177984021837,286.2017,0.511,623009.15,Cluster_286.2017_0.511,284.1855_0.513;286.2017_0.511,2
286.2017_1.13,471689.87872693583,949127.0722890934,0.4969723154027414,0.00173,-1.0087626083787233,2.7619538968712045,286.2017,1.13,497334.45,Cluster_286.2017_1.13,286.2017_1.13;286.2135_1.115,2
286.2374_0.512,28149.812528777144,44218.14096946227,0.6366123023629111,0.00726,-0.6515130579473505,2.1390633792999063,286.2374,0.512,28082.92,286.2374_0.512,286.2374_0.512,1
287.1598_3.82,6432.89976808005,12310.134643163106,0.5225694076102411,0.00151,-0.9363054263734477,2.8210230527068307,287.1598,3.82,9352.059,287.1598_3.82,287.1598_3.82,1
288.1598_0.546,8180.450383482763,12468.046831017233,0.6561132224120257,0.00406,-0.6079832993768439,2.3914739664228057,288.1598,0.546,9775.034500000002,288.1598_0.546,288.1598_0.546,1
288.2081_1.122,14305.477520890945,25128.351354610866,0.5692963027702171,8.94e-4,-0.8127483645459602,3.048662481204082,288.2081,1.122,20870.451999999997,288.2081_1.122,288.2081_1.122,1
292.1576_1.593,57600.70704161092,9235.743194924982,6.2367159659942,7.12e-5,2.640786556851944,4.147520006363144,292.1576,1.593,19250.35,292.1576_1.593,292.1576_1.593,1
292.1577_0.516,70896.60657410059,12602.885838699507,5.625426388962389,1.6e-5,2.49196245205017,4.795880017344075,292.1577,0.516,19641.396,292.1577_0.516,292.1577_0.516,1
299.135_8.024,10139.555781222254,16902.005007179792,0.599902542740644,0.0221,-0.7371999483742729,1.6556077263148892,299.135,8.024,12444.8295,299.135_8.024,299.135_8.024,1
306.0641_1.47,16258.65020775863,38670.619052164955,0.42043935696572193,0.0204,-1.250030369826994,1.6903698325741012,306.0641,1.47,21241.627999999997,Cluster_306.0641_1.47,289.0375_1.473;289.0376_1.482;306.0641_1.47,3
306.064_1.508,14546.997878256509,36622.1092230708,0.39721900750305084,0.0393,-1.3319934353285057,1.4056074496245732,306.064,1.508,14947.55,306.064_1.508,306.064_1.508,1
308.1524_4.919,26136.009256584162,11034.900765550152,2.3684861161758834,2.81e-4,1.2439652150128637,3.55129368009492,308.1524,4.919,20304.3545,308.1524_4.919,308.1524_4.919,1
