mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
104.0706_5.342,37264.83373422317,20476.72439038428,1.8198630319858415,0.0125,0.8638298732203001,1.9030899869919435,104.0706,5.342,33772.9735,104.0706_5.342,104.0706_5.342,1
142.0863_0.641,39457.19208176463,25646.200798035756,1.5385199699749157,0.0435,0.621543169961218,1.3615107430453628,142.0863,0.641,24978.7805,142.0863_0.641,142.0863_0.641,1
143.0816_5.378,105486.88013142253,48826.92837658922,2.1604242502790685,0.0074,1.1113146474226288,2.1307682802690238,143.0816,5.378,69435.735,Cluster_143.0816_5.378,143.0816_5.378;181.0374_5.376,2
146.0925_2.629,178981.6408226282,80538.86454609032,2.2223015165579048,0.012,1.1520545714218122,1.9208187539523751,146.0925,2.629,81705.557,146.0925_2.629,146.0925_2.629,1
147.0474_4.904,39696.06607936677,22265.61797241481,1.7828414252210196,0.0209,0.8341783882006317,1.679853713888946,147.0474,4.904,25228.875,147.0474_4.904,147.0474_4.904,1
229.1553_4.5,1372137.6673106325,768754.9245954325,1.7848830926614725,0.0219,0.8358295828476708,1.6595558851598817,229.1553,4.5,722405.75,229.1553_4.5,229.1553_4.5,1
230.1247_5.055,65950.79651098166,32087.08852546287,2.055368671378398,0.00236,1.0393971932572268,2.6270879970298933,230.1247,5.055,46335.193,230.1247_5.055,230.1247_5.055,1
230.1863_4.368,42143.93284412301,25488.86910680977,1.6534249780765506,0.0151,0.7254575866766774,1.8210230527068305,230.1863,4.368,30757.0965,230.1863_4.368,230.1863_4.368,1
243.1339_2.784,63678.58433732499,38274.331640100034,1.6637412492556476,0.0322,0.7344310780447962,1.4921441283041692,243.1339,2.784,49040.602,243.1339_2.784,243.1339_2.784,1
254.1498_4.993,31675.65436729442,19617.050670991215,1.6147001350276833,1.05e-5,0.6912662677822191,4.978810700930062,254.1498,4.993,24917.0045,254.1498_4.993,254.1498_4.993,1
259.0977_3.914,17609.99968114445,809.1230973201745,21.76430229154128,9.15e-9,4.443891866602084,8.038578905933552,259.0977,3.914,1107.1612,Cluster_259.0977_3.914,259.0977_3.914;435.1274_3.904,2
267.1102_4.521,25045.954669327723,15767.887932869908,1.5884153144643207,0.0359,0.6675881755665705,1.4449055514216809,267.1102,4.521,15963.127,267.1102_4.521,267.1102_4.521,1
267.1104_4.411,26908.644366856628,16058.772464527578,1.675635197291416,0.0433,0.7447080939389766,1.3635121036466347,267.1104,4.411,15508.956,267.1104_4.411,267.1104_4.411,1
286.1283_4.119,28010.32051631852,15383.486192991746,1.8208044759762698,0.0216,0.8645760092536344,1.665546248849069,286.1283,4.119,27267.179,286.1283_4.119,286.1283_4.119,1
431.0968_4.511,65251.905552091215,574.4249046312375,113.5951889028573,1.86e-9,6.827757923446793,8.730487055782083,431.0968,4.511,1404.652,Cluster_431.0968_4.511,431.0968_4.511;431.0968_4.517,2
433.1123_4.289,30825.825344232373,501.2117651295981,61.5025972829304,9.62e-8,5.942575432299919,7.016824927962187,433.1123,4.289,508.4029,433.1123_4.289,433.1123_4.289,1
433.2365_1.214,19228.371008088634,1171.2890348691326,16.41641852323582,7.05e-7,4.037067511750281,6.151810883008602,433.2365,1.214,1603.8139,433.2365_1.214,433.2365_1.214,1
447.0919_4.001,14926.461239542969,492.54691712427893,30.30464859406833,2.63e-7,4.921467208361488,6.580044251510242,447.0919,4.001,508.4029,447.0919_4.001,447.0919_4.001,1
449.1074_3.962,8215.425862830441,2924.3829370553813,2.8092852542433158,0.0451,1.4902031228580221,1.3458234581220394,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1
461.1072_4.293,32497.107405034938,509.6543422593719,63.763034493085115,8.73e-11,5.994648383938968,10.05898575629443,461.1072,4.293,503.87175,461.1072_4.293,461.1072_4.293,1
469.0527_4.611,10963.790814262398,496.12986774375094,22.098630876875873,9.77e-9,4.465885084941717,8.010105436281227,469.0527,4.611,504.88935000000004,469.0527_4.611,469.0527_4.611,1
607.1285_8.059,68117.44026435493,731.1173251249419,93.1689592401797,3.46e-10,6.541777472412676,9.460923901207224,607.1285,8.059,1345.5619000000002,Cluster_607.1285_8.059,431.0967_8.053;607.1285_8.059,2
86.06_5.38,17288.027018557787,11067.518853997997,1.562050830599011,0.0478,0.6434414008934278,1.320572103387881,86.06,5.38,14867.764500000001,86.06_5.38,86.06_5.38,1
