mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
144.1021_3.801,348206.52694336924,907921.7075055961,0.38352043360657617,0.0366,-1.3826246496818604,1.4365189146055892,144.1021,3.801,476113.61,144.1021_3.801,144.1021_3.801,1
153.1273_3.887,5565.092311154216,22173.3200451747,0.25098146329986687,0.0431,-1.9943472796870196,1.3655227298392685,153.1273,3.887,9961.310000000001,Cluster_153.1273_3.887,135.1169_3.89;153.1273_3.887;311.1486_3.895;347.1698_3.893,4
188.0705_0.471,11203.310047084546,24257.871436484478,0.461842255056001,0.00229,-1.1145279201059564,2.640164517660112,188.0705,0.471,8435.899,188.0705_0.471,188.0705_0.471,1
208.0968_0.848,18315.604583236705,41382.42263813915,0.442593821618277,0.00587,-1.1759447828873586,2.2313618987523856,208.0968,0.848,12621.7605,208.0968_0.848,208.0968_0.848,1
234.1136_0.825,16670.891525904393,64045.984997994026,0.26029565360617907,1.28e-4,-1.9417768729385112,3.8927900303521317,234.1136,0.825,11581.9795,234.1136_0.825,234.1136_0.825,1
274.204_0.853,4624.889922676979,7750.256971510314,0.596740203541369,0.029,-0.7448251175657232,1.537602002101044,274.204,0.853,6725.67275,274.204_0.853,274.204_0.853,1
280.1183_0.99,2918.6631808637835,8461.706608517954,0.3449260670330639,0.03,-1.5356409334464645,1.5228787452803376,280.1183,0.99,2583.06025,280.1183_0.99,280.1183_0.99,1
303.1914_5.064,1278.8892478375544,20894.17988013374,0.06120791795487158,0.0215,-4.030137895429773,1.6675615400843946,303.1914,5.064,1562.07115,303.1914_5.064,303.1914_5.064,1
312.2284_1.053,57152.46854967482,194950.36849581965,0.29316419861448145,0.0375,-1.7702191634313602,1.4259687322722812,312.2284,1.053,77971.2775,312.2284_1.053,312.2284_1.053,1
324.2159_0.482,14596.646182412303,31347.50191277129,0.46563985299464905,0.0291,-1.1027135545595192,1.5361070110140926,324.2159,0.482,10437.627,324.2159_0.482,324.2159_0.482,1
406.1702_4.529,624.8336279234303,1015.9980594059832,0.6149949029319481,0.0333,-0.7013536414196707,1.47755576649368,406.1702,4.529,1035.3294,406.1702_4.529,406.1702_4.529,1
540.4236_0.454,540.1746870613563,1253.9848020208983,0.43076653416438615,1.82e-4,-1.2150219222347745,3.7399286120149253,540.4236,0.454,1112.4715,Cluster_540.4236_0.454,540.4236_0.454;568.4552_0.447,2
