mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
104.0706_5.342,37264.83373422317,20476.72439038428,1.8198630319858415,0.0125,0.8638298732203001,1.9030899869919435,104.0706,5.342,33772.9735,104.0706_5.342,104.0706_5.342,1,20476.72439038428,65497.39880158304,0.31263416204384237,8.55e-4,-1.6774526623002923,3.068033885271827,104.0706,5.342,33772.9735,104.0706_5.342,104.0706_5.342,1
143.0816_5.378,105486.88013142253,48826.92837658922,2.1604242502790685,0.0074,1.1113146474226288,2.1307682802690238,143.0816,5.378,69435.735,Cluster_143.0816_5.378,143.0816_5.378;181.0374_5.376,2,48826.92837658922,87223.56199260935,0.5597905802187537,0.00608,-0.8370408844789108,2.216096420727265,143.0816,5.378,69435.735,Cluster_143.0816_5.378,143.0816_5.378;181.0374_5.376,2
146.0925_2.629,178981.6408226282,80538.86454609032,2.2223015165579048,0.012,1.1520545714218122,1.9208187539523751,146.0925,2.629,81705.557,146.0925_2.629,146.0925_2.629,1,80538.86454609032,196984.34915245962,0.40885920578266755,0.00797,-1.2903239707636693,2.0985416786038877,146.0925,2.629,81705.557,146.0925_2.629,146.0925_2.629,1
230.1247_5.055,65950.79651098166,32087.08852546287,2.055368671378398,0.00236,1.0393971932572268,2.6270879970298933,230.1247,5.055,46335.193,230.1247_5.055,230.1247_5.055,1,32087.08852546287,67162.78817148763,0.47775098978223607,0.00519,-1.0656692327731823,2.284832642151542,230.1247,5.055,46335.193,230.1247_5.055,230.1247_5.055,1
449.1074_3.962,8215.425862830441,2924.3829370553813,2.8092852542433158,0.0451,1.4902031228580221,1.3458234581220394,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1,2924.3829370553813,1529.1800869341596,1.912386227130679,0.00767,0.9353739206487893,2.1152046360510193,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1
86.06_5.38,17288.027018557787,11067.518853997997,1.562050830599011,0.0478,0.6434414008934278,1.320572103387881,86.06,5.38,14867.764500000001,86.06_5.38,86.06_5.38,1,11067.518853997997,33520.95586635692,0.33016716164427273,0.00129,-1.5987314576430682,2.889410289700751,86.06,5.38,14867.764500000001,86.06_5.38,86.06_5.38,1
188.0705_0.471,11203.310047084546,24257.871436484478,0.461842255056001,0.00229,-1.1145279201059564,2.640164517660112,188.0705,0.471,8435.899,188.0705_0.471,188.0705_0.471,1,24257.871436484478,5645.7339724435105,4.296672771846087,0.00115,2.1032199078050597,2.939302159646388,188.0705,0.471,8435.899,188.0705_0.471,188.0705_0.471,1
208.0968_0.848,18315.604583236705,41382.42263813915,0.442593821618277,0.00587,-1.1759447828873586,2.2313618987523856,208.0968,0.848,12621.7605,208.0968_0.848,208.0968_0.848,1,41382.42263813915,13316.818676225404,3.107530683136764,0.0046,1.6357686362305226,2.337242168318426,208.0968,0.848,12621.7605,208.0968_0.848,208.0968_0.848,1
234.1136_0.825,16670.891525904393,64045.984997994026,0.26029565360617907,1.28e-4,-1.9417768729385112,3.8927900303521317,234.1136,0.825,11581.9795,234.1136_0.825,234.1136_0.825,1,64045.984997994026,4087.980350630392,15.666901380315524,2.88e-5,3.9696479648509944,4.540607512240769,234.1136,0.825,11581.9795,234.1136_0.825,234.1136_0.825,1
280.1183_0.99,2918.6631808637835,8461.706608517954,0.3449260670330639,0.03,-1.5356409334464645,1.5228787452803376,280.1183,0.99,2583.06025,280.1183_0.99,280.1183_0.99,1,8461.706608517954,2509.413437588908,3.3719858520595642,0.00114,1.7535984831345843,2.9430951486635273,280.1183,0.99,2583.06025,280.1183_0.99,280.1183_0.99,1
312.2284_1.053,57152.46854967482,194950.36849581965,0.29316419861448145,0.0375,-1.7702191634313602,1.4259687322722812,312.2284,1.053,77971.2775,312.2284_1.053,312.2284_1.053,1,194950.36849581965,65537.47099360391,2.9746397830158218,0.0347,1.5727149743966382,1.4596705252091262,312.2284,1.053,77971.2775,312.2284_1.053,312.2284_1.053,1
324.2159_0.482,14596.646182412303,31347.50191277129,0.46563985299464905,0.0291,-1.1027135545595192,1.5361070110140926,324.2159,0.482,10437.627,324.2159_0.482,324.2159_0.482,1,31347.50191277129,10449.378261554617,2.99993943449297,0.00226,1.5849333745749348,2.6458915608525992,324.2159,0.482,10437.627,324.2159_0.482,324.2159_0.482,1
