mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
229.1553_4.5,1372137.6673106325,768754.9245954325,1.7848830926614725,0.0219,0.8358295828476708,1.6595558851598817,229.1553,4.5,722405.75,229.1553_4.5,229.1553_4.5,1,1372137.6673106325,775849.4977934164,1.7685616491511713,0.00575,0.8225765098923713,2.2403321553103694,229.1553,4.5,722405.75,229.1553_4.5,229.1553_4.5,1
259.0977_3.914,17609.99968114445,809.1230973201745,21.76430229154128,9.15e-9,4.443891866602084,8.038578905933552,259.0977,3.914,1107.1612,Cluster_259.0977_3.914,259.0977_3.914;435.1274_3.904,2,17609.99968114445,842.4000231812745,20.904557450795544,1.18e-6,4.385745596757779,5.928117992693875,259.0977,3.914,1107.1612,Cluster_259.0977_3.914,259.0977_3.914;435.1274_3.904,2
431.0968_4.511,65251.905552091215,574.4249046312375,113.5951889028573,1.86e-9,6.827757923446793,8.730487055782083,431.0968,4.511,1404.652,Cluster_431.0968_4.511,431.0968_4.511;431.0968_4.517,2,65251.905552091215,2341.042954608225,27.873006526277585,2.46e-7,4.800796722252298,6.609064892896621,431.0968,4.511,1404.652,Cluster_431.0968_4.511,431.0968_4.511;431.0968_4.517,2
433.1123_4.289,30825.825344232373,501.2117651295981,61.5025972829304,9.62e-8,5.942575432299919,7.016824927962187,433.1123,4.289,508.4029,433.1123_4.289,433.1123_4.289,1,30825.825344232373,1172.92621433166,26.281129168723627,6.9e-7,4.715955357272164,6.161150909262744,433.1123,4.289,508.4029,433.1123_4.289,433.1123_4.289,1
433.2365_1.214,19228.371008088634,1171.2890348691326,16.41641852323582,7.05e-7,4.037067511750281,6.151810883008602,433.2365,1.214,1603.8139,433.2365_1.214,433.2365_1.214,1,19228.371008088634,1492.9814156773232,12.879176395752568,6.1e-6,3.686968433079431,5.214670164989233,433.2365,1.214,1603.8139,433.2365_1.214,433.2365_1.214,1
447.0919_4.001,14926.461239542969,492.54691712427893,30.30464859406833,2.63e-7,4.921467208361488,6.580044251510242,447.0919,4.001,508.4029,447.0919_4.001,447.0919_4.001,1,14926.461239542969,795.5038100842831,18.76353205393387,7.77e-8,4.229859521730974,7.1095789811990855,447.0919,4.001,508.4029,447.0919_4.001,447.0919_4.001,1
449.1074_3.962,8215.425862830441,2924.3829370553813,2.8092852542433158,0.0451,1.4902031228580221,1.3458234581220394,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1,8215.425862830441,3220.2984508095496,2.55113803528526,0.0156,1.3511409614389627,1.8068754016455384,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1
461.1072_4.293,32497.107405034938,509.6543422593719,63.763034493085115,8.73e-11,5.994648383938968,10.05898575629443,461.1072,4.293,503.87175,461.1072_4.293,461.1072_4.293,1,32497.107405034938,838.7559065440593,38.74441557011902,2.57e-9,5.2759164772771,8.590066876668706,461.1072,4.293,503.87175,461.1072_4.293,461.1072_4.293,1
469.0527_4.611,10963.790814262398,496.12986774375094,22.098630876875873,9.77e-9,4.465885084941717,8.010105436281227,469.0527,4.611,504.88935000000004,469.0527_4.611,469.0527_4.611,1,10963.790814262398,634.4171442267492,17.281674863351096,1.43e-7,4.111171138775181,6.844663962534939,469.0527,4.611,504.88935000000004,469.0527_4.611,469.0527_4.611,1
607.1285_8.059,68117.44026435493,731.1173251249419,93.1689592401797,3.46e-10,6.541777472412676,9.460923901207224,607.1285,8.059,1345.5619000000002,Cluster_607.1285_8.059,431.0967_8.053;607.1285_8.059,2,68117.44026435493,2326.604955211929,29.277613336016536,2.16e-8,4.871726047121592,7.665546248849069,607.1285,8.059,1345.5619000000002,Cluster_607.1285_8.059,431.0967_8.053;607.1285_8.059,2
