mz_rt,post.x,pre.x,FC_post_div_pre.x,p.x,log2_FC_post_div_pre.x,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post.y,pre.y,FC_post_div_pre.y,p.y,log2_FC_post_div_pre.y,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
182.0811_5.07,94963.76095224704,10252.039564568911,9.26291401375802,4.08e-6,3.2114661213317826,5.38933983691012,182.0811,5.07,35063.5015,182.0811_5.07,182.0811_5.07,1,66177.2085844508,28176.83799324401,2.3486385732962005,0.0263,1.2318247173382373,1.5800442515102422,182.0811,5.07,35063.5015,182.0811_5.07,182.0811_5.07,1
208.0968_0.848,18315.604583236705,11081.829696937273,1.6527599759359826,6.02e-4,0.7248772227123735,3.2204035087421756,208.0968,0.848,12621.7605,208.0968_0.848,208.0968_0.848,1,41382.42263813915,13316.818676225404,3.107530683136764,0.0046,1.6357686362305226,2.337242168318426,208.0968,0.848,12621.7605,208.0968_0.848,208.0968_0.848,1
234.1136_0.825,16670.891525904393,2964.9857880477625,5.6225873301338885,1.93e-6,2.4912341641440667,5.714442690992226,234.1136,0.825,11581.9795,234.1136_0.825,234.1136_0.825,1,64045.984997994026,4087.980350630392,15.666901380315524,2.88e-5,3.9696479648509944,4.540607512240769,234.1136,0.825,11581.9795,234.1136_0.825,234.1136_0.825,1
255.0974_5.375,24883.817104049216,41796.20091524443,0.5953607399512064,0.0113,-0.7481640062391623,1.9469215565165803,255.0974,5.375,24128.6495,255.0974_5.375,255.0974_5.375,1,17585.325132621907,31255.918887391967,0.5626238408148508,0.00244,-0.8297574076869136,2.612610173661271,255.0974,5.375,24128.6495,255.0974_5.375,255.0974_5.375,1
262.1284_5.3,20820.634884716976,38729.560768272866,0.5375902662385258,9.27e-4,-0.8954210783788349,3.032920265855503,262.1284,5.3,22911.103499999997,262.1284_5.3,262.1284_5.3,1,17029.20882807401,31707.506908137624,0.5370718321503707,0.00622,-0.8968130365527616,2.2062096153091812,262.1284,5.3,22911.103499999997,262.1284_5.3,262.1284_5.3,1
292.1576_1.593,30969.645838253105,8319.897427615399,3.7223590924881687,4.42e-6,1.8962172375471642,5.354577730650908,292.1576,1.593,19250.35,292.1576_1.593,292.1576_1.593,1,57600.70704161092,9235.743194924982,6.2367159659942,7.12e-5,2.640786556851944,4.147520006363144,292.1576,1.593,19250.35,292.1576_1.593,292.1576_1.593,1
292.1577_0.516,36443.17318642433,12204.727929300196,2.985988167662,5.94e-6,1.578208448630801,5.2262135550188065,292.1577,0.516,19641.396,292.1577_0.516,292.1577_0.516,1,70896.60657410059,12602.885838699507,5.625426388962389,1.6e-5,2.49196245205017,4.795880017344075,292.1577,0.516,19641.396,292.1577_0.516,292.1577_0.516,1
308.1524_4.919,21357.82185727412,9844.383364945752,2.1695438978256223,0.00105,1.1173917774589264,2.978810700930062,308.1524,4.919,20304.3545,308.1524_4.919,308.1524_4.919,1,26136.009256584162,11034.900765550152,2.3684861161758834,2.81e-4,1.2439652150128637,3.55129368009492,308.1524,4.919,20304.3545,308.1524_4.919,308.1524_4.919,1
341.1704_5.083,11201.377846195583,5105.319215380926,2.1940602288783246,0.0281,1.1336031295293634,1.5512936800949202,341.1704,5.083,5094.3957,341.1704_5.083,341.1704_5.083,1,15738.447599119241,3534.3620601057555,4.45298114100068,0.0172,2.1547715017780296,1.764471553092451,341.1704,5.083,5094.3957,341.1704_5.083,341.1704_5.083,1
449.1074_3.962,8215.425862830441,3220.2984508095496,2.55113803528526,0.0156,1.3511409614389627,1.8068754016455384,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1,2924.3829370553813,1529.1800869341596,1.912386227130679,0.00767,0.9353739206487893,2.1152046360510193,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1
593.3316_0.527,27743.29911674949,16138.417896151497,1.7190841937093098,0.0102,0.7816402038458732,1.9913998282380825,593.3316,0.527,7312.478499999999,593.3316_0.527,593.3316_0.527,1,23695.562771932513,12597.991548039685,1.8809000372459903,0.0297,0.9114231770898811,1.5272435506827877,593.3316,0.527,7312.478499999999,593.3316_0.527,593.3316_0.527,1
86.06_5.38,17288.027018557787,36659.72664221497,0.4715809036789165,0.0287,-1.0844227962591073,1.5421181032660076,86.06,5.38,14867.764500000001,86.06_5.38,86.06_5.38,1,11067.518853997997,33520.95586635692,0.33016716164427273,0.00129,-1.5987314576430682,2.889410289700751,86.06,5.38,14867.764500000001,86.06_5.38,86.06_5.38,1
