mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
553.3887_0.421,553.3887,0.421,5309.41085,553.3887_0.421,553.3887_0.421,1
666.637_0.431,666.637,0.431,1252.4846499999999,666.637_0.431,666.637_0.431,1
489.2284_0.496,489.2284,0.496,1434.4139,Cluster_489.2284_0.496,489.2284_0.496;644.3586_0.492,2
696.649_0.442,696.649,0.442,1178.7161,696.649_0.442,696.649_0.442,1
297.1938_0.496,297.1938,0.496,2618.6225,297.1938_0.496,297.1938_0.496,1
356.2792_0.463,356.2792,0.463,12838.671999999999,356.2792_0.463,356.2792_0.463,1
349.1768_0.501,349.1768,0.501,2445.9288500000002,349.1768_0.501,349.1768_0.501,1
376.3184_0.456,376.3184,0.456,3063.2033,376.3184_0.456,376.3184_0.456,1
572.3994_0.467,572.3994,0.467,5469.10325,572.3994_0.467,572.3994_0.467,1
188.0705_0.471,188.0705,0.471,8435.899,188.0705_0.471,188.0705_0.471,1
342.2636_0.484,342.2636,0.484,18753.9795,342.2636_0.484,342.2636_0.484,1
357.1666_0.506,357.1666,0.506,1887.4409999999998,357.1666_0.506,357.1666_0.506,1
313.1894_0.512,313.1894,0.512,2158.4636,313.1894_0.512,313.1894_0.512,1
324.2159_0.482,324.2159,0.482,10437.627,324.2159_0.482,324.2159_0.482,1
472.3114_0.479,472.3114,0.479,3100.4393,472.3114_0.479,472.3114_0.479,1
169.0495_0.477,169.0495,0.477,510.3926,169.0495_0.477,169.0495_0.477,1
328.248_0.503,328.248,0.503,47173.914000000004,328.248_0.503,328.248_0.503,1
540.4236_0.454,540.4236,0.454,1112.4715,Cluster_540.4236_0.454,540.4236_0.454;568.4552_0.447,2
269.1382_0.482,269.1382,0.482,18793.84,269.1382_0.482,269.1382_0.482,1
339.1871_0.5,339.1871,0.5,3941.4702500000003,339.1871_0.5,339.1871_0.5,1
316.2478_0.506,316.2478,0.506,35628.57,316.2478_0.506,316.2478_0.506,1
499.2371_0.507,499.2371,0.507,7318.757100000001,Cluster_499.2371_0.507,499.2371_0.507;559.2585_0.521,2
323.2063_0.497,323.2063,0.497,45405.357,Cluster_323.2063_0.497,323.2063_0.497;340.2326_0.493;381.248_0.489;398.2745_0.487;419.2034_0.496;456.3161_0.48,6
404.2075_0.528,404.2075,0.528,2269.72765,404.2075_0.528,404.2075_0.528,1
351.2162_0.499,351.2162,0.499,6059.6365000000005,351.2162_0.499,351.2162_0.499,1
270.1866_0.504,270.1866,0.504,2688.041,Cluster_270.1866_0.504,270.1866_0.504;575.3862_0.488;641.3626_0.498,3
580.3266_0.51,580.3266,0.51,1103.9407999999999,580.3266_0.51,580.3266_0.51,1
195.0875_0.506,195.0875,0.506,31960.3465,195.0875_0.506,195.0875_0.506,1
629.3142_0.507,629.3142,0.507,35764.388999999996,Cluster_629.3142_0.507,629.3142_0.507;673.3402_0.507;717.3663_0.506,3
256.1676_0.503,256.1676,0.503,3417.5820999999996,256.1676_0.503,256.1676_0.503,1
497.2358_0.508,497.2358,0.508,55429.5545,Cluster_497.2358_0.508,497.2358_0.508;511.215_0.513,2
541.2619_0.508,541.2619,0.508,54284.629,Cluster_541.2619_0.508,541.2619_0.508;585.288_0.508,2
629.3141_0.508,629.3141,0.508,34254.206999999995,629.3141_0.508,629.3141_0.508,1
146.0625_0.515,146.0625,0.515,3050.617,146.0625_0.515,146.0625_0.515,1
531.3637_0.503,531.3637,0.503,5941.222,531.3637_0.503,531.3637_0.503,1
318.1351_0.512,318.1351,0.512,4794.887,318.1351_0.512,318.1351_0.512,1
595.3943_0.51,595.3943,0.51,10493.1125,Cluster_595.3943_0.51,571.3939_0.505;595.3943_0.51,2
308.1855_0.51,308.1855,0.51,21656.8205,308.1855_0.51,308.1855_0.51,1
350.1607_0.52,350.1607,0.52,3006.5424999999996,350.1607_0.52,350.1607_0.52,1
274.2017_0.511,274.2017,0.511,37796.0465,274.2017_0.511,274.2017_0.511,1
286.2017_0.511,286.2017,0.511,623009.15,Cluster_286.2017_0.511,284.1855_0.513;286.2017_0.511,2
325.1744_0.519,325.1744,0.519,4956.94325,Cluster_325.1744_0.519,308.165_0.523;308.2016_0.522;325.1744_0.519;336.1946_0.519;338.1763_0.521;492.286_0.519;572.274_0.524,7
244.1543_0.514,244.1543,0.514,42925.268,244.1543_0.514,244.1543_0.514,1
453.312_0.499,453.312,0.499,1011.7338,453.312_0.499,453.312_0.499,1
285.1823_0.513,285.1823,0.513,18837.516,285.1823_0.513,285.1823_0.513,1
271.1654_0.513,271.1654,0.513,227863.505,271.1654_0.513,271.1654_0.513,1
555.2408_0.513,555.2408,0.513,13256.808,555.2408_0.513,555.2408_0.513,1
176.1075_0.501,176.1075,0.501,1450.0153,176.1075_0.501,176.1075_0.501,1
272.1848_0.513,272.1848,0.513,65503.709,272.1848_0.513,272.1848_0.513,1
308.1999_0.517,308.1999,0.517,5063.5633,308.1999_0.517,308.1999_0.517,1
246.1701_0.513,246.1701,0.513,161979.585,246.1701_0.513,246.1701_0.513,1
391.1601_0.524,391.1601,0.524,2589.8038500000002,Cluster_391.1601_0.524,389.1625_0.528;391.1601_0.524,2
257.1498_0.514,257.1498,0.514,65080.3735,257.1498_0.514,257.1498_0.514,1
316.2116_0.514,316.2116,0.514,26054.466,316.2116_0.514,316.2116_0.514,1
286.2374_0.512,286.2374,0.512,28082.92,286.2374_0.512,286.2374_0.512,1
328.2115_0.513,328.2115,0.513,55043.76,328.2115_0.513,328.2115_0.513,1
306.1713_0.517,306.1713,0.517,8839.722,306.1713_0.517,306.1713_0.517,1
261.1467_0.515,261.1467,0.515,9399.303,Cluster_261.1467_0.515,261.1467_0.515;292.2058_0.518,2
330.2275_0.513,330.2275,0.513,183214.8,330.2275_0.513,330.2275_0.513,1
288.216_0.509,288.216,0.509,56849.7625,288.216_0.509,288.216_0.509,1
232.1544_0.515,232.1544,0.515,162160.135,232.1544_0.515,232.1544_0.515,1
342.2272_0.514,342.2272,0.514,24481.7965,342.2272_0.514,342.2272_0.514,1
141.067_0.564,141.067,0.564,2104.8212999999996,Cluster_141.067_0.564,141.067_0.564;278.1356_0.556;432.1422_0.561;434.1521_0.559;436.1562_0.571;484.2335_0.551,6
304.2115_0.514,304.2115,0.514,38673.3965,304.2115_0.514,304.2115_0.514,1
206.0819_0.514,206.0819,0.514,5828.8445,206.0819_0.514,206.0819_0.514,1
245.1502_0.513,245.1502,0.513,49387.443,245.1502_0.513,245.1502_0.513,1
244.1542_0.514,244.1542,0.514,42172.09,244.1542_0.514,244.1542_0.514,1
269.1488_0.515,269.1488,0.515,16739.672,269.1488_0.515,269.1488_0.515,1
302.1962_0.515,302.1962,0.515,60431.154500000004,302.1962_0.515,302.1962_0.515,1
463.2582_0.524,463.2582,0.524,1642.3744000000002,463.2582_0.524,463.2582_0.524,1
332.2422_0.515,332.2422,0.515,24691.576,332.2422_0.515,332.2422_0.515,1
448.3053_0.515,448.3053,0.515,26744.593,448.3053_0.515,448.3053_0.515,1
288.1801_0.517,288.1801,0.517,16856.3545,288.1801_0.517,288.1801_0.517,1
292.1577_0.516,292.1577,0.516,19641.396,292.1577_0.516,292.1577_0.516,1
218.1387_0.519,218.1387,0.519,19895.970999999998,218.1387_0.519,218.1387_0.519,1
283.1286_0.516,283.1286,0.516,13719.783,283.1286_0.516,283.1286_0.516,1
402.2842_0.515,402.2842,0.515,14681.181499999999,402.2842_0.515,402.2842_0.515,1
855.5726_0.469,855.5726,0.469,1308.5728,Cluster_855.5726_0.469,672.3905_0.472;855.5726_0.469;869.5846_0.478,3
243.134_0.517,243.134,0.517,85924.375,243.134_0.517,243.134_0.517,1
366.2019_0.529,366.2019,0.529,3587.8590000000004,366.2019_0.529,366.2019_0.529,1
400.1979_0.535,400.1979,0.535,2012.9288,Cluster_400.1979_0.535,400.1979_0.535;430.1714_0.55,2
305.1855_0.518,305.1855,0.518,9419.808,305.1855_0.518,305.1855_0.518,1
344.2064_0.516,344.2064,0.516,13829.335,344.2064_0.516,344.2064_0.516,1
304.1747_0.518,304.1747,0.518,10835.567,304.1747_0.518,304.1747_0.518,1
263.0519_0.516,263.0519,0.516,1408.1774,263.0519_0.516,263.0519_0.516,1
274.1827_0.517,274.1827,0.517,30554.035499999998,Cluster_274.1827_0.517,125.0597_0.533;213.0757_0.529;244.1663_0.521;258.1842_0.52;274.1827_0.517;304.1898_0.532;522.2943_0.527;538.2925_0.533,8
346.2222_0.518,346.2222,0.518,14000.881000000001,346.2222_0.518,346.2222_0.518,1
703.5726_0.512,703.5726,0.512,2530.7097,703.5726_0.512,703.5726_0.512,1
181.0714_0.523,181.0714,0.523,67214.82,181.0714_0.523,181.0714_0.523,1
290.1597_0.522,290.1597,0.522,17948.384,290.1597_0.522,290.1597_0.522,1
260.1492_0.522,260.1492,0.522,15898.1555,260.1492_0.522,260.1492_0.522,1
555.3086_0.525,555.3086,0.525,14291.4405,Cluster_555.3086_0.525,475.2466_0.521;553.2933_0.523;555.3086_0.525,3
286.2373_0.511,286.2373,0.511,30664.504,286.2373_0.511,286.2373_0.511,1
267.1246_0.529,267.1246,0.529,29325.779499999997,267.1246_0.529,267.1246_0.529,1
303.1672_0.526,303.1672,0.526,5726.193,303.1672_0.526,303.1672_0.526,1
593.3316_0.527,593.3316,0.527,7312.478499999999,593.3316_0.527,593.3316_0.527,1
262.1646_0.527,262.1646,0.527,17964.957,262.1646_0.527,262.1646_0.527,1
204.1231_0.528,204.1231,0.528,83894.77249999999,204.1231_0.528,204.1231_0.528,1
