term,153.1273_3.887,303.1914_5.064,il_12p70,234.1136_0.825,208.0968_0.848,il_5,gm_csf,229.1553_4.5,259.0977_3.914,total_lyc,433.2365_1.214,daidzein glucuronide
153.1273_3.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303.1914_5.064,0.7533834586466165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
il_12p70,0.3097744360902256,0.18947368421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.1136_0.825,0.5699248120300752,0.30075187969924816,0.36541353383458647,NA,NA,NA,NA,NA,NA,NA,NA,NA
208.0968_0.848,0.3082706766917293,0.22857142857142856,0.43759398496240604,0.4496240601503759,NA,NA,NA,NA,NA,NA,NA,NA
il_5,0.0661654135338346,0.09774436090225563,0.5458646616541353,0.024060150375939848,0.3984962406015038,NA,NA,NA,NA,NA,NA,NA
gm_csf,-0.4857142857142857,-0.21954887218045113,0.33082706766917297,-0.17894736842105263,0.006015037593984962,0.039097744360902256,NA,NA,NA,NA,NA,NA
229.1553_4.5,-0.6481203007518798,-0.849624060150376,-0.281203007518797,-0.3067669172932331,-0.16691729323308271,-0.11729323308270678,0.20451127819548873,NA,NA,NA,NA,NA
259.0977_3.914,-0.524812030075188,-0.5233082706766917,-0.6270676691729323,-0.5744360902255639,-0.3804511278195489,-0.4706766917293233,-0.17293233082706766,0.4992481203007519,NA,NA,NA,NA
total_lyc,-0.5849624060150376,-0.5338345864661654,-0.5593984962406015,-0.3774436090225564,-0.30075187969924816,-0.39097744360902253,-0.08421052631578947,0.6210526315789474,0.7263157894736842,NA,NA,NA
433.2365_1.214,-0.5097744360902255,-0.5849624060150376,-0.5172932330827068,-0.5172932330827068,-0.3022556390977444,-0.24060150375939848,-0.1218045112781955,0.6571428571428571,0.6842105263157894,0.8511278195488722,NA,NA
daidzein glucuronide,-0.46466165413533833,-0.5353383458646617,-0.6601503759398496,-0.556390977443609,-0.33834586466165417,-0.3879699248120301,-0.18646616541353384,0.5398496240601504,0.7624060150375941,0.7353383458646616,0.7969924812030076,NA
