"","mz","rt","6104_U2_HILICPOS_19","6110_U2_HILICPOS_34","6108_U2_HILICPOS_27","6111_U4_HILICPOS_42","6101_U3_HILICPOS_29","6104_U1_HILICPOS_55","6103_U4_HILICPOS_53","6110_U3_HILICPOS_45","6111_U2_HILICPOS_35","6111_U1_HILICPOS_51","6105_U3_HILICPOS_39","6109_U2_HILICPOS_13","6108_U1_HILICPOS_44","6109_U4_HILICPOS_22","6101_U4_HILICPOS_14","6101_U2_HILICPOS_30","6110_U4_HILICPOS_10","6105_U1_HILICPOS_43","6105_U4_HILICPOS_47","6102_U1_HILICPOS_26","6102_U2_HILICPOS_16","6104_U3_HILICPOS_32","6104_U4_HILICPOS_12","6113_U3_HILICPOS_15","6113_U2_HILICPOS_31","6109_U3_HILICPOS_52","6102_U4_HILICPOS_50","6102_U3_HILICPOS_48","6108_U4_HILICPOS_18","6106_U2_HILICPOS_46","6111_U3_HILICPOS_54","6110_U1_HILICPOS_11","6108_U3_HILICPOS_28","6106_U3_HILICPOS_20","6105_U2_HILICPOS_40","6112_U2_HILICPOS_37","6103_U1_HILICPOS_21","6113_U1_HILICPOS_24","6103_U3_HILICPOS_61","6101_U1_HILICPOS_59","6112_U1_HILICPOS_38","6109_U1_HILICPOS_58","6112_U3_HILICPOS_56","6106_U4_HILICPOS_36","6103_U2_HILICPOS_60","6106_U1_HILICPOS_23","6112_U4_HILICPOS_63","PooledQC5_HILICPOS_11_1","6113_U4_HILICPOS_62","PooledQC7_HILICPOS_25","PooledQC6_HILICPOS_17","PooledQC9_HILICPOS_41","PooledQC10_HILICPOS_49","PooledQC8_HILICPOS_33","PooledQC11_HILICPOS_57","PooledQC12_HILICPOS_64"
"2","553.3887","0.421","11.56440056","12.04994688","11.07826758","13.09065895","11.83449238","12.71004873","12.90948642","10.69439445","12.96222871","12.13276993","11.38140235","12.31394927","11.2730321","13.64327077","15.09974862","12.792699","13.53056752","11.67389911","11.73191254","11.3444091","14.41091338","13.17923313","12.43229656","10.35550967","11.06152578","12.23052787","11.17326051","11.61927131","11.47754023","11.24836524","10.82924308","11.61154265","10.39793235","11.38532641","11.09278092","16.3335455","12.94596975","11.31868233","10.97798607","12.06681641","13.12395648","12.53638444","13.70563876","14.04423521","15.54403608","11.43457923","14.48093608","13.59986671","12.44577273","13.31944294","13.37078724","12.91369184","13.04544997","13.1974603","13.64052637","13.49632378"
"3","666.637","0.431","14.30851417","8.971502744","8.981499926","10.21276459","10.17063553","10.5307007","11.67521433","8.965908351","10.04301689","10.66935113","10.11742895","10.28197858","10.02531137","8.974489161","10.90216955","9.967872084","10.21576291","10.27153446","10.39791695","10.93166851","8.967447618","10.00096645","10.01178745","10.58020636","9.995813497","10.29912489","10.05734304","10.30910614","8.974747834","10.15718042","10.08154389","8.966394416","10.03538486","11.02585478","10.48373417","8.973176151","10.39899181","10.30571978","8.969874868","12.51135536","10.51904274","10.90513891","13.06210872","10.25275447","11.04656302","11.38665717","10.0197853","11.22783684","10.16602358","10.45767411","10.54117039","11.12275618","10.72012307","10.76103955","11.0348735","11.33827559"
"4","489.2284","0.496","10.71713574","11.00154289","8.981499926","10.23487238","8.966504298","10.67518018","8.969855879","10.49570975","10.23543341","11.06786005","10.85441844","10.12756906","10.6731117","8.974489161","10.39789279","11.02236816","8.97686423","8.97035816","11.19023458","8.973133665","8.967447618","10.83692131","10.87983731","11.31177351","8.971676609","10.23019737","10.74416042","10.46570261","10.58777799","8.984394817","8.995241694","10.49399911","10.06446551","10.45812051","11.39105215","12.86007802","9.98847835","8.973968806","10.47845031","8.9756491","12.13865662","9.988731971","14.67458423","8.986670324","11.27009182","8.967252778","8.967415627","16.43659362","10.09650657","16.23980324","16.19048214","16.24285795","16.14283827","16.22494406","16.60487663","16.3738283"
"5","696.649","0.442","12.25144128","8.971502744","10.67105263","10.24382757","9.974094178","13.74424762","8.969855879","10.19580304","10.23020385","10.54543907","9.990625056","8.971225954","8.971272808","9.997118215","10.54995549","8.967872084","10.06212198","8.97035816","8.977715243","11.56576009","10.01093086","8.96627789","8.96862763","8.970171767","10.80632559","11.65372896","8.969726684","10.18734304","8.974747834","8.984394817","10.69914904","8.966394416","10.20613989","10.23876608","10.99105495","10.11393733","10.19985414","10.0494218","10.50167092","15.47722946","11.34023818","10.36917451","14.99047483","10.00349964","12.29325623","13.66478381","12.24756786","11.14559945","8.966698087","10.7389447","9.977291517","10.26561587","10.42102748","10.07417104","10.69509324","11.0324554"
"6","297.1938","0.496","8.969321473","10.64343459","10.81334046","11.47690818","11.39936189","10.97095026","11.95296051","11.00702236","11.78882822","11.25703585","10.98291716","10.83364288","11.39883095","10.39251417","11.36731465","10.71284465","10.94928958","10.78871483","11.35675621","10.88786633","11.2628031","11.91859494","11.72493701","11.28614187","10.89948276","11.24496695","10.64311905","10.79286056","11.52750027","14.63465997","11.33142106","11.3524253","11.27218554","16.18275494","10.98319599","10.75189047","11.42099202","11.75809235","11.23690107","11.5113263","10.74241201","11.27387327","11.13500777","15.85299422","11.95779303","15.19598219","11.5732405","15.15125907","12.07644419","15.55449634","15.27074402","15.5432858","15.43761067","15.53476903","15.69273454","15.75335226"
"7","356.2792","0.463","13.78528408","14.77848026","11.70549373","12.28147948","12.60621411","13.75089129","15.63466643","12.04604524","12.46297687","13.34055128","12.93401718","14.24937697","12.08575128","13.78556557","14.67325126","12.16100903","12.53826097","14.08614809","14.99460801","12.1661634","11.58954769","13.66223989","13.66456395","12.07942878","12.43526813","13.86269004","15.10739201","12.54238551","12.07708274","11.33404697","12.53657822","12.70412217","12.31004553","11.20325928","12.67306411","13.72274052","16.43144374","13.5670062","14.23470182","12.48986978","14.30745499","15.43218774","12.54137835","11.8782985","16.37979513","11.59223604","14.62970496","13.63403902","14.49369224","13.83985451","13.86259852","14.26056602","14.18931364","14.0279009","14.41969149","14.39615634"
"8","349.1768","0.501","11.42085421","11.48300842","8.981499926","10.92622312","11.2353239","11.09184017","14.25234781","11.17692124","12.29188813","10.7474318","11.60614617","12.34384214","11.63415965","10.26192014","10.88359027","11.86805888","11.15342429","10.8261687","10.90585524","10.67769304","10.7741915","11.27671271","10.24393869","10.4364718","11.57658733","11.73040743","11.43801401","10.80685472","10.60544757","10.60836563","11.50002392","11.7655006","12.21314086","10.80020135","10.14738862","11.18613387","14.77229086","10.06395641","13.35251496","10.96404024","10.60347576","11.46362588","11.43609795","10.9596757","14.86180289","12.82053361","10.9792652","10.79526044","10.97308429","11.60319018","12.06417881","11.63572043","12.0902945","11.63447783","12.0178491","11.88830912"
"9","376.3184","0.456","10.87496452","11.64222349","14.48660905","10.90689105","11.02791581","15.0255168","11.372605","10.73661375","10.2216247","10.97849568","12.69798227","14.32471822","11.64380249","13.48119839","11.68801133","12.03823231","8.97686423","14.44868812","10.39733023","11.38094504","12.21162929","13.69747651","13.78279043","13.99823963","13.70776721","11.74611223","10.57248328","10.36293611","11.91674198","10.85117364","11.77202535","11.30963471","10.45776787","10.43860277","12.43256241","14.5447131","14.45821563","8.973968806","10.85514996","10.93238603","11.98555362","10.19552736","12.08537121","8.986670324","10.91640849","12.13327848","10.42448724","12.19344762","12.00496761","11.71577465","12.08835122","11.46759908","11.35710615","11.51669755","11.27702941","11.41896243"
"10","572.3994","0.467","12.79450116","11.39677013","11.52348061","11.70738545","13.02495575","12.41785858","12.67063855","12.6363738","11.97224174","13.16373033","13.56963254","12.01593454","11.91779125","11.59840708","11.59991377","11.32076671","13.67493263","13.30791927","13.17082406","11.95294468","11.04878996","13.33378653","15.60445275","12.64665253","12.02146689","11.95386614","11.41255715","12.4483822","11.8100936","11.89014493","12.13897697","14.34455314","12.51745213","12.27221307","13.80354561","11.9491362","12.48952914","12.88654253","12.66657043","12.19479409","12.12356694","12.16938326","11.96557255","10.84663826","13.29156039","11.373932","12.76287573","12.65391584","12.69225762","12.51079927","12.41631831","12.60940385","12.41018818","12.34756213","12.67838029","12.85765624"
"11","188.0705","0.471","15.38991906","15.73390439","11.12867876","11.67342701","12.54847444","12.46307346","14.95419313","11.84985895","11.39442196","12.00657259","12.26403701","15.09887059","11.28817051","14.03394172","15.32665173","13.32537868","11.13937868","12.16712487","15.06538062","12.58193069","12.97910236","13.43606265","11.85903659","10.70555032","11.7778976","13.61498239","13.97015237","12.08851431","13.36255084","11.80712103","12.44027302","12.1610818","12.20221843","11.8515929","11.22499047","13.191997","13.74973862","11.03386896","13.34193475","12.16856902","14.41534764","14.86344768","14.1022788","11.43893165","16.58666214","11.30746382","14.45097827","13.00947175","13.60110987","13.55760478","13.07444891","13.41825347","13.89158788","13.44150358","13.92191019","13.76407395"
