mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
138.055_4.139,113202.76461154172,43715.3898319226,2.589540320852334,1.15e-4,1.372696022357862,3.939302159646388
157.0971_5.014,11865.850000795052,4237.17924618908,2.8004125649079397,0.0456,1.4856393848491298,1.341035157335565
176.0108_4.197,19585.841653798903,6011.232771840282,3.2582071593615702,1.59e-4,1.7040783344595896,3.7986028756795487
182.0811_5.07,88525.331921773,13344.716344030243,6.633736502115671,5.07e-6,2.729821708140286,5.294992040666664
229.0864_0.532,25144.84341987238,2690.964185196703,9.344176172316597,0.0299,3.22406747461728,1.5243288116755704
234.1136_0.825,14871.533172413161,2727.6765502669537,5.452088214402733,1.27e-7,2.446808905035964,6.896196279044043
238.1548_5.5,13155.363524368951,5336.846478866036,2.465006924307139,0.0433,1.3015916991993493,1.3635121036466347
254.161_4.479,31676.542751517696,15575.201035610751,2.033780667042001,0.00684,1.0241641002215125,2.164943898279884
259.0977_3.914,16545.052726658196,835.6187126753238,19.79976330794151,3.44e-7,4.307411278904366,6.46344155742847
275.1025_4.835,107183.1246124848,49242.9069029165,2.1766205805802397,0.0115,1.1220899448611676,1.9393021596463884
292.1576_1.593,27364.81277483389,7699.367093060019,3.5541639259543447,2.48e-6,1.829510223208876,5.605548319173784
292.1577_0.516,32419.943078467833,11014.234001791427,2.943458716529433,1.16e-6,1.557512393277999,5.935542010773082
313.0582_4.803,21693.34366240866,10715.872831655332,2.0244121970470963,0.0283,1.0175030716971452,1.5482135644757098
341.1373_2.931,16291.682016003211,7000.208749367367,2.327313741533143,0.0376,1.2186657113204928,1.424812155072339
365.1337_4.633,4376.110638228394,1793.7126073187887,2.4396944194810173,0.00294,1.28670045635054,2.5316526695878427
412.1484_4.864,5756.932804275924,1765.5349320119662,3.2607300483799806,0.0031,1.7051950071751876,2.5086383061657274
431.0968_4.511,58256.659667049906,2413.1198771501013,24.141635158155143,1.69e-7,4.593451490726311,6.772113295386326
433.1123_4.289,27653.266351493756,1204.2443315117055,22.963169207348653,5.12e-7,4.521249860777282,6.29073003902417
433.2365_1.214,16544.073989524557,1417.408263608195,11.672059782838776,2.05e-5,3.5449872725793266,4.688246138944246
447.0919_4.001,13106.352887522675,786.7346816824825,16.65917772875336,1.23e-7,4.058245288152291,6.910094888560602
449.1074_3.962,7302.384504361194,2816.565096912514,2.5926560377979486,0.00453,1.3744308195815815,2.343901797987168
461.1072_4.293,29867.58035046397,783.584094398724,38.11662406621791,3.91e-11,5.252348442398506,10.407823242604133
469.0527_4.611,10506.848864168234,704.2203272426,14.919831844826433,7.34e-8,3.899159370560801,7.13430394008393
553.3887_0.421,20250.66031421126,4615.091975006054,4.387921286050794,0.0037,2.133537645786063,2.431798275933005
595.3477_2.702,5720.741486172111,1730.6635076343098,3.305519219037527,0.0214,1.7248769028665574,1.6695862266508092
595.3478_0.525,33190.60086191098,9065.300143957782,3.661279862204367,0.0201,1.8723480550909055,1.6968039425795112
595.3479_0.782,17662.757114046788,7699.553213006259,2.2939976678400584,0.0089,1.1978639246591902,2.050609993355087
607.1285_8.059,62624.18768865324,2348.4606795516675,26.666057572915594,1.11e-8,4.736932641169836,7.954677021213342
