mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
182.0811_5.07,64768.147363636366,27360.433509090908,2.367219340370327,0.0289,1.2431933886258753,1.5391021572434522
188.0705_0.471,26802.978381818182,8563.046272727273,3.130075154117042,0.00293,1.6461972971484033,2.5331323796458904
208.0968_0.848,36598.50558181818,11999.427736363637,3.0500209164899026,0.00286,1.6088191364502071,2.543633966870957
234.1136_0.825,59329.07309090909,5251.424754545455,11.29770983380384,2.66e-5,3.497958447503883,4.575118363368933
242.1402_1.026,168976.7644909091,17609.620136363636,9.595707527045077,0.00626,3.2623891855896625,2.2034256667895704
280.1183_0.99,7523.116709090909,2949.9713727272724,2.550233801806601,0.00165,1.3506295173761544,2.7825160557860937
292.1576_1.593,54882.838363636365,10682.85720909091,5.137468122005048,8.53e-5,2.3610575368978894,4.069050968832477
292.1577_0.516,65643.5919090909,13141.628,4.9950882728601735,1.62e-5,2.3205101734515963,4.790484985457369
308.1524_4.919,31266.511727272726,14566.116445454545,2.1465235324978917,4.18e-4,1.1020019892459783,3.378823718224965
312.2284_1.053,187355.03327272728,63669.42790909091,2.942621591326976,0.0373,1.5571020297344647,1.4282911681913124
324.2159_0.482,36909.74770909091,12657.940072727273,2.915936360657643,0.00792,1.5439592336684504,2.1012748184105066
341.1704_5.083,15527.7343,3884.3227818181817,3.997539641319856,0.0166,1.9991123401601434,1.779891911959945
449.1074_3.962,2835.5996090909093,1401.0992904545456,2.0238391585873847,0.0065,1.0170946386839947,2.1870866433571443
593.3324_0.771,23492.364193636364,7000.493534545455,3.3558154261136295,0.05,1.746663367996635,1.3010299956639813
