Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
399.1441,C00019,M+H[1+],8.024,0.000376467,EC0001
348.0688,C00020,M+H[1+],5.645,0.001576467,EC0002
385.1256,C00021,M+H[1+],3.911,0.003276467,EC0003
130.0499,C00025,M-H2O+H[1+],4.245,2.35E-05,EC0004
181.0714,C00031,M+H[1+],0.523,0.000723533,EC0005
203.0527,C00031,M+Na[1+],5.677,2.35E-05,EC0006
219.0266,C00031,M+K[1+],5.653,0.000423533,EC0006
147.1129,C00047,M+H[1+],8.251,0.000123533,EC0007
175.119,C00062,M+H[1+],8.106,2.35E-05,EC0008
129.0654,C00064,M-H2O+H[1+],5.675,0.000376467,EC0009
129.066,C00064,M-H2O+H[1+],6.198,0.000223533,EC00010
147.0765,C00064,M+H[1+],6.582,0.000123533,EC00011
150.0583,C00073,M+H[1+],1.33,2.35E-05,EC00012
150.0585,C00073,M+H[1+],0.581,0.000223533,EC00013
151.0615,C00073,M(C13)+H[1+],0.588,0.000176467,EC00013
151.06153,C00073,M(C13)+H[1+],1.336,0.000146467,EC00012
115.0866,C00077,M-H2O+H[1+],4.961,2.35E-05,EC00014
205.0972,C00078,M+H[1+],4.752,2.35E-05,EC00015
166.0861,C00079,M+H[1+],4.404,0.000176467,EC00016
166.0862,C00079,M+H[1+],4.968,7.65E-05,EC00017
182.0808,C00082,M+H[1+],5.647,0.000376467,EC00018
182.081,C00082,M+H[1+],1.497,0.000176467,EC00019
182.0811,C00082,M+H[1+],5.07,7.65E-05,EC00020
182.0817,C00082,M+H[1+],5.498,0.000523533,EC00018
61.0396,C00086,M+H[1+],2.563,7.65E-05,EC00021
365.1052,C00089,M+Na[1+],6.439,0.000276467,EC00022
181.0714,C00095,M+H[1+],0.523,0.000723533,EC0005
203.0527,C00095,M+Na[1+],5.677,2.35E-05,EC0006
219.0266,C00095,M+K[1+],5.653,0.000423533,EC0006
110.0601,C00108,M-CO+H[1+],2.847,0.000123533,EC00023
138.0541,C00108,M+H[1+],2.867,0.000876467,EC00023
138.0549,C00108,M+H[1+],3.649,7.65E-05,EC00024
138.055,C00108,M+H[1+],4.139,2.35E-05,EC00025
138.0556,C00108,M+H[1+],4.837,0.000623533,EC00026
176.0108,C00108,M+K[1+],4.197,0.000323533,EC00025
176.01087,C00108,M+K[1+],4.794,0.000393533,EC00026
151.0615,C00121,M+H[1+],0.588,0.001423533,EC00027
151.06153,C00121,M+H[1+],1.336,0.001453533,EC00028
181.0714,C00124,M+H[1+],0.523,0.000723533,EC0005
203.0527,C00124,M+Na[1+],5.677,2.35E-05,EC0006
219.0266,C00124,M+K[1+],5.653,0.000423533,EC0006
138.0661,C00135,M-H2O+H[1+],1.098,7.65E-05,EC00029
156.0772,C00135,M+H[1+],7.669,0.000423533,EC00030
181.0714,C00137,M+H[1+],0.523,0.000723533,EC0005
203.0527,C00137,M+Na[1+],5.677,2.35E-05,EC0006
219.0266,C00137,M+K[1+],5.653,0.000423533,EC0006
204.0866,C00140,M-H2O+H[1+],0.88,2.35E-05,EC00031
204.08667,C00140,M-H2O+H[1+],8.005,9.35E-05,EC00032
123.0553,C00153,M+H[1+],5,2.35E-05,EC00033
141.066,C00153,M+H2O+H[1+],5.082,0.000123533,EC00033
121.0283,C00156,M-H2O+H[1+],3.861,7.65E-05,EC00034
215.0163,C00158,M+Na[1+],5.665,2.35E-05,EC00035
230.9901,C00158,M+K[1+],5.64,0.000323533,EC00035
181.0714,C00159,M+H[1+],0.523,0.000723533,EC0005
203.0527,C00159,M+Na[1+],5.677,2.35E-05,EC0006
219.0266,C00159,M+K[1+],5.653,0.000423533,EC0006
298.0967,C00170,M+H[1+],0.547,0.000176467,EC00036
298.09676,C00170,M+H[1+],1.246,0.000116467,EC00037
127.0502,C00178,M+H[1+],5.493,2.35E-05,EC00038
151.0615,C00181,M+H[1+],0.588,0.001423533,EC00027
151.06153,C00181,M+H[1+],1.336,0.001453533,EC00028
100.0757,C00183,M-H2O+H[1+],0.821,2.35E-05,EC00039
100.07573,C00183,M-H2O+H[1+],0.957,5.35E-05,EC00039
118.0867,C00183,M+H[1+],4.678,0.000423533,EC00040
365.1052,C00185,M+Na[1+],6.439,0.000276467,EC00022
76.0758,C00188,M-CO2+H[1+],1.839,0.000123533,EC00041
