,Pathway total,Hits.total,Hits.sig,Expected,P(Fisher),P(EASE),P(Gamma),Emp.Hits,Empirical,AdjP.Fisher,AdjP.EASE,AdjP.Gamma,Pathway Number,cpd.hits
Arginine and Proline Metabolism,45,18,13,7.1411,1.49E-05,8.07E-05,0.00058669,0,0,0.000581841,0.003066182,0.02288091,P1,EC0004;EC00054;EC000151;EC000138;EC000139;EC000140;EC000141;EC00012;EC00013;EC000123;EC00067;EC000132;EC0009;EC00010;EC00011;EC00066
Aspartate and asparagine metabolism,114,31,20,10.867,1.72E-05,6.51E-05,0.0005867,0,0,0.000655044,0.002536989,0.02288091,P2,EC0004;EC00068;EC00067;EC000103;EC000104;EC000105;EC000123;EC00014;EC00056;EC00057;EC00066;EC0009;EC00010;EC00011;EC00054;EC000138;EC000139;EC000140;EC000141;EC000132;EC0007
Urea cycle/amino group metabolism,85,24,14,11.177,3.24E-05,0.00011473,0.00058674,0,0,0.001198393,0.00424501,0.02288091,P3,EC0004;EC00080;EC00054;EC000151;EC000138;EC000139;EC000140;EC000141;EC00068;EC00012;EC00013;EC00048;EC00056;EC00057;EC000128;EC00067;EC00049;EC00050;EC00051;EC00014;EC00066
Histidine metabolism,33,11,7,5.2782,0.00018032,0.00098602,0.00058711,0,0,0.00649152,0.03549672,0.02288091,P4,EC0004;EC000154;EC000166;EC00069;EC00070;EC000184;EC000185;EC000186;EC000187;EC00029;EC00030;EC00038
Glutamate metabolism,15,4,4,2.4839,0.00063108,0.0061289,0.00058823,0,0,0.0220878,0.2145115,0.02288091,P5,EC0004;EC00056;EC00057;EC0009;EC00010;EC00011;EC000151
Lysine metabolism,52,14,9,4.9677,0.0028905,0.011495,0.00059389,0,0,0.098277,0.379335,0.02288091,P6,EC0004;EC00073;EC000175;EC000138;EC000139;EC000140;EC000141;EC0007;EC00066;EC000157
"Glycine, serine, alanine and threonine metabolism",88,18,10,6.5202,0.0030476,0.010146,0.00059428,0,0,0.1005708,0.344964,0.02288091,P7,EC0004;EC00056;EC00057;EC00039;EC00040;EC00048;EC00012;EC00013;EC00067;EC00014;EC00080;EC00041
Vitamin B6 (pyridoxine) metabolism,11,2,2,1.2419,0.0055569,0.063579,0.00060064,0,0,0.1778208,1,0.02288091,P8,EC00049;EC00050;EC00051;EC00093
Nitrogen metabolism,6,2,2,1.2419,0.0055569,0.063579,0.00060064,0,0,0.1778208,1,0.02288091,P9,EC0004;EC0009;EC00010;EC00011
Pyrimidine metabolism,70,10,6,4.6573,0.0071533,0.025873,0.00060472,0,0,0.214599,0.827936,0.02288091,P10,EC0009;EC00010;EC00011;EC0004;EC00096;EC00097;EC00056;EC00057;EC00038
