mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
143.0816_5.378,105486.88013142253,48826.92837658922,2.1604242502790685,0.0074,1.1113146474226288,2.1307682802690238
146.0925_2.629,178981.6408226282,80538.86454609032,2.2223015165579048,0.012,1.1520545714218122,1.9208187539523751
230.1247_5.055,65950.79651098166,32087.08852546287,2.055368671378398,0.00236,1.0393971932572268,2.6270879970298933
259.0977_3.914,17609.99968114445,809.1230973201745,21.76430229154128,9.15e-9,4.443891866602084,8.038578905933552
431.0968_4.511,65251.905552091215,574.4249046312375,113.5951889028573,1.86e-9,6.827757923446793,8.730487055782083
433.1123_4.289,30825.825344232373,501.2117651295981,61.5025972829304,9.62e-8,5.942575432299919,7.016824927962187
433.2365_1.214,19228.371008088634,1171.2890348691326,16.41641852323582,7.05e-7,4.037067511750281,6.151810883008602
447.0919_4.001,14926.461239542969,492.54691712427893,30.30464859406833,2.63e-7,4.921467208361488,6.580044251510242
449.1074_3.962,8215.425862830441,2924.3829370553813,2.8092852542433158,0.0451,1.4902031228580221,1.3458234581220394
461.1072_4.293,32497.107405034938,509.6543422593719,63.763034493085115,8.73e-11,5.994648383938968,10.05898575629443
469.0527_4.611,10963.790814262398,496.12986774375094,22.098630876875873,9.77e-9,4.465885084941717,8.010105436281227
607.1285_8.059,68117.44026435493,731.1173251249419,93.1689592401797,3.46e-10,6.541777472412676,9.460923901207224
