mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p
144.1021_3.801,348206.52694336924,907921.7075055961,0.38352043360657617,0.0366,-1.3826246496818604,1.4365189146055892
153.1273_3.887,5565.092311154216,22173.3200451747,0.25098146329986687,0.0431,-1.9943472796870196,1.3655227298392685
188.0705_0.471,11203.310047084546,24257.871436484478,0.461842255056001,0.00229,-1.1145279201059564,2.640164517660112
208.0968_0.848,18315.604583236705,41382.42263813915,0.442593821618277,0.00587,-1.1759447828873586,2.2313618987523856
234.1136_0.825,16670.891525904393,64045.984997994026,0.26029565360617907,1.28e-4,-1.9417768729385112,3.8927900303521317
280.1183_0.99,2918.6631808637835,8461.706608517954,0.3449260670330639,0.03,-1.5356409334464645,1.5228787452803376
303.1914_5.064,1278.8892478375544,20894.17988013374,0.06120791795487158,0.0215,-4.030137895429773,1.6675615400843946
312.2284_1.053,57152.46854967482,194950.36849581965,0.29316419861448145,0.0375,-1.7702191634313602,1.4259687322722812
324.2159_0.482,14596.646182412303,31347.50191277129,0.46563985299464905,0.0291,-1.1027135545595192,1.5361070110140926
540.4236_0.454,540.1746870613563,1253.9848020208983,0.43076653416438615,1.82e-4,-1.2150219222347745,3.7399286120149253
