mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
138.055_4.139,111039.06656887266,30056.188805568072,3.694382787091824,7.7e-6,1.8853333564200114,5.113509274827518
157.0971_5.014,11639.87141488223,3274.6789098999834,3.5545077044630733,0.0325,1.8296497619513807,1.4881166390211256
176.0108_4.197,21937.63504268453,5883.527650949323,3.728653342717754,4.85e-5,1.8986546742931927,4.314258261397736
182.0811_5.07,94963.76095224704,10252.039564568911,9.26291401375802,4.08e-6,3.2114661213317826,5.38933983691012
230.9901_5.64,27155.76173819301,6379.601380787647,4.256654940851535,0.0107,2.0897201450176555,1.9706162223147903
231.0378_5.108,15058.21485654314,7123.609654680812,2.113846151950314,0.0344,1.0798703796083768,1.4634415574284698
234.1136_0.825,16670.891525904393,2964.9857880477625,5.6225873301338885,1.93e-6,2.4912341641440667,5.714442690992226
238.1548_5.5,15159.125645205188,5715.354931685883,2.6523506984952263,0.0403,1.4072715437497352,1.3946949538588904
256.1125_1.174,1238.558692108952,574.0617116453856,2.1575357962107833,2.89e-4,1.1093844957135541,3.5391021572434522
259.0977_3.914,17609.99968114445,842.4000231812745,20.904557450795544,1.18e-6,4.385745596757779,5.928117992693875
275.1025_4.835,84383.88114941363,34159.92287841448,2.4702597090093397,4.19e-4,1.304662726507626,3.377785977033705
292.1576_1.593,30969.645838253105,8319.897427615399,3.7223590924881687,4.42e-6,1.8962172375471642,5.354577730650908
292.1577_0.516,36443.17318642433,12204.727929300196,2.985988167662,5.94e-6,1.578208448630801,5.2262135550188065
308.1524_4.919,21357.82185727412,9844.383364945752,2.1695438978256223,0.00105,1.1173917774589264,2.978810700930062
313.0582_4.803,18366.59296595012,8291.819551409804,2.2150256469133325,0.00701,1.1473234032771198,2.1542819820333414
337.1424_2.92,8471.159220493071,1889.7216728454046,4.482754969803474,0.0455,2.1643856429285093,1.3419886033428876
341.1373_2.931,17776.511041367874,6967.992570296448,2.5511667617365994,0.0484,1.351157206453927,1.3151546383555874
341.1704_5.083,11201.377846195583,5105.319215380926,2.1940602288783246,0.0281,1.1336031295293634,1.5512936800949202
365.1337_4.633,2070.258672016331,919.25487198042,2.252105194238695,0.0163,1.1712742162556489,1.7878123955960423
412.1484_4.864,3681.4016252487836,1498.197151531189,2.457221081675608,0.00962,1.2970276660387525,2.016824927962187
416.3518_0.967,7152.404146112495,3518.49028925579,2.0328048560922216,0.0145,1.0234717269087648,1.8386319977650252
431.0968_4.511,65251.905552091215,2341.042954608225,27.873006526277585,2.46e-7,4.800796722252298,6.609064892896621
433.1123_4.289,30825.825344232373,1172.92621433166,26.281129168723627,6.9e-7,4.715955357272164,6.161150909262744
433.2365_1.214,19228.371008088634,1492.9814156773232,12.879176395752568,6.1e-6,3.686968433079431,5.214670164989233
447.0919_4.001,14926.461239542969,795.5038100842831,18.76353205393387,7.77e-8,4.229859521730974,7.1095789811990855
449.1074_3.962,8215.425862830441,3220.2984508095496,2.55113803528526,0.0156,1.3511409614389627,1.8068754016455384
461.1072_4.293,32497.107405034938,838.7559065440593,38.74441557011902,2.57e-9,5.2759164772771,8.590066876668706
469.0527_4.611,10963.790814262398,634.4171442267492,17.281674863351096,1.43e-7,4.111171138775181,6.844663962534939
553.3887_0.421,12272.199566339421,4221.384584473928,2.9071503249137844,0.0212,1.539605673263085,1.6736641390712486
595.3477_2.702,6093.742051556427,1811.1285095222086,3.3646105284732166,0.0294,1.7504395148921157,1.5316526695878427
595.3478_0.525,37764.98611798041,10157.108781893925,3.7180842431559182,0.022,1.894559458747547,1.6575773191777938
595.3479_0.782,20692.252264335333,9131.978846094225,2.2659111035047426,0.0192,1.1800912622843784,1.7166987712964503
607.1285_8.059,68117.44026435493,2326.604955211929,29.277613336016536,2.16e-8,4.871726047121592,7.665546248849069
