mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p
182.0811_5.07,62527.80991242486,25462.807246891,2.455652642937062,0.005,1.2961065029909105,2.3010299956639813
188.0705_0.471,21575.926566707378,5875.972070198076,3.6718905925602985,0.00148,1.8765230729341311,2.8297382846050425
208.0968_0.848,38302.383902830254,12809.160582288234,2.9902337203729474,0.00174,1.58025825166257,2.7594507517174
234.1136_0.825,59835.32900515202,5114.032462865725,11.700224713009035,1.12e-5,3.548464333177285,4.950781977329818
280.1183_0.99,7717.875558878303,3334.3632072284477,2.3146475291434943,0.0287,1.210792518897103,1.5421181032660076
292.1576_1.593,49659.080879068126,9677.873713965488,5.131197445510004,5.67e-4,2.3592955406682017,3.2464169411070936
292.1577_0.516,61944.592335473426,12381.315898117404,5.00307017809732,6.89e-5,2.3228136891650935,4.161780778092374
308.1524_4.919,32092.69631781306,14194.952270610303,2.260852710597614,4.04e-5,1.176867006856365,4.393618634889395
324.2159_0.482,29256.324528453686,9631.78655084645,3.037476419769977,0.00184,1.602873208977525,2.7351821769904636
341.1704_5.083,14212.06102602121,3534.527515198355,4.020922447175699,0.0133,2.007526510683411,1.8761483590329142
432.2019_0.535,4258.8619385766015,1322.0387472431914,3.221435035438622,0.0289,1.6877035011707788,1.5391021572434522
449.1074_3.962,2798.289510494827,1358.5857631875288,2.0597076653662625,0.00118,1.042439590003416,2.9281179926938745
