m.z	r.t	p.value	t.score
100.0757	0.821	0.962	0.04828127492221186
100.0757	0.957	0.726	-0.3607085111347885
104.0706	5.078	0.537	0.6397378449348108
104.0706	5.342	0.0125	3.03689465472075
104.0818	4.801	0.142	1.5961934291876356
104.107	2.695	0.349	-0.9836223603995338
106.0861	3.797	0.443	0.7988198843861324
106.0862	3.75	0.817	0.23698680474516293
110.0601	2.847	0.374	0.9310374343952595
114.055	5.645	0.406	0.8675391567233053
115.0866	4.961	0.44	0.8045020716882737
116.1071	0.643	0.588	-0.559508815177896
116.1072	2.001	0.496	0.7058231760007302
116.1073	1.209	0.382	-0.9141888170383676
116.1153	1.178	0.302	-1.087556940822669
116.1171	1.124	0.78	-0.28714873519256556
118.0612	6.417	0.556	0.6098687550764635
118.0867	4.678	0.888	-0.14400534464708536
120.0658	1.662	0.755	-0.3210027754714281
121.0283	3.861	0.773	-0.2957850676475566
121.0647	3.848	0.0728	2.00451585734776
122.0634	4.935	0.993	-0.008401602494405483
123.0553	5	0.116	1.7190455688874107
124.0759	2.019	0.55	0.6181663225791851
126.022	6.25	0.727	0.35869138955699825
126.1027	5.435	0.128	1.6613242881205994
127.0502	5.493	0.763	0.30932372070854397
128.0819	2.693	0.0331	2.46977626178596
129.0654	5.675	0.326	-1.0339750600012674
129.066	6.198	0.839	-0.20820707365034033
130.0499	4.245	0.76	0.3142899817882978
130.0863	7.575	0.333	1.0162318146798874
131.118	4.745	0.178	1.4496928521740549
132.0771	6.113	0.347	0.9861781823271651
134.06	3.798	0.483	0.7289014757583455
134.0964	3.15	0.932	0.08807764577808125
134.1175	3.699	0.336	1.0099685746392932
137.0458	2.887	0.327	1.0297841506390735
137.0458	2.938	0.255	1.207495522414585
137.071	3.764	0.0507	2.2193805792731744
137.071	3.801	0.0843	1.9161622462821382
138.0541	2.867	0.307	-1.076875742696453
138.0549	3.649	0.269	-1.1692406495709902
138.0556	4.837	0.863	0.1775785901721755
138.055	4.139	0.347	0.9864109216475145
138.0624	4.733	0.415	-0.851157522777438
138.0661	1.098	0.353	-0.9743176674979666
138.1025	5.435	0.607	0.5313835085768701
139.0607	1.079	0.884	0.14989691999996813
139.061	1.079	0.987	0.01646173722874942
141.0658	4.643	0.433	-0.8164997696221926
141.0661	5.379	0.0923	1.861126180172234
141.066	5.082	0.271	1.1638636520216314
141.067	0.564	0.908	-0.11862980252355479
142.0863	0.641	0.0435	2.3096848347863776
142.0973	1.094	0.165	1.4996355129160217
142.1225	3.003	0.208	-1.346208366352048
143.0815	5.028	0.647	0.47259028758588
143.0816	5.378	0.0074	3.347428940337909
143.0816	5.617	0.557	0.6075719654133538
144.1021	3.801	0.0366	-2.410643573104381
144.1028	4.464	0.157	-1.5281216063966288
144.102	5.362	0.202	1.364161347289212
145.133	4.296	0.751	0.32648343847117867
145.1699	7.412	0.101	-1.8058571127617291
146.0625	0.515	0.471	-0.749416305803484
146.0812	0.629	0.107	-1.7724775595374425
146.0812	5.106	0.366	0.9478801520628889
146.0812	5.63	0.931	-0.08887268842118995
146.0813	1.149	0.238	-1.2550998390134653
146.0919	1.119	0.0503	-2.2245965693845315
146.0921	5.109	0.641	0.48111499056684753
146.0925	2.629	0.012	3.0613034075507133
146.1176	5.027	0.862	-0.1779620658146895
146.1176	5.061	0.365	0.9488229200364289
147.0474	4.904	0.0209	2.7368322833701524
147.0765	6.582	0.655	-0.4605098715198836
147.1129	8.251	0.932	0.0875289391266029
148.0968	5.031	0.214	-1.3278716524705392
148.0968	5.08	0.695	-0.40325768383220534
148.1118	0.543	0.911	0.11486592689290347
148.1137	1.924	0.879	0.15599723399442061
148.1227	1.073	0.961	-0.05043256791823795
149.0597	5.975	0.112	-1.7416003266820177
149.1073	1.011	0.866	0.1734629562013529
150.0583	1.33	0.51	0.6830060016818897
150.0585	0.581	0.59	0.5566357364349263
150.0694	1.101	0.891	-0.14050052795240142
151.0615	0.588	0.992	0.00997680892069671
151.0615	1.336	0.208	1.3456477027520117
151.123	0.863	0.531	0.6493143263710003
151.145	3.083	0.518	-0.6702371204599219
152.0704	5.985	0.594	-0.5507842415930058
152.0705	3.686	0.995	-0.006502091516469689
152.0707	5.511	0.667	-0.4429956765176965
152.0805	5.528	0.556	-0.6089812393537989
153.0767	1.112	0.453	0.7807255563666686
153.1273	3.887	0.0431	-2.31565643005547
153.1276	0.538	0.0569	-2.1513049051023554
154.0587	5.989	0.22	1.307682899216676
156.0772	7.669	0.37	0.9394887073790753
156.0846	7.666	0.384	0.9107072609686742
156.1019	0.817	0.305	-1.0805508585859134
157.0608	6.057	0.26	-1.193108944776091
157.0971	5.014	0.474	0.74399376102213155
158.1176	4.212	0.796	0.26493482390774076
159.0764	6.269	0.275	-1.1552995705933384
159.1128	4.592	0.226	1.2913222826429245
159.1492	0.568	0.878	-0.15788873566187553
159.1496	7.852	0.0984	1.8222328241293058
159.149	3.721	0.775	0.29363522625700916
159.1571	7.853	0.532	-0.6475676959806907
160.0972	5.086	0.0938	-1.851879721767308
160.1051	5.081	0.529	-0.6514903022780676
160.108	1.102	0.601	-0.539898316791234
160.108	4.58	0.851	-0.19341407788254666
161.1285	7.824	0.947	-0.06779901717382245
161.1285	8.241	0.799	0.26188242086424257
161.1285	8.436	0.0505	2.2228032052605204
162.1128	5.221	0.823	0.23018411358698596
162.1129	5.651	0.812	0.24367363983322432
162.1205	5.226	0.972	-0.03602123379568891
163.1229	8.006	0.826	0.2257864365351202
163.123	2.224	0.807	0.2503567983345139
163.123	2.886	0.853	0.18950209782093033
165.1386	0.836	0.87	0.16799727161908637
166.0724	3.376	0.252	1.2149457694341361
166.0724	3.417	0.232	1.2711899154997162
166.0861	4.404	0.701	0.3952478602660651
166.0862	4.968	0.896	0.13423718912223548
166.1227	0.961	0.767	0.3046660778800137
166.1302	1.899	0.946	0.06946235806141259
166.1333	1.023	0.594	-0.5511215402123126
167.0563	1.285	0.764	0.30795880364330686
167.0564	0.555	0.763	0.3096059475504599
167.0727	0.556	0.214	-1.3274051125066475
168.1385	1.92	0.999	-8.087652555843368e-4
169.0495	0.477	0.274	1.1577931301157631
169.0608	5.613	0.345	0.9921073648621889
170.0601	2.773	0.913	-0.11237833685301266
170.0923	3.67	0.766	0.3061929419576797
170.0932	6.855	0.214	1.327627396374395
170.0932	7.795	0.398	0.8827005851403157
170.1004	7.738	0.534	-0.6445126841219534
170.1005	6.913	0.0315	-2.4996792976380036
170.1005	7.836	0.253	-1.2119975517263886
170.122	7.798	0.0948	1.8450106868313962
171.0765	5.52	0.295	1.105710153602606
171.0765	5.569	0.316	1.0564303064312206
172.0968	0.853	0.964	0.046605025803459814
172.1096	2.858	0.621	0.5097139695462505
173.092	5.448	0.326	1.0324718637357218
173.092	6.33	0.75	-0.3278062223817779
174.0921	0.831	0.979	-0.02722916295333317
174.1125	0.823	0.132	-1.6392300554845922
174.1237	3.273	0.472	-0.7478533469630517
175.0713	5.433	0.422	0.8370105696300775
175.0713	6.64	0.709	0.3841837830834843
175.119	8.106	0.556	-0.6094114048667809
175.1444	7.562	0.801	0.2583242439429421
175.1523	7.555	0.757	0.3175802830344248
176.0108	4.197	0.107	1.7701272608724503
176.0108	4.794	0.371	0.9366700723617075
176.0666	7.162	0.782	-0.28404826902134367
176.0708	1.349	0.416	0.8488440158554956
176.103	6.238	0.551	0.6178078445885713
176.1075	0.501	0.124	1.6810904988689783
179.1178	3.527	0.995	0.006385352020331347
180.0656	0.532	0.418	-0.8450000926652574
180.088	0.589	0.705	0.38904117507334257
181.0609	1.423	0.891	0.14042920581425516
181.0617	1.482	0.338	1.0060201874742796
181.0624	1.495	0.741	-0.33928063747617204
181.0671	1.616	0.541	-0.6322148667752557
181.0714	0.523	0.796	0.26511948971200494
181.0838	0.54	0.217	1.3185480631525863
182.0577	5.354	0.998	-0.0023672922652498087
182.0577	5.415	0.258	-1.198466720030761
182.0579	4.331	0.291	-1.1153220277559202
182.0808	5.647	0.57	-0.5869358537236684
182.0811	5.07	0.0456	2.2821325604198828
182.081	1.497	0.0974	-1.8284167368000193
182.081	5.498	0.983	0.021847623130656964
182.0917	0.888	0.382	0.9136154361274152
182.1285	0.539	0.822	-0.23062293471581402
182.1403	1.095	0.417	-0.8465372698912474
184.0621	3.682	0.773	0.29694275270774234
184.108	7.646	0.506	0.6896781396095317
185.1648	5.491	0.0841	1.91825120517352
186.1125	0.809	0.452	-0.7829103232947128
188.0705	0.471	0.00229	-4.059868876913974
188.1029	5.618	0.528	0.6537888550275108
188.1155	8.031	0.615	0.5193055775138494
188.1281	0.812	0.694	-0.4053179744944646
188.176	8.261	0.0736	1.9979396450808176
188.184	8.262	0.124	1.6786218571943416
189.0423	4.98	0.562	0.6003390049773422
189.087	5.641	0.916	-0.10870977837679136
189.1232	6.685	0.182	1.4328904683201116
189.1234	6.353	0.684	0.4193780634191436
189.1345	7.821	0.749	0.32859443562229784
189.1346	3.204	0.13	1.6516750657201957
189.1607	7.584	0.579	0.5727566368000829
189.168	7.64	0.982	0.02287536449228107
190.1186	6.676	0.328	1.0274179513068114
191.0662	7.745	0.775	0.29373585681342124
191.139	7.741	0.975	-0.03171145715574432
192.0743	6.855	0.279	1.1443584002187792
193.0836	4.971	0.896	0.13361453795084183
193.1319	7.203	0.189	1.4078900757634694
193.1547	4.681	0.398	-0.8828530106964286
193.155	3.944	0.777	-0.29130469144436416
195.0875	0.506	0.376	0.9262168856250351
196.0603	7.154	0.734	-0.34941069091037297
