m.z,r.t.,p,t.score
100.0757,0.821,0.0782,-1.9870728782854925
100.0757,0.957,0.0445,-2.333237103353767
104.0706,5.078,0.243,1.24892471034504
104.0706,5.342,0.306,-1.0856401409219132
104.0818,4.801,8.7e-4,-4.881094344502544
104.107,2.695,0.552,-0.6179429305832792
106.0861,3.797,0.649,0.4702384725907866
106.0862,3.75,0.352,-0.982134791095172
110.0601,2.847,0.659,0.4563765059505402
114.055,5.645,0.912,-0.11365269411706562
115.0866,4.961,0.384,-0.9155754343121856
116.1071,0.643,0.142,-1.6105377293914773
116.1072,2.001,0.871,0.16722181780342016
116.1073,1.209,3.66e-4,-5.530075978873572
116.1153,1.178,0.0907,-1.8944019635243174
116.1171,1.124,0.0157,-2.9714502398231035
118.0612,6.417,0.13,1.666249499853201
118.0867,4.678,0.0397,-2.403267188083458
120.0658,1.662,0.638,-0.4873685040102195
121.0283,3.861,0.725,0.3633844032695592
121.0647,3.848,0.422,-0.8414823118134915
122.0634,4.935,0.933,0.08687203435685438
123.0553,5,0.495,0.7114055460857082
124.0759,2.019,0.8,-0.26054385710875155
126.022,6.25,0.743,-0.338696277232139
126.1027,5.435,0.552,-0.6180076099316567
127.0502,5.493,0.649,-0.4705921785882649
128.0819,2.693,0.613,-0.5238343593894025
129.0654,5.675,0.692,-0.40942872077627884
129.066,6.198,0.468,0.7581688768993636
130.0499,4.245,0.471,0.7520506157277262
130.0863,7.575,0.866,-0.17379338451682508
131.118,4.745,0.688,-0.4153223436688492
132.0771,6.113,0.261,1.1981070441696982
134.06,3.798,0.408,0.8680061797965262
134.0964,3.15,0.347,-0.9912241835321994
134.1175,3.699,0.454,0.7819309522517393
137.0458,2.887,0.186,-1.4328568480935482
137.0458,2.938,0.215,-1.3351030624976958
137.071,3.764,0.38,0.9239681736719035
137.071,3.801,0.18,1.4536060896080567
138.0541,2.867,0.319,-1.0556167314302758
138.0549,3.649,0.924,-0.09856767022182049
138.0556,4.837,6.36e-4,5.110917908425683
138.055,4.139,7.7e-6,9.114165600475872
138.0624,4.733,0.417,-0.8505049537538575
138.0661,1.098,0.678,-0.4284607283898893
138.1025,5.435,0.709,-0.3856147895251556
139.0607,1.079,0.436,-0.8154896327412923
139.061,1.079,0.928,-0.09240415815836253
141.0658,4.643,0.554,-0.6147313832309332
141.0661,5.379,0.106,-1.7947493226189744
141.066,5.082,0.117,1.7315723967380383
141.067,0.564,0.683,-0.4212340802907501
142.0863,0.641,0.949,-0.0661872048354066
142.0973,1.094,0.823,-0.23011641470515362
142.1225,3.003,0.376,-0.9308142335960353
143.0815,5.028,0.955,0.05776566441329089
143.0816,5.378,0.56,-0.6045226978378073
143.0816,5.617,0.989,0.014719203104793832
144.1021,3.801,0.0559,-2.1940539804995716
144.1028,4.464,0.0376,-2.4367699965944913
144.102,5.362,0.118,-1.7276406005744014
145.133,4.296,0.676,-0.4316891857411443
145.1699,7.412,0.626,-0.5049525854262161
146.0625,0.515,0.853,0.19106516202089724
146.0812,0.629,0.00863,-3.341925033662506
146.0812,5.106,0.595,0.5514606599574737
146.0812,5.63,0.684,0.4202289246380083
146.0813,1.149,0.0144,-3.0225250557610934
146.0919,1.119,0.104,-1.809997387210871
146.0921,5.109,0.0178,2.8928094610817383
146.0925,2.629,0.619,-0.5154017656913047
146.1176,5.027,0.534,-0.6459472913251629
146.1176,5.061,0.802,0.2581641402624071
147.0474,4.904,0.78,-0.28819170417677437
147.0765,6.582,0.271,-1.172131835526814
147.1129,8.251,0.459,0.773697589570049
148.0968,5.031,0.848,-0.1971783699393081
148.0968,5.08,0.747,0.33301447545889656
148.1118,0.543,0.982,-0.0237932062807235
148.1137,1.924,0.67,-0.4411387488137365
148.1227,1.073,0.393,-0.8966369893097316
149.0597,5.975,0.611,-0.5263165356264644
149.1073,1.011,0.741,0.34033888665663864
150.0583,1.33,0.226,-1.3006304324516291
150.0585,0.581,0.776,-0.29332459582014087
150.0694,1.101,0.0327,-2.522195111040283
151.0615,0.588,0.129,-1.670971170695573
151.0615,1.336,0.378,-0.9272455137796658
151.123,0.863,0.953,0.06116631079051084
151.145,3.083,0.686,0.4173294186009766
152.0704,5.985,0.139,1.6233419192191376
152.0705,3.686,0.162,1.5226546265541892
152.0707,5.511,0.203,1.3741575938838648
152.0805,5.528,0.151,1.570982775857573
153.0767,1.112,0.449,0.7906706678416289
153.1273,3.887,0.0141,-3.0370842301670518
153.1276,0.538,0.0874,-1.9172302601692917
154.0587,5.989,0.164,1.516903598637155
156.0772,7.669,0.724,0.36501236165863943
156.0846,7.666,0.953,0.06113313673641836
156.1019,0.817,0.224,-1.3061702823883758
157.0608,6.057,0.253,-1.2222134088603545
157.0971,5.014,0.0325,2.525784239022223
158.1176,4.212,0.263,1.1947855077980198
159.0764,6.269,0.088,-1.9131813190860536
159.1128,4.592,0.919,-0.10436282052219456
159.1492,0.568,0.75,-0.32874128111497763
159.1496,7.852,0.563,0.6010450798047325
159.149,3.721,0.435,-0.8169990161266536
159.1571,7.853,0.903,-0.1253833448063898
160.0972,5.086,1.48e-4,-6.257231662891321
160.1051,5.081,0.013,-3.0849959596291145
160.108,1.102,0.217,1.3284172385101758
160.108,4.58,0.0235,2.721502139733587
161.1285,7.824,0.635,0.4918145814391044
161.1285,8.241,0.903,0.12561870520227547
161.1285,8.436,0.621,-0.512469125876484
162.1128,5.221,0.874,-0.1635895660875812
162.1129,5.651,0.616,-0.5193556642650698
162.1205,5.226,0.556,-0.6108519215650317
163.1229,8.006,0.478,0.7407704066340797
163.123,2.224,0.27,1.1745524189913887
163.123,2.886,0.553,0.6164129889158715
165.1386,0.836,0.55,-0.6210155618195345
166.0724,3.376,0.284,-1.13874546116479
166.0724,3.417,0.439,-0.8093307836951171
166.0861,4.404,0.93,0.09077666938461983
166.0862,4.968,0.53,0.6534144889894018
166.1227,0.961,0.473,-0.7492395387989648
166.1302,1.899,0.353,-0.9793305435115789
166.1333,1.023,0.0501,-2.261123771338681
167.0563,1.285,0.313,-1.0696368233133617
167.0564,0.555,0.17,-1.4900165343506402
167.0727,0.556,0.735,-0.3486303716684323
168.1385,1.92,0.325,-1.03997503565396
169.0495,0.477,0.743,-0.33854376163628214
169.0608,5.613,0.82,-0.23396281769293287
170.0601,2.773,0.881,-0.15338415251866142
170.0923,3.67,0.906,0.12142396977065305
170.0932,6.855,0.094,-1.8722823977239562
170.0932,7.795,0.856,-0.18684875285150093
170.1004,7.738,0.685,0.41894016357452046
170.1005,6.913,0.644,0.4776464356227079
170.1005,7.836,0.893,-0.1388823859702263
170.122,7.798,0.8,-0.26105694091289977
171.0765,5.52,0.344,-0.9989501621484209
171.0765,5.569,0.576,-0.5801352001903106
172.0968,0.853,0.383,0.9163793216251106
172.1096,2.858,0.756,-0.3203534322692996
173.092,5.448,0.419,-0.847634376097336
173.092,6.33,0.241,-1.2560496699340227
174.0921,0.831,0.712,0.381012983929276
174.1125,0.823,0.0281,-2.614117369485941
174.1237,3.273,0.49,0.7203035552293829
175.0713,5.433,0.0171,-2.915797352179977
175.0713,6.64,0.689,-0.4131975681908289
175.119,8.106,0.271,-1.173404676543913
175.1444,7.562,0.42,0.8450668917392334
175.1523,7.555,0.163,1.5178869905595478
176.0108,4.197,4.85e-5,7.243272801363574
176.0108,4.794,0.0237,2.717139697689014
176.0666,7.162,0.0876,-1.916468696264561
176.0708,1.349,0.919,-0.10446408472362209
176.103,6.238,0.937,-0.08176430758118766
176.1075,0.501,0.431,0.8251501768590743
179.1178,3.527,0.803,-0.25733130612107086
180.0656,0.532,0.389,0.9045132674115377
180.088,0.589,0.422,-0.8414098698856696
181.0609,1.423,0.0384,-2.4240766275293684
181.0617,1.482,0.0607,-2.1436255386551517
181.0624,1.495,0.032,-2.534653788796222
181.0671,1.616,0.872,0.16571169730143073
181.0714,0.523,0.865,-0.17543635041133102
181.0838,0.54,0.981,0.024876028513064103
182.0577,5.354,0.0411,-2.3824326878551045
182.0577,5.415,0.09,-1.8991026318459672
182.0579,4.331,0.0466,-2.3057589908741343
182.0808,5.647,0.171,1.4888614131077786
182.0811,5.07,4.08e-6,9.843878753978872
182.081,1.497,0.428,0.8296255930700821
182.081,5.498,0.644,-0.4774638783745087
182.0917,0.888,0.0749,2.0136249718345964
