m.z r.t. p t.score
100.0757 0.821 0.432 -0.8226988645198011
100.0757 0.957 0.118 -1.7276718847900137
104.0706 5.078 0.959 0.0534617668472206
104.0706 5.342 8.55e-4 -4.893551533842914
104.0818 4.801 0.017 -2.919662572330646
104.107 2.695 0.554 0.6145499308167017
106.0861 3.797 0.402 -0.8800308260310916
106.0862 3.75 0.368 -0.9472541438266525
110.0601 2.847 0.116 -1.7394364990096445
114.055 5.645 0.534 -0.6463745998851913
115.0866 4.961 0.0166 -2.936460041154043
116.1071 0.643 0.246 -1.2406640267359104
116.1072 2.001 0.117 -1.7335737224685226
116.1073 1.209 0.0957 -1.860700286576377
116.1153 1.178 0.389 -0.9043335166142057
116.1171 1.124 0.829 0.2222704296297009
118.0612 6.417 0.926 -0.0956253317258702
118.0867 4.678 0.413 0.858312819030913
120.0658 1.662 0.126 1.6885493698204188
121.0283 3.861 0.871 0.16709278116881923
121.0647 3.848 0.00254 -4.13514962251119
122.0634 4.935 0.0677 -2.0757687802537306
123.0553 5 0.0106 -3.2141818582163686
124.0759 2.019 0.035 -2.4804068992720474
126.022 6.25 0.817 0.2387722904250507
126.1027 5.435 0.109 -1.7760623281778474
127.0502 5.493 0.188 -1.4231711841234045
128.0819 2.693 0.00844 -3.356189496161227
129.0654 5.675 0.563 0.6011974204146929
129.066 6.198 0.382 0.91903105502595706
130.0499 4.245 0.0408 -2.3869130092108892
130.0863 7.575 0.255 -1.21632824498515
131.118 4.745 0.0821 -1.9561602969980425
132.0771 6.113 0.0271 -2.6363775241852854
134.06 3.798 0.128 -1.6771660755678013
134.0964 3.15 0.335 1.0195322119501111
134.1175 3.699 0.815 -0.24150891982418596
137.0458 2.887 0.463 -0.767272068437583
137.0458 2.938 0.355 -0.9759308839664838
137.071 3.764 0.0468 -2.3022418037315826
137.071 3.801 0.163 -1.5189836460425197
138.0541 2.867 0.267 1.1834180320416052
138.0549 3.649 0.252 1.2240762240886205
138.0556 4.837 0.0382 2.426418955229915
138.055 4.139 0.451 0.7886655106132597
138.0624 4.733 0.162 1.5236098178045145
138.0661 1.098 0.81 0.24712983204253336
138.1025 5.435 0.457 -0.7767639204554017
139.0607 1.079 0.971 0.037453762415686674
139.061 1.079 0.503 0.6973309335336596
141.0658 4.643 0.665 0.44697158174259344
141.0661 5.379 0.00427 -3.7912386694793185
141.066 5.082 0.141 -1.615603005458374
141.067 0.564 0.832 0.21853983264576737
142.0863 0.641 0.075 -2.0128471391640144
142.0973 1.094 0.437 -0.8139330925324575
142.1225 3.003 0.802 -0.25836647438991256
143.0815 5.028 0.67 -0.44087305769846596
143.0816 5.378 0.00608 -3.5643363748043835
143.0816 5.617 0.654 -0.4632826361304057
144.1021 3.801 0.0841 1.941385846180202
144.1028 4.464 0.205 1.3662759064746814
144.102 5.362 0.00727 -3.450185598069582
145.133 4.296 0.404 -0.87585886824044
145.1699 7.412 0.735 0.3495368088425364
146.0625 0.515 0.361 0.9632472279473299
146.0812 0.629 0.172 1.483713429819845
146.0812 5.106 0.508 -0.6886032038231245
146.0812 5.63 0.713 0.37939788103571126
146.0813 1.149 0.198 1.3893341745624275
146.0919 1.119 0.387 0.9096521853174063
146.0921 5.109 0.308 -1.08167302744736
146.0925 2.629 0.00797 -3.3921136923808644
146.1176 5.027 0.00443 -3.767328079929929
146.1176 5.061 0.00426 -3.7931966963499595
147.0474 4.904 0.0051 -3.67709113506267
147.0765 6.582 0.54 -0.636180959476262
147.1129 8.251 0.313 -1.0691715180355468
148.0968 5.031 0.127 1.6837597978472385
148.0968 5.08 0.384 0.914968518297302
148.1118 0.543 0.478 0.7411166383800296
148.1137 1.924 0.42 0.8458788765571796
148.1227 1.073 0.309 1.0784543214704552
149.0597 5.975 0.678 0.4284203867929099
149.1073 1.011 0.202 -1.3756308983242547
150.0583 1.33 0.331 -1.0281550777035775
150.0585 0.581 0.858 -0.1838729693282549
150.0694 1.101 0.643 0.47911556567364516
151.0615 0.588 0.0591 -2.1600362431309645
151.0615 1.336 0.0951 -1.8647916211297138
151.123 0.863 0.0341 -2.4958146273706108
151.145 3.083 0.703 0.39371894108214117
152.0704 5.985 0.306 1.085636195938259
152.0705 3.686 0.65 0.4688579408687902
152.0707 5.511 0.38 0.9231016791126754
152.0805 5.528 0.221 1.3165420384402797
153.0767 1.112 0.435 0.8174494444877526
153.1273 3.887 0.215 1.3330945067053919
153.1276 0.538 0.0558 2.1947304714016562
154.0587 5.989 0.0693 -2.0612353097643807
156.0772 7.669 0.173 -1.4808064146408204
156.0846 7.666 0.839 0.2096157541420363
156.1019 0.817 0.618 0.5170780161464865
157.0608 6.057 0.131 1.6603156906566738
157.0971 5.014 0.526 -0.6604301841282233
158.1176 4.212 0.0341 -2.4966194569966436
159.0764 6.269 0.172 -1.483285647383284
159.1128 4.592 0.0494 -2.2701368209059307
159.1492 0.568 0.635 0.49124443396777073
159.1496 7.852 0.85 0.194565269679393
159.149 3.721 0.408 -0.8679632876318201
159.1571 7.853 0.21 1.349457197535817
160.0972 5.086 0.239 1.2604878286548198
160.1051 5.081 0.657 0.45889629997255943
160.108 1.102 0.309 1.0792041303072624
160.108 4.58 0.884 -0.1496716660664879
161.1285 7.824 0.588 0.561382591000083
161.1285 8.241 0.791 -0.27345145133207144
161.1285 8.436 0.621 -0.5124202572459012
162.1128 5.221 0.0231 -2.732221762943787
162.1129 5.651 0.0179 -2.8880841611838077
162.1205 5.226 0.207 -1.3587258798044313
163.1229 8.006 0.168 1.5005642993177386
163.123 2.224 0.363 0.9572888928899274
163.123 2.886 0.116 1.7385504825787945
165.1386 0.836 0.0267 -2.6447057540159626
166.0724 3.376 0.0575 -2.1770401963275576
166.0724 3.417 0.0585 -2.1662718471946305
166.0861 4.404 0.0144 -3.021759746734768
166.0862 4.968 0.0598 -2.152116759115567
166.1227 0.961 0.466 -0.7616682359707553
166.1302 1.899 0.761 -0.3139552654574537
166.1333 1.023 0.709 0.3851615026840133
167.0563 1.285 0.214 -1.3379379527972945
167.0564 0.555 0.122 -1.7076052083101092
167.0727 0.556 0.00382 3.8649462549143108
168.1385 1.92 0.22 1.3166559636294781
169.0495 0.477 0.125 -1.692962073002405
169.0608 5.613 0.0223 -2.75357627891481
170.0601 2.773 0.806 0.25248244550783466
170.0923 3.67 0.0394 -2.407747474581775
170.0932 6.855 0.0283 -2.608883793314836
170.0932 7.795 0.015 -2.997842871659495
170.1004 7.738 0.989 0.014139083070793182
170.1005 6.913 0.284 1.1403441757625796
170.1005 7.836 0.503 0.6968527504693868
170.122 7.798 0.0765 -2.0005309512371836
171.0765 5.52 6.71e-4 -5.071413173521855
171.0765 5.569 0.00124 -4.629970889029246
172.0968 0.853 0.757 -0.3192527431544159
172.1096 2.858 0.703 -0.39339089040405334
173.092 5.448 0.0854 -1.9318915257794884
173.092 6.33 0.635 -0.4907339349985703
174.0921 0.831 0.737 -0.3468021167024217
174.1125 0.823 0.551 0.6198112120920168
174.1237 3.273 0.212 1.3420854761498542
175.0713 5.433 0.00194 -4.317463325023814
175.0713 6.64 0.608 -0.5308391731942165
175.119 8.106 0.94 -0.07690063240841037
175.1444 7.562 0.632 0.4959266208663958
175.1523 7.555 0.994 0.007221975553399192
176.0108 4.197 0.927 -0.09473219245862677
176.0108 4.794 0.415 0.8542191643048904
176.0666 7.162 0.765 -0.3082322665759826
176.0708 1.349 0.0454 -2.3210335627991325
176.103 6.238 0.473 -0.749285708883982
176.1075 0.501 0.25 -1.2303344097217728
179.1178 3.527 0.173 1.479625946737831
180.0656 0.532 0.12 1.7184318210879994
180.088 0.589 0.311 -1.0730705334352186
181.0609 1.423 0.116 -1.7402816084619654
181.0617 1.482 0.225 -1.301681813961171
181.0624 1.495 0.393 -0.8971994107539198
181.0671 1.616 0.349 0.9869159529023132
181.0714 0.523 0.325 -1.0416896713812014
181.0838 0.54 0.248 -1.2344352745410625
182.0577 5.354 0.354 -0.9768576995572393
182.0577 5.415 0.85 0.19481014818532438
182.0579 4.331 0.3 1.098582121458315
182.0808 5.647 0.096 1.8589023953322363
182.0811 5.07 0.0263 2.653599443200441
182.081 1.497 0.0225 2.749538409317514
182.081 5.498 0.277 -1.158308771585625
182.0917 0.888 0.568 0.5932331724754998
182.1285 0.539 0.387 0.9086951772654929
182.1403 1.095 0.467 0.7601426083224251
184.0621 3.682 0.0415 -2.3767182635939395
184.108 7.646 0.11 -1.7715185274933583
185.1648 5.491 0.761 -0.31349367084471963
186.1125 0.809 0.372 0.9399364649036449
188.0705 0.471 0.00115 4.680902019169528
188.1029 5.618 0.446 -0.7977421628844906
188.1155 8.031 0.205 -1.3669514989230422
188.1281 0.812 0.178 -1.4628306120285568
188.176 8.261 0.0833 -1.947811636401663
188.184 8.262 0.121 -1.7125265784460275
189.0423 4.98 0.388 -0.9072898445064208
189.087 5.641 0.231 -1.2843760883804114
189.1232 6.685 0.21 -1.3489408005594923
189.1234 6.353 0.0959 -1.8596257769869395
189.1345 7.821 0.294 -1.1148780639968212
189.1346 3.204 0.111 -1.7663578708029848
189.1607 7.584 0.143 -1.605874507184846
189.168 7.64 0.694 -0.406844484717409
190.1186 6.676 0.116 -1.740681023450075
191.0662 7.745 0.615 -0.5214290335531424
191.139 7.741 0.568 0.5929888269290045
192.0743 6.855 0.0169 -2.92415733489877
193.0836 4.971 0.575 -0.5820544915243782
193.1319 7.203 0.198 -1.389967986846977
193.1547 4.681 0.435 0.817215950939733
193.155 3.944 0.906 -0.12087106946065301
195.0875 0.506 0.054 -2.214499037634304
196.0603 7.154 0.839 0.20958636368718167
198.0529 5.13 0.232 1.2813789997116738
198.0873 5.991 0.95 -0.06459152258333317
198.1236 6.476 0.554 -0.6139335619709914
199.0825 3.657 0.184 -1.4401179816350766
199.0826 0.565 0.222 -1.3123254627524912
199.096 3.252 0.0952 1.8641861638325428
199.1075 0.555 0.0313 -2.548196695581122
200.107 1.003 0.0135 -3.0611324664424067
202.1072 3.8 0.574 -0.5827230330740342
