carotenoid,pre_post_intervention,mean,stdev,n,mean_sd
a_carotene,NA_Baseline,134.6422528911745,94.12929214435985,12,134.64 ± 94.13
a_carotene,post_Red,112.79568774842387,67.80063312049525,12,112.8 ± 67.8
a_carotene,post_Yellow,96.22503749741793,79.35227137914404,11,96.23 ± 79.35
a_carotene,pre_Red,137.41902314359245,108.10873033904757,12,137.42 ± 108.11
a_carotene,pre_Yellow,125.26467662675987,96.39625939292608,11,125.26 ± 96.4
all_trans_lyc,NA_Baseline,392.85493827130784,183.2977986015816,12,392.85 ± 183.3
all_trans_lyc,post_Red,506.4951376015651,358.647112988806,12,506.5 ± 358.65
all_trans_lyc,post_Yellow,211.70501729876582,115.82542628244816,11,211.71 ± 115.83
all_trans_lyc,pre_Red,170.71194646611798,90.23736880499354,12,170.71 ± 90.24
all_trans_lyc,pre_Yellow,222.1473082283585,129.3540430101293,11,222.15 ± 129.35
b_carotene,NA_Baseline,449.4785340040302,293.1953482507862,12,449.48 ± 293.2
b_carotene,post_Red,662.0762177150973,347.9540615341715,12,662.08 ± 347.95
b_carotene,post_Yellow,389.52537640999196,242.55357653791754,11,389.53 ± 242.55
b_carotene,pre_Red,457.68490057617294,336.02186303866813,12,457.68 ± 336.02
b_carotene,pre_Yellow,471.1963930131353,295.1957725501495,11,471.2 ± 295.2
b_cryptoxanthin,NA_Baseline,271.01666666666665,166.51317629181145,12,271.02 ± 166.51
b_cryptoxanthin,post_Red,288.4166666666667,162.67867286789811,12,288.42 ± 162.68
b_cryptoxanthin,post_Yellow,230.86363636363637,72.1449550935791,11,230.86 ± 72.14
b_cryptoxanthin,pre_Red,358.05,204.60822652971794,12,358.05 ± 204.61
b_cryptoxanthin,pre_Yellow,237.3090909090909,82.53090881052327,11,237.31 ± 82.53
lutein,NA_Baseline,358.76139655970485,135.883634593758,12,358.76 ± 135.88
lutein,post_Red,390.2518574314883,184.9867901144706,12,390.25 ± 184.99
lutein,post_Yellow,391.0500894190809,137.56733371624938,11,391.05 ± 137.57
lutein,pre_Red,350.9385837737947,212.06310195790155,12,350.94 ± 212.06
lutein,pre_Yellow,362.8653955744482,149.21848311768125,11,362.87 ± 149.22
n5_cis_lyc,NA_Baseline,265.9391478435576,96.20961932160867,12,265.94 ± 96.21
n5_cis_lyc,post_Red,340.6262179306699,165.36946539424335,12,340.63 ± 165.37
n5_cis_lyc,post_Yellow,182.18068282521511,84.97442410062388,11,182.18 ± 84.97
n5_cis_lyc,pre_Red,158.22453423922002,68.26745865140514,12,158.22 ± 68.27
n5_cis_lyc,pre_Yellow,201.7289000713871,95.57064097067806,11,201.73 ± 95.57
other_cis_lyc,NA_Baseline,295.624053258982,108.47319135887354,12,295.62 ± 108.47
other_cis_lyc,post_Red,451.31312052893827,182.56536790000925,12,451.31 ± 182.57
other_cis_lyc,post_Yellow,209.62277476221016,77.29951081669404,11,209.62 ± 77.3
other_cis_lyc,pre_Red,193.83502538056408,78.02527391911735,12,193.84 ± 78.03
other_cis_lyc,pre_Yellow,235.8279524759975,105.474050178424,11,235.83 ± 105.47
phytoene,NA_Baseline,61.73979913710119,47.64141451588897,12,61.74 ± 47.64
phytoene,post_Red,609.0524882839512,621.1684573793834,12,609.05 ± 621.17
phytoene,post_Yellow,121.55068028910691,69.01619861398406,11,121.55 ± 69.02
phytoene,pre_Red,186.89061349210914,160.70082051319648,12,186.89 ± 160.7
phytoene,pre_Yellow,187.380054795406,117.72639781491561,11,187.38 ± 117.73
phytofluene,NA_Baseline,294.8569991148277,186.182927977815,12,294.86 ± 186.18
phytofluene,post_Red,974.9913460770772,622.8562053421284,12,974.99 ± 622.86
phytofluene,post_Yellow,234.0888792121593,134.71041197489131,11,234.09 ± 134.71
phytofluene,pre_Red,216.47079173070057,145.24420340654083,12,216.47 ± 145.24
phytofluene,pre_Yellow,348.61298204808224,225.35140706671,11,348.61 ± 225.35
total_carotenoids,NA_Baseline,2601.3378814194616,748.013542724221,12,2601.34 ± 748.01
total_carotenoids,post_Red,4411.3905336670905,1907.1831051484137,12,4411.39 ± 1907.18
total_carotenoids,post_Yellow,2163.727066306483,601.4037747033858,11,2163.73 ± 601.4
total_carotenoids,pre_Red,2321.188037474346,962.2586608035424,12,2321.19 ± 962.26
total_carotenoids,pre_Yellow,2480.0146379262123,765.1904955264115,11,2480.01 ± 765.19
total_cis_lyc,NA_Baseline,561.5632011025396,203.12878900935797,12,561.56 ± 203.13
total_cis_lyc,post_Red,791.9393384596082,345.5124134742771,12,791.94 ± 345.51
total_cis_lyc,post_Yellow,391.80345758742527,160.35377267681628,11,391.8 ± 160.35
total_cis_lyc,pre_Red,352.05955961978407,141.86658836645003,12,352.06 ± 141.87
total_cis_lyc,pre_Yellow,437.5568525473846,199.45621883131926,11,437.56 ± 199.46
total_lyc,NA_Baseline,954.4181393738473,379.36749382873006,12,954.42 ± 379.37
total_lyc,post_Red,1298.4344760611732,664.7124364416998,12,1298.43 ± 664.71
total_lyc,post_Yellow,603.508474886191,274.2370463050999,11,603.51 ± 274.24
total_lyc,pre_Red,522.771506085902,228.25059158715243,12,522.77 ± 228.25
total_lyc,pre_Yellow,659.7041607757432,325.7998963127009,11,659.7 ± 325.8
zeaxanthin,NA_Baseline,76.42409367210898,35.67345535834221,12,76.42 ± 35.67
zeaxanthin,post_Red,75.37179368321273,33.711368507019714,12,75.37 ± 33.71
zeaxanthin,post_Yellow,96.91489222889845,33.411285228040015,11,96.91 ± 33.41
zeaxanthin,pre_Red,90.96261867207429,37.14904500240663,12,90.96 ± 37.15
zeaxanthin,pre_Yellow,87.68188418354667,30.961329865072496,11,87.68 ± 30.96
