p.value,m.z,t.score,r.t,pos_inx
1.63e-09,201.0228,20.57600608,4.555,0
3.49e-09,461.1074,19.02935788,3.814,1
3.83e-09,461.1078,18.84692465,3.304,1
4.02e-09,201.0227,18.75227793,4.086,0
6.21e-09,1122.0249,17.93527437,4.032,0
6.59e-09,435.1282,17.82712829,4.891,1
7.19e-09,459.093,17.66659084,3.801,0
1.34e-08,1122.0248,16.5680405,4.125,0
1.75e-08,431.0972,16.11389519,4.035,1
5.53e-08,429.0815,14.30093534,4.032,0
5.82e-08,433.113,14.22305494,4.886,0
6.61e-08,431.0966,14.0362153,3.757,1
7.15e-08,297.0975,13.92122564,4.498,0
8.14e-08,429.082,13.73217442,3.756,0
1.16e-07,497.0695,13.23504604,3.785,0
1.67e-07,431.0964,12.7318993,3.273,1
2.07e-07,433.1123,12.44558914,3.32,1
3.23e-07,429.083,11.870765,3.201,0
3.89e-07,447.0916,11.63889139,4.229,1
4.08e-07,271.0596,11.58009441,4.449,1
4.61e-07,316.1385,11.42889909,4.504,1
5.35e-07,335.0244,11.24879999,4.36,0
6.34e-07,433.1121,11.04553027,3.884,1
9e-07,253.0503,10.6367442,5.048,0
1.17e-06,297.09753,10.34340338,4.072,0
1.45e-06,333.0066,10.10377884,3.893,0
1.49e-06,525.0334,10.06744586,3.606,0
1.55e-06,509.0409,10.02414972,3.291,0
1.84e-06,333.0047,9.840711132,4.33,0
3.15e-06,255.0655,9.275176035,5.039,1
3.58e-06,431.0979,9.146267899,3.907,0
4.62e-06,365.0863,8.889568859,4.095,0
8.19e-06,509.0384,8.337022198,0.699,0
8.38e-06,639.0783,8.315119514,3.758,0
3.13e-05,605.1126,7.143169581,3.023,0
3.36e-05,257.0816,7.084908476,6.056,0
4.51e-05,521.1082,6.840536791,4.508,0
4.57e-05,445.0782,6.830647931,4.484,0
9.79e-05,493.1666,6.227473803,4.573,0
0.000119,393.0495,6.076525934,3.605,0
0.000868,217.0172,4.679863635,4.4,0
0.00105,234.1122,-4.552660094,4.883,1
0.00117,617.1836,4.484883029,4.515,0
0.00125,433.1136,4.442152595,4.519,0
0.00251,366.0851,4.001610688,4.55,0
