"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Vitamin B6 (pyridoxine) metabolism",11,2,1,0.2468,0.04762,0.06399
"Methionine and cysteine metabolism",94,10,1,0.4022,0.04301,0.08748
"Phosphatidylinositol phosphate metabolism",59,5,2,0.04991,0.3804,0.09425
"Hyaluronan Metabolism",8,1,1,0.1066,0.1974,0.1023
"Porphyrin metabolism",43,7,2,0.08029,0.4624,0.1594
"C5-Branched dibasic acid metabolism",10,2,2,0.05469,0.8305,0.1858
"Ascorbate (Vitamin C) and Aldarate Metabolism",29,12,4,0.04784,1,0.1933
"Hexose phosphorylation",20,6,1,0.2025,0.2771,0.2178
"Butanoate metabolism",34,6,1,0.2888,0.2135,0.2335
"Ubiquinone Biosynthesis",10,4,1,0.3664,0.2418,0.3033
"Chondroitin sulfate degradation",37,4,2,0.2468,0.3929,0.3233
"Heparan sulfate degradation",34,4,2,0.2468,0.3929,0.3233
"D4&E4-neuroprostanes formation",37,2,1,0.1558,0.7403,0.3645
"Linoleate metabolism",46,7,1,0.2025,0.9518,0.5101
"Prostaglandin formation from arachidonate",78,12,1,0.3664,0.6044,0.5553
"Sialic acid metabolism",107,8,1,0.2888,0.9326,0.6227
"Urea cycle/amino group metabolism",85,14,2,0.2785,1,0.6346
"Pentose and Glucuronate Interconversions",15,9,2,0.2888,1,0.6476
"Glycerophospholipid metabolism",156,7,1,0.3664,0.8462,0.6731
"TCA cycle",31,6,2,0.3287,1,0.6944
"Tyrosine metabolism",160,37,4,0.338,1,0.7046
"Purine metabolism",80,13,1,0.5546,1,0.8815
"Tryptophan metabolism",94,22,1,0.7989,1,0.9783
