"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","12","4","1","0.047839","0.19081","0.0005226","7","0.07","1","1","0.0120198","P1","EC00034;EC00012;EC0003"
"Phosphatidylinositol phosphate metabolism","59","5","2","0.4375","0.04991","0.30877","0.00052746","5","0.05","1","1","0.0120198","P2","EC00034;EC000105"
"C5-Branched dibasic acid metabolism","10","2","2","0.0625","0.054688","1","0.00053884","0","0","1","1","0.0120198","P3","EC00062"
"Porphyrin metabolism","43","7","2","0.5625","0.080293","0.3792","0.00060439","3","0.03","1","1","0.0120878","P4","EC00034;EC00012"
"Hyaluronan Metabolism","8","1","1","0.125","0.10659","1","0.00068038","1","0.01","1","1","0.01292722","P5","EC00034"
"D4&E4-neuroprostanes formation","37","2","1","0.1875","0.15583","1","0.00085067","2","0.02","1","1","0.01531206","P6","EC00012"
"Linoleate metabolism","46","7","1","0.25","0.20254","1","0.0010536","3","0.03","1","1","0.0179112","P7","EC00012"
"Hexose phosphorylation","20","6","1","0.25","0.20254","1","0.0010536","9","0.09","1","1","0.0179112","P8","EC000102"
"Chondroitin sulfate degradation","37","4","2","0.3125","0.24685","1","0.0012933","19","0.19","1","1","0.0193995","P9","EC00034"
"Heparan sulfate degradation","34","4","2","0.3125","0.24685","1","0.0012933","19","0.19","1","1","0.0193995","P10","EC00034"
"Vitamin B6 (pyridoxine) metabolism","11","2","1","0.3125","0.24685","1","0.0012933","10","0.1","1","1","0.0193995","P11","EC00047"
"Urea cycle/amino group metabolism","85","14","2","1.1875","0.27853","0.64221","0.0014996","27","0.27","1","1","0.0193995","P12","EC000113;EC00047"
"Sialic acid metabolism","107","8","1","0.375","0.28885","1","0.001574","14","0.14","1","1","0.0193995","P13","EC000105"
"Butanoate metabolism","34","6","1","0.375","0.28885","1","0.001574","22","0.22","1","1","0.0193995","P14","EC000128"
"Pentose and Glucuronate Interconversions","15","9","2","0.375","0.28885","1","0.001574","22","0.22","1","1","0.0193995","P15","EC00034"
"TCA cycle","31","6","2","0.4375","0.32868","1","0.0019001","28","0.28","1","1","0.0193995","P16","EC0003"
"Tyrosine metabolism","160","37","4","3.375","0.338","0.54187","0.0019862","69","0.69","1","1","0.0193995","P17","EC00047;EC0003;EC00012;EC000113"
"Glycerophospholipid metabolism","156","7","1","0.5","0.36642","1","0.0022758","20","0.2","1","1","0.0193995","P18","EC000105"
"Prostaglandin formation from arachidonate","78","12","1","0.5","0.36642","1","0.0022758","15","0.15","1","1","0.0193995","P19","EC00012"
"Ubiquinone Biosynthesis","10","4","1","0.5","0.36642","1","0.0022758","31","0.31","1","1","0.0193995","P20","EC00026"
"Methionine and cysteine metabolism","94","10","1","0.5625","0.40219","1","0.0027057","24","0.24","1","1","0.0193995","P21","EC000181"
"Purine metabolism","80","13","1","0.875","0.55456","1","0.0058147","34","0.34","1","1","0.0193995","P22","EC00012"
"Tryptophan metabolism","94","22","1","1.6875","0.79889","1","0.023618","77","0.77","1","1","0.023618","P23","EC000217"
