m.z,r.t,p.value,t.score,mode
1030.3123,3.466,0.616,0.518192116,negative
108.0216,3.832,0.542,-0.631667843,negative
109.0294,3.11,0.598,0.544359417,negative
1093.9937,2.988,0.747,0.33230921,negative
1108.0095,3.117,0.636,0.48855785,negative
1108.0095,3.194,0.68,0.424405805,negative
1108.0095,3.804,0.628,0.499356153,negative
111.0085,0.703,0.829,0.221816091,negative
1122.0248,4.125,1.34E-08,16.5680405,negative
1122.0249,4.032,6.21E-09,17.93527437,negative
1133.0047,3.302,0.445,-0.794435014,negative
123.0452,4.211,0.76,-0.313853535,negative
124.0072,0.616,0.574,0.580445227,negative
131.0349,0.8,0.858,0.183484402,negative
133.0504,0.696,0.212,-1.331752715,negative
135.0295,0.64,0.421,0.83935663,negative
137.0243,4.815,0.495,-0.708594923,negative
137.0244,4.225,0.522,-0.663260789,negative
137.0248,0.733,0.151,-1.55463139,negative
144.03,0.697,0.22,1.307079556,negative
144.0665,0.781,0.317,1.05418883,negative
145.0141,0.693,0.974,0.033841107,negative
146.0456,0.708,0.266,1.177831802,negative
147.0298,0.76,0.348,-0.984824536,negative
149.0089,0.649,0.964,-0.046338868,negative
149.0452,0.654,0.595,-0.549233641,negative
151.04,4.082,0.113,1.736241208,negative
151.04,4.576,0.242,1.242863256,negative
154.0621,0.609,0.289,1.120260623,negative
154.9984,0.703,0.26,1.19367602,negative
157.0506,2.959,0.271,1.16444717,negative
161.0454,0.768,0.769,-0.301957842,negative
161.9866,2.133,0.144,1.584625529,negative
161.988,0.685,0.102,1.797936717,negative
165.0405,0.634,0.513,0.677554637,negative
165.0409,0.76,0.699,-0.397348497,negative
165.0417,2.342,0.811,0.245626183,negative
165.0557,4.102,0.321,1.043390964,negative
167.0208,0.657,0.725,0.36163044,negative
167.0211,1.15,0.869,-0.169751892,negative
168.0301,0.797,0.435,0.813286562,negative
168.0302,2.597,0.139,1.607750053,negative
168.0777,0.606,0.315,1.058067178,negative
171.0487,4.824,0.972,0.035626916,negative
172.9915,3.001,0.55,0.618031366,negative
173.0001,2.997,0.691,0.408679559,negative
173.0089,0.672,0.857,0.18535467,negative
173.0091,1.231,0.515,-0.674916708,negative
173.9923,0.799,0.28,1.141868356,negative
174.0405,0.655,0.806,-0.251809687,negative
175.0241,0.753,0.0356,-2.426976578,negative
175.0611,3.177,0.868,-0.170728513,negative
175.0975,4.743,0.992,-0.010336584,negative
177.0225,0.776,0.465,0.759898308,negative
177.1283,5.202,0.803,-0.256485262,negative
178.0513,2.879,0.406,-0.867077876,negative
178.0515,2.811,0.798,-0.262586612,negative
178.0515,3.479,0.512,-0.68013236,negative
178.0524,2.721,0.0263,-2.604367209,negative
178.0526,3.481,0.981,-0.024715666,negative
178.0557,3.444,0.308,-1.07510933,negative
179.0556,0.643,0.287,-1.125573802,negative
181.0503,4.495,0.0732,-2.001250629,negative
181.0504,3.017,0.735,-0.347986247,negative
181.0505,0.817,0.8,-0.26041282,negative
181.0507,4.062,0.0583,-2.137329969,negative
181.9916,0.803,0.843,0.203393101,negative
181.9917,2.823,0.885,0.148532778,negative
182.0076,0.788,0.82,0.23390728,negative
182.0282,0.77,0.7,-0.396996919,negative
182.0458,0.803,0.115,1.724005225,negative
182.0458,2.174,0.301,1.089676975,negative
184.0979,4.054,0.262,-1.188083347,negative
185.0819,4.129,0.231,1.275911874,negative
187.0075,3.121,0.787,0.278087002,negative
187.0079,3.815,0.731,0.353807409,negative
187.0101,3.824,0.491,0.71575555,negative
187.0383,0.634,0.496,-0.706162657,negative
187.0387,3.806,0.768,0.30264088,negative
188.0021,0.665,0.0521,2.203965783,negative
188.9863,1.166,0.557,-0.608086754,negative
188.9864,0.815,0.761,-0.313006787,negative
188.9864,2.765,0.779,-0.288004449,negative
189.0027,3.097,0.765,0.306970439,negative
191.0201,1.159,0.248,-1.227924806,negative
191.0203,0.697,0.853,0.190700968,negative
191.0212,0.699,0.488,-0.720481334,negative
191.0267,0.755,0.359,0.960451288,negative
191.0276,1.165,0.433,0.816697387,negative
191.0523,0.699,0.351,0.978430291,negative
191.0524,0.713,0.578,0.5757281,negative
191.1076,5.282,0.526,-0.65679055,negative
191.1105,5.283,0.911,-0.114468007,negative
193.0351,0.617,0.313,1.061723459,negative
193.0353,5.465,0.0985,1.821656427,negative
194.0458,3.657,0.942,-0.074325214,negative
194.0459,0.799,0.622,-0.507985115,negative
194.0459,2.735,0.744,-0.335719869,negative
194.0459,2.921,0.694,-0.405480413,negative
194.0459,3.542,0.747,-0.331514216,negative
194.0459,4.033,0.76,-0.313677961,negative
194.046,0.798,0.622,-0.507985115,negative
194.0491,4.031,0.0977,-1.826457337,negative
194.0495,2.735,0.817,-0.237691485,negative
194.0546,0.797,0.796,-0.265484784,negative
195.0512,0.787,0.913,0.112150849,negative
195.0514,2.765,0.917,-0.106440724,negative
195.051,0.627,0.422,0.836910448,negative
197.0442,3.134,0.334,-1.014723798,negative
197.0453,3.76,0.256,-1.205021285,negative
197.0471,3.745,0.405,-0.868754399,negative
197.0819,4.344,0.469,0.752232421,negative
198.1135,5.021,0.545,0.625985576,negative
199.0068,4.328,0.111,1.747508339,negative
199.0975,5.017,0.883,-0.150510133,negative
200.1291,5.38,0.54,0.63424576,negative
201.0227,4.086,4.02E-09,18.75227793,negative
201.0228,4.555,1.63E-09,20.57600608,negative
203.0017,3.661,0.651,0.466198773,negative
203.0021,0.801,0.0646,-2.076658067,negative
203.0021,2.888,0.868,0.169894048,negative
203.002,3.205,0.373,-0.932080313,negative
203.0048,3.202,0.82,0.23367395,negative
204.0666,4.129,0.45,-0.786775411,negative
204.0666,4.532,0.298,-1.097659104,negative
204.9812,0.795,0.488,0.720172401,negative
204.9812,2.586,0.618,0.514499235,negative
205.0352,0.76,0.522,0.663849799,negative
206.9961,0.7,0.596,-0.548319767,negative
206.9967,2.418,0.0306,-2.516754912,negative
208.0615,3.836,0.0569,-2.151359637,negative
208.0646,0.766,0.349,0.981766149,negative
209.0452,3.159,0.551,-0.61670804,negative
209.0452,3.24,0.329,-1.026413891,negative
209.0455,3.749,0.583,-0.567030182,negative
209.0532,3.773,0.0926,-1.859337603,negative
210.0419,3.959,0.844,0.202510454,negative
211.0611,3.158,0.0912,-1.868747204,negative
211.0613,3.866,0.948,-0.066606719,negative
211.0615,4.235,0.748,-0.330566869,negative
211.0967,4.185,0.506,-0.689211135,negative
211.0971,3.846,0.148,-1.566351919,negative
212.0023,0.825,0.848,0.196389803,negative
212.0027,3.304,0.57,0.587092303,negative
212.0065,4.503,0.926,0.095726058,negative
212.0937,3.815,0.912,0.113568039,negative
213.1132,5.201,0.112,1.741647659,negative
213.9981,2.254,0.61,0.526811858,negative
215.0021,3.307,0.0799,1.948677756,negative
215.0326,0.629,0.508,0.686156241,negative
216.9808,0.715,0.218,-1.313963057,negative
216.9812,2.65,0.412,-0.855267741,negative
216.981,0.709,0.752,-0.325512195,negative
217.0161,1.159,0.649,-0.469570639,negative
217.0162,0.671,0.967,-0.042279243,negative
217.0172,4.4,8.68E-04,4.679863635,negative
217.0173,3.88,0.0449,2.29167466,negative
217.0486,0.63,0.383,0.913122617,negative
217.1081,3.912,0.17,1.479185011,negative
218.0492,0.684,0.65,0.467943864,negative
218.0821,5.22,0.122,-1.689867929,negative
218.1032,0.748,0.941,-0.076031275,negative
218.1033,2.56,0.448,-0.789214685,negative
218.9961,0.686,0.369,-0.94109258,negative
218.9964,3.175,0.949,0.065233521,negative
219.0457,0.629,0.394,0.890015987,negative
219.0508,0.792,0.303,-1.085159123,negative
219.0509,2.854,0.265,-1.179524526,negative
219.0524,2.85,0.316,-1.054858912,negative
220.0979,4.733,0.0978,1.825848312,negative
221.1178,5.185,0.315,-1.058572487,negative
222.0406,3.686,0.924,-0.097563232,negative
222.1134,5.811,0.309,1.072742711,negative
223.0623,0.802,0.0558,-2.162975714,negative
223.0969,5.259,0.319,-1.047646204,negative
223.0982,5.267,0.955,-0.058015372,negative
224.0561,3.018,0.276,1.151372945,negative
224.0563,0.81,0.198,1.377206073,negative
224.062,4.537,0.841,0.206098721,negative
225.0623,0.658,0.412,-0.855268299,negative
227.0554,2.1,0.821,-0.231911625,negative
227.0559,0.8,0.096,-1.837385006,negative
227.06,0.796,0.0989,-1.819120533,negative
227.9967,0.668,0.493,0.711900105,negative
227.9971,0.795,0.656,0.459428628,negative
