"p.value","m.z","t.score","r.t"
9.54e-12,459.0923,34.63331286,4.329
8.27e-11,531.0208,27.85063125,5.949
8.73e-11,461.1072,27.69722753,4.293
3.46e-10,607.1285,24.09123257,8.059
6.1e-10,509.039,22.7402144,6.64
1.52e-09,201.0078,20.7144575,1.025
1.76e-09,703.0841,20.40823381,8.109
1.86e-09,431.0968,20.29517662,4.511
6.14e-09,621.1088,17.95531478,7.531
9.15e-09,259.0977,17.23357349,3.914
9.77e-09,469.0527,17.11766979,4.611
2.89e-08,429.0822,15.29748065,4.539
2.97e-08,445.077,15.25780432,4.149
3.68e-08,431.098,14.91924708,4.31
6.12e-08,433.1135,14.14851908,3.943
9.62e-08,433.1123,13.49473511,4.289
1.14e-07,349.002,13.25244764,2.669
2.22e-07,333.0072,12.35749885,3.165
2.63e-07,447.0919,12.13460587,4.001
3.29e-07,504.1358,11.84874355,1.245
3.5e-07,297.0995,11.77190723,3.753
4.94e-07,353.0331,11.34519902,2.172
6.78e-07,335.0228,10.96608213,2.013
7.05e-07,433.2365,10.9211568,1.214
7.19e-07,333.0076,10.89700072,2.172
1.08e-06,353.0334,10.43201338,2.232
1.58e-06,674.2293,10.00998616,1.21
1.69e-06,712.2431,9.93544803,1.025
2.08e-06,333.0077,9.709449287,2.22
2.41e-06,440.9939,9.554423228,1.065
3.24e-06,355.0323,9.247915679,2.199
5.51e-06,358.132,8.717595274,3.491
5.77e-06,313.0919,8.672444971,5.697
1.05e-05,254.1498,8.107798802,4.993
1.14e-05,341.0875,8.032532678,4.696
1.63e-05,363.0179,7.704842738,2.025
1.76e-05,688.2445,7.640702329,1.123
1.93e-05,377.0534,7.558170183,3.749
3.05e-05,621.1629,7.164614775,3.937
5.01e-05,217.0164,6.754760896,3.25
6.47e-05,397.0538,6.550704025,5.353
8.04e-05,449.108,6.379260666,4.523
8.93e-05,636.2293,6.298549714,3.934
0.000101,253.0827,6.202243269,3.556
0.000108,311.0767,6.149960781,4.586
0.000128,234.1136,-6.021853226,0.825
0.000146,381.0996,5.924889023,3.658
