m.z,r.t,p.value,t.score,mode
459.0923,4.329,9.54E-12,34.63331286,negative
531.0208,5.949,8.27E-11,27.85063125,negative
461.1072,4.293,8.73E-11,27.69722753,positive
607.1285,8.059,3.46E-10,24.09123257,positive
509.039,6.64,6.10E-10,22.7402144,negative
201.0078,1.025,1.52E-09,20.7144575,negative
703.0841,8.109,1.76E-09,20.40823381,negative
431.0968,4.511,1.86E-09,20.29517662,positive
621.1088,7.531,6.14E-09,17.95531478,negative
259.0977,3.914,9.15E-09,17.23357349,positive
469.0527,4.611,9.77E-09,17.11766979,positive
429.0822,4.539,2.89E-08,15.29748065,negative
445.077,4.149,2.97E-08,15.25780432,negative
431.098,4.31,3.68E-08,14.91924708,negative
433.1135,3.943,6.12E-08,14.14851908,negative
433.1123,4.289,9.62E-08,13.49473511,positive
349.002,2.669,1.14E-07,13.25244764,negative
333.0072,3.165,2.22E-07,12.35749885,negative
447.0919,4.001,2.63E-07,12.13460587,positive
504.1358,1.245,3.29E-07,11.84874355,negative
297.0995,3.753,3.50E-07,11.77190723,negative
353.0331,2.172,4.94E-07,11.34519902,negative
335.0228,2.013,6.78E-07,10.96608213,negative
433.2365,1.214,7.05E-07,10.9211568,positive
333.0076,2.172,7.19E-07,10.89700072,negative
353.0334,2.232,1.08E-06,10.43201338,negative
674.2293,1.21,1.58E-06,10.00998616,negative
712.2431,1.025,1.69E-06,9.93544803,negative
333.0077,2.22,2.08E-06,9.709449287,negative
440.9939,1.065,2.41E-06,9.554423228,negative
355.0323,2.199,3.24E-06,9.247915679,negative
358.132,3.491,5.51E-06,8.717595274,negative
313.0919,5.697,5.77E-06,8.672444971,negative
254.1498,4.993,1.05E-05,8.107798802,positive
341.0875,4.696,1.14E-05,8.032532678,negative
363.0179,2.025,1.63E-05,7.704842738,negative
688.2445,1.123,1.76E-05,7.640702329,negative
377.0534,3.749,1.93E-05,7.558170183,negative
621.1629,3.937,3.05E-05,7.164614775,negative
217.0164,3.25,5.01E-05,6.754760896,negative
397.0538,5.353,6.47E-05,6.550704025,negative
449.108,4.523,8.04E-05,6.379260666,negative
636.2293,3.934,8.93E-05,6.298549714,negative
253.0827,3.556,1.01E-04,6.202243269,negative
311.0767,4.586,1.08E-04,6.149960781,negative
234.1136,0.825,1.28E-04,-6.021853226,positive
381.0996,3.658,1.46E-04,5.924889023,negative
232.0985,0.835,1.58E-04,-5.865248404,negative
540.4236,0.454,1.82E-04,-5.762673798,positive
191.0196,0.953,2.28E-04,-5.598341946,negative
337.0384,3.521,2.39E-04,5.564875337,negative
297.0971,0.537,3.07E-04,5.387443355,negative
497.1106,3.715,3.68E-04,5.261046961,negative
467.1357,3.676,4.97E-04,5.052704087,negative
545.1254,2.429,5.00E-04,-5.048831342,negative
492.1522,3.718,7.72E-04,4.756984388,negative
217.0174,1.047,9.47E-04,4.622222983,negative
646.1225,3.879,0.00118,4.481635871,negative
229.0023,1.031,0.00151,-4.321336878,negative
253.0826,3.616,0.00154,4.306787572,negative
531.0967,3.961,0.00168,4.252198696,negative
339.1848,1.034,0.00171,-4.242686456,negative
165.0046,1.023,0.00176,-4.225187566,negative
477.1233,1.01,0.00183,4.199327414,negative
