Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
465.2489,5adtststeroneglc,M-H [1-],0.518,0.000476999999989403,EC0001
481.2435,5adtststeroneglc,M-H+O [1-],0.53,0.000786533229984343,EC0001
511.254,5adtststeroneglc,M+HCOO [1-],0.526,0.000297999999986587,EC0001
465.2489,ahandrostanglc,M-H [1-],0.518,0.000476999999989403,EC0001
481.2435,ahandrostanglc,M-H+O [1-],0.53,0.000786533229984343,EC0001
511.254,ahandrostanglc,M+HCOO [1-],0.526,0.000297999999986587,EC0001
465.2489,andrstrnglc,M-H [1-],0.518,0.000476999999989403,EC0001
481.2435,andrstrnglc,M-H+O [1-],0.53,0.000786533229984343,EC0001
511.254,andrstrnglc,M+HCOO [1-],0.526,0.000297999999986587,EC0001
246.0176,C00018,M-H [1-],3.616,0.000275999999985288,EC0002
397.1261,C00019,M-H [1-],4.74,0.00382400000000871,EC0003
399.1441,C00019,M+H [1+],8.024,0.000376000000017029,EC0004
348.0688,C00020,M+H [1+],5.645,0.00157600000000002,EC0005
191.0539,C00021,M-2H [2-],5.675,0.000375999999988608,EC0006
383.1166,C00021,M-H [1-],1.001,0.00227599999999484,EC0007
385.1256,C00021,M+H [1+],3.911,0.00327599999997119,EC0008
399.1089,C00021,M-H+O [1-],4.124,0.00033353322999119,EC0008
104.0706,C00025,M-CO2+H [1+],5.342,7.64667699968413e-05,EC0009
104.07066,C00025,M-CO2+H [1+],5.078,1.64667699920074e-05,EC0009
128.0354,C00025,M-H2O-H [1-],5.186,0.000590000000016744,EC0009
130.0499,C00025,M-H2O+H [1+],4.245,2.35332300064783e-05,EC00010
145.0142,C00026,M-H [1-],5.656,2.4000000024671e-05,EC00011
191.0198,C00026,M+HCOO [1-],5.679,0.000654999999994743,EC00011
205.0353,C00026,M+CH3COO [1-],5.68,0.000505000000003974,EC00011
215.0163,C00026,M+HCOONa [1+],5.665,0.000123533230009798,EC00011
161.0455,C00031,M-H2O-H [1-],3.634,0.000490000000013424,EC00012
161.04552,C00031,M-H2O-H [1-],5.668,0.000510000000019772,EC00013
161.04556,C00031,M-H2O-H [1-],3.524,0.000550000000004047,EC00012
179.0559,C00031,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00031,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00031,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00031,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00031,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00031,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00031,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00031,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
307.0839,C00032,M-2H [2-],3.473,0.00252600000004577,EC00017
307.08398,C00032,M-2H [2-],5.094,0.00260600000001432,EC00018
307.084,C00032,M-2H [2-],4.173,0.00262600000002067,EC00019
307.0843,C00032,M-2H [2-],4.338,0.0029260000000022,EC00019
307.0844,C00032,M-2H [2-],5.158,0.00302600000003395,EC00018
88.0403,C00041,M-H [1-],6.143,0.000123999999999569,EC00020
145.0982,C00047,M-H [1-],8.275,2.4000000024671e-05,EC00021
147.1129,C00047,M+H [1+],8.251,0.000123999999999569,EC00021
437.089,C00061,M-H2O-H [1-],2.266,0.00279000000000451,EC00022
175.119,C00062,M+H [1+],8.106,2.39999999962492e-05,EC00023
129.0654,C00064,M-H2O+H [1+],5.675,0.000376466769978379,EC00024
129.066,C00064,M-H2O+H [1+],6.198,0.000223533230013118,EC00025
145.0618,C00064,M-H [1-],3.339,2.39999999962492e-05,EC00026
145.0619,C00064,M-H [1-],6.606,7.60000000070704e-05,EC00027
147.0765,C00064,M+H [1+],6.582,0.000124000000027991,EC00027
424.0372,C00068,M-H [1-],1.749,0.000524000000041269,EC00028
175.0245,C00072,M-H [1-],0.522,0.00032400000003463,EC00029
175.0246,C00072,M-H [1-],5.38,0.00022400000003131,EC00030
175.02464,C00072,M-H [1-],5.701,0.000184000000018614,EC00031
175.02465,C00072,M-H [1-],4.153,0.00017400000001544,EC00032
191.01966,C00072,M-H+O [1-],0.526,7.3533230022349e-05,EC00029
191.0198,C00072,M-H+O [1-],5.679,6.64667699936672e-05,EC00031
150.0583,C00073,M+H [1+],1.33,2.4000000024671e-05,EC00033
150.0585,C00073,M+H [1+],0.581,0.00022400000003131,EC00034
115.0866,C00077,M-H2O+H [1+],4.961,2.35332300064783e-05,EC00035
203.0825,C00078,M-H [1-],4.789,0.000123999999999569,EC00036
205.0972,C00078,M+H [1+],4.752,2.39999999962492e-05,EC00036
164.0715,C00079,M-H [1-],4.437,0.00022400000003131,EC00037
166.0861,C00079,M+H [1+],4.404,0.00017600000001039,EC00037
166.0862,C00079,M+H [1+],4.968,7.60000000070704e-05,EC00038
182.0808,C00082,M+H [1+],5.647,0.000375999999988608,EC00039
182.081,C00082,M+H [1+],1.497,0.00017600000001039,EC00040
182.0811,C00082,M+H [1+],5.07,7.60000000070704e-05,EC00041
182.0814,C00082,M+H [1+],5.498,0.000224000000002889,EC00039
61.0396,C00086,M+H [1+],2.563,7.5999999999965e-05,EC00042
341.1086,C00089,M-H [1-],6.451,0.000323999999977787,EC00043
365.1052,C00089,M+Na [1+],6.439,0.000217999999961194,EC00043
377.0853,C00089,M+Cl [1-],6.452,0.000200000000006639,EC00043
109.0295,C00090,M-H [1-],2.682,2.39999999962492e-05,EC00044
179.0559,C00095,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00095,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00095,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00095,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00095,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00095,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00095,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00095,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
88.0403,C00099,M-H [1-],6.143,0.000123999999999569,EC00020
110.0601,C00108,M-CO+H [1+],2.847,0.000123533230024009,EC00046
121.0283,C00108,M-NH3+H [1+],3.861,0.00017646676998595,EC00047
138.0541,C00108,M+H [1+],2.867,0.000875999999976784,EC00046
138.0549,C00108,M+H [1+],3.649,7.59999999786487e-05,EC00047
138.055,C00108,M+H [1+],4.139,2.4000000024671e-05,EC00048
138.0556,C00108,M+H [1+],4.837,0.000624000000016167,EC00049
73.0294,C00116,M-H2O-H [1-],0.881,0.000489999999985002,EC00050
149.0455,C00121,M-H [1-],5.396,2.39999999962492e-05,EC00051
149.04551,C00121,M-H [1-],5.186,1.39999999930751e-05,EC00051
149.04557,C00121,M-H [1-],5.659,4.5999999997548e-05,EC00052
151.0615,C00121,M+H [1+],1.336,0.0014240000000143,EC00053
151.06151,C00121,M+H [1+],0.588,0.00143400000001748,EC00054
165.0405,C00121,M-H+O [1-],6.233,6.64667700220889e-05,EC00052
165.04051,C00121,M-H+O [1-],6.024,7.6466770025263e-05,EC00052
165.04059,C00121,M-H+O [1-],5.703,0.000156466770022234,EC00052
165.0418,C00121,M-H+O [1-],1.302,0.0013664667700084,EC00053
165.042,C00121,M-H+O [1-],0.562,0.00156646677001504,EC00054
195.0516,C00121,M+HCOO [1-],0.562,0.00115500000001134,EC00054
195.0518,C00121,M+HCOO [1-],0.563,0.00135499999998956,EC00054
209.0666,C00121,M+CH3COO [1-],5.694,0.000505000000003974,EC00052
179.0559,C00124,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00124,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00124,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00124,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00124,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00124,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00124,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00124,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
305.0691,C00127,M-2H [2-],3.3,0.000375999999960186,EC00055
595.1274,C00128,M-H2O-H [1-],3.509,0.00151000000005297,EC00056
244.997,C00129,M-H [1-],1.029,0.0015239999999892,EC00057
88.0403,C00133,M-H [1-],6.143,0.000123999999999569,EC00020
138.0661,C00135,M-H2O+H [1+],1.098,7.64667699968413e-05,EC00058
154.0623,C00135,M-H [1-],7.684,7.59999999786487e-05,EC00059
156.0772,C00135,M+H [1+],7.669,0.000424000000009528,EC00059
161.0455,C00137,M-H2O-H [1-],3.634,0.000490000000013424,EC00012
161.04552,C00137,M-H2O-H [1-],5.668,0.000510000000019772,EC00013
161.04556,C00137,M-H2O-H [1-],3.524,0.000550000000004047,EC00012
179.0559,C00137,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00137,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00137,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00137,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00137,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00137,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00137,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00137,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
204.0866,C00140,M-H2O+H [1+],0.88,2.35332300064783e-05,EC00060
204.08669,C00140,M-H2O+H [1+],8.005,0.000113533230006624,EC00061
220.0825,C00140,M-H [1-],5.686,0.000123999999999569,EC00062
242.0665,C00140,M+Na-2H [1- ],5.698,0.00193399999997723,EC00062
123.0553,C00153,M+H [1+],5,2.39999999962492e-05,EC00063
141.066,C00153,M+H2O+H [1+],5.082,0.000123533229981376,EC00063
121.0283,C00156,M-H2O+H [1+],3.861,7.64667699968413e-05,EC00064
137.0244,C00156,M-H [1-],0.97,2.39999999962492e-05,EC00065
153.0193,C00156,M-H+O [1-],1.076,3.35332300096525e-05,EC00065
173.009,C00158,M-H2O-H [1-],6.03,0.000390000000010104,EC00066
191.0196,C00158,M-H [1-],0.953,0.000123999999999569,EC00067
