"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Prostaglandin formation from arachidonate","78","25","3","1.1879","0.082","0.27766","0.0013319","4","0.04","1","1","0.0652631","P1","EC000141;EC000401;EC000402"
"Vitamin B2 (riboflavin) metabolism","8","4","2","0.59394","0.09239","0.418","0.00139","2","0.02","1","1","0.06672","P2","EC00091;EC000272"
"Butanoate metabolism","34","13","3","1.5273","0.14892","0.39051","0.0017562","14","0.14","1","1","0.0825414","P3","EC0009;EC000303;EC000125"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","17","7","4.2424","0.16655","0.30673","0.0018901","16","0.16","1","1","0.0869446","P4","EC000277;EC000279;EC000359;EC00067;EC000203;EC000141"
"Beta-Alanine metabolism","20","6","2","0.84848","0.17147","0.53951","0.0019294","13","0.13","1","1","0.0869446","P5","EC0009;EC000125"
"Biopterin metabolism","22","8","2","0.93333","0.19989","0.57421","0.0021735","11","0.11","1","1","0.095634","P6","EC000212;EC00041"
"Vitamin B9 (folate) metabolism","33","2","1","0.25455","0.21098","1","0.0022775","7","0.07","1","1","0.0979325","P7","EC0009"
"Valine, leucine and isoleucine degradation","65","9","2","1.0182","0.22884","0.60636","0.0024561","14","0.14","1","1","0.1031562","P8","EC0009;EC000125"
"Putative anti-Inflammatory metabolites formation from EPA","27","7","1","0.33939","0.27112","1","0.0029406","10","0.1","1","1","0.1205646","P9","EC0009"
"Squalene and cholesterol biosynthesis","55","5","2","0.33939","0.27112","1","0.0029406","4","0.04","1","1","0.1205646","P10","EC00057"
"Glyoxylate and Dicarboxylate Metabolism","12","1","1","0.33939","0.27112","1","0.0029406","22","0.22","1","1","0.1205646","P11","EC00052"
"Limonene and pinene degradation","10","4","3","0.33939","0.27112","1","0.0029406","2","0.02","1","1","0.1205646","P12","EC000225"
"Aspartate and asparagine metabolism","114","38","9","3.9879","0.2784","0.46666","0.0030337","22","0.22","1","1","0.1205646","P13","EC0009;EC000145;EC000232;EC000221;EC000125"
"Alanine and Aspartate Metabolism","30","11","2","1.1879","0.28744","0.66372","0.0031539","12","0.12","1","1","0.1205646","P14","EC0009;EC000221"
"TCA cycle","31","8","3","1.1879","0.28744","0.66372","0.0031539","14","0.14","1","1","0.1205646","P15","EC00067;EC000141"
"Glutamate metabolism","15","8","2","1.1879","0.28744","0.66372","0.0031539","20","0.2","1","1","0.1205646","P16","EC0009;EC000125"
"Purine metabolism","80","22","4","3.2242","0.32319","0.5474","0.0036808","24","0.24","1","1","0.1214664","P17","EC0009;EC00052;EC000425;EC000111"
"D4&E4-neuroprostanes formation","37","2","1","0.50909","0.37829","1","0.004686","4","0.04","1","1","0.149952","P18","EC000141"
"Nitrogen metabolism","6","2","1","0.50909","0.37829","1","0.004686","15","0.15","1","1","0.149952","P19","EC0009"
"Glycine, serine, alanine and threonine metabolism","88","24","3","2.5455","0.40146","0.66956","0.0051939","25","0.25","1","1","0.155817","P20","EC0009;EC000125;EC000145"
"Tryptophan metabolism","94","39","5","4.6667","0.40637","0.59852","0.0053089","29","0.29","1","1","0.155817","P21","EC0009;EC000387;EC000227;EC000540;EC000182"
"Glutathione Metabolism","19","5","1","0.59394","0.42594","1","0.0057954","12","0.12","1","1","0.1622712","P22","EC0009"
"Porphyrin metabolism","43","7","2","1.6121","0.4302","0.77376","0.0059078","28","0.28","1","1","0.1622712","P23","EC000145;EC000141"
"Glycerophospholipid metabolism","156","11","2","1.697","0.45717","0.79109","0.0066757","30","0.3","1","1","0.1735682","P24","EC000188;EC000168"
"Arachidonic acid metabolism","95","18","1","0.67879","0.47001","1","0.007079","15","0.15","1","1","0.176975","P25","EC0009"
"Pyrimidine metabolism","70","15","2","1.7818","0.48344","0.80713","0.0075292","33","0.33","1","1","0.1807008","P26","EC0009;EC000125"
"Pentose phosphate pathway","37","13","7","1.8667","0.50894","0.82197","0.0084743","45","0.45","1","1","0.1949089","P27","EC00052;EC000109"
"N-Glycan biosynthesis","48","7","1","0.84848","0.54848","1","0.010209","26","0.26","1","1","0.224598","P28","EC00057"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","8","2","0.84848","0.54848","1","0.010209","36","0.36","1","1","0.224598","P29","EC000516"
"Drug metabolism - other enzymes","31","5","1","0.84848","0.54848","1","0.010209","27","0.27","1","1","0.224598","P30","EC000337"
"Histidine metabolism","33","13","2","2.0364","0.55755","0.84838","0.010661","62","0.62","1","1","0.224598","P31","EC0009;EC000317"
"Fructose and mannose metabolism","33","8","1","0.93333","0.58334","1","0.012073","43","0.43","1","1","0.224598","P32","EC000212"
"Ubiquinone Biosynthesis","10","7","1","0.93333","0.58334","1","0.012073","25","0.25","1","1","0.224598","P33","EC00074"
"Arginine and Proline Metabolism","45","19","4","2.3758","0.64459","0.89023","0.016359","48","0.48","1","1","0.261744","P34","EC0009;EC000145"
"Drug metabolism - cytochrome P450","53","14","2","1.1879","0.67289","1","0.018916","29","0.29","1","1","0.28374","P35","EC000461"
"Chondroitin sulfate degradation","37","5","1","1.2727","0.69833","1","0.021622","61","0.61","1","1","0.302708","P36","EC00052"
"Urea cycle/amino group metabolism","85","30","3","3.9879","0.71395","0.88294","0.023511","57","0.57","1","1","0.305643","P37","EC0009;EC000125;EC000145"
"Linoleate metabolism","46","15","2","1.3576","0.72184","1","0.02454","62","0.62","1","1","0.305643","P38","EC000544"
"Hexose phosphorylation","20","12","1","1.3576","0.72184","1","0.02454","64","0.64","1","1","0.305643","P39","EC00074"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","8","1","1.3576","0.72184","1","0.02454","45","0.45","1","1","0.305643","P40","EC0009"
"Aminosugars metabolism","69","10","1","1.3576","0.72184","1","0.02454","42","0.42","1","1","0.305643","P41","EC0009"
"Tyrosine metabolism","160","53","8","6.5333","0.72204","0.85036","0.024566","66","0.66","1","1","0.305643","P42","EC0009;EC000141;EC00041;EC00074;EC000375"
