"","m.z","r.t","p.value","t.score","mode"
"1",459.0923,4.329,9.54e-12,34.63331286,"negative"
"2",531.0208,5.949,8.27e-11,27.85063125,"negative"
"3",461.1072,4.293,8.73e-11,27.69722753,"positive"
"4",607.1285,8.059,3.46e-10,24.09123257,"positive"
"5",509.039,6.64,6.1e-10,22.7402144,"negative"
"6",201.0078,1.025,1.52e-09,20.7144575,"negative"
"7",703.0841,8.109,1.76e-09,20.40823381,"negative"
"8",431.0968,4.511,1.86e-09,20.29517662,"positive"
"9",621.1088,7.531,6.14e-09,17.95531478,"negative"
"10",259.0977,3.914,9.15e-09,17.23357349,"positive"
"11",469.0527,4.611,9.77e-09,17.11766979,"positive"
"12",429.0822,4.539,2.89e-08,15.29748065,"negative"
"13",445.077,4.149,2.97e-08,15.25780432,"negative"
"14",431.098,4.31,3.68e-08,14.91924708,"negative"
"15",433.1135,3.943,6.12e-08,14.14851908,"negative"
"16",433.1123,4.289,9.62e-08,13.49473511,"positive"
"17",349.002,2.669,1.14e-07,13.25244764,"negative"
"18",333.0072,3.165,2.22e-07,12.35749885,"negative"
"19",447.0919,4.001,2.63e-07,12.13460587,"positive"
"20",504.1358,1.245,3.29e-07,11.84874355,"negative"
"21",297.0995,3.753,3.5e-07,11.77190723,"negative"
"22",353.0331,2.172,4.94e-07,11.34519902,"negative"
"23",335.0228,2.013,6.78e-07,10.96608213,"negative"
"24",433.2365,1.214,7.05e-07,10.9211568,"positive"
"25",333.0076,2.172,7.19e-07,10.89700072,"negative"
"26",353.0334,2.232,1.08e-06,10.43201338,"negative"
"27",674.2293,1.21,1.58e-06,10.00998616,"negative"
"28",712.2431,1.025,1.69e-06,9.93544803,"negative"
"29",333.0077,2.22,2.08e-06,9.709449287,"negative"
"30",440.9939,1.065,2.41e-06,9.554423228,"negative"
"31",355.0323,2.199,3.24e-06,9.247915679,"negative"
"32",358.132,3.491,5.51e-06,8.717595274,"negative"
"33",313.0919,5.697,5.77e-06,8.672444971,"negative"
"34",254.1498,4.993,1.05e-05,8.107798802,"positive"
"35",341.0875,4.696,1.14e-05,8.032532678,"negative"
"36",363.0179,2.025,1.63e-05,7.704842738,"negative"
"37",688.2445,1.123,1.76e-05,7.640702329,"negative"
"38",377.0534,3.749,1.93e-05,7.558170183,"negative"
"39",621.1629,3.937,3.05e-05,7.164614775,"negative"
"40",217.0164,3.25,5.01e-05,6.754760896,"negative"
"41",397.0538,5.353,6.47e-05,6.550704025,"negative"
"42",449.108,4.523,8.04e-05,6.379260666,"negative"
"43",636.2293,3.934,8.93e-05,6.298549714,"negative"
"44",253.0827,3.556,0.000101,6.202243269,"negative"
"45",311.0767,4.586,0.000108,6.149960781,"negative"
"46",234.1136,0.825,0.000128,-6.021853226,"positive"
"47",381.0996,3.658,0.000146,5.924889023,"negative"
"48",232.0985,0.835,0.000158,-5.865248404,"negative"
"49",540.4236,0.454,0.000182,-5.762673798,"positive"
"50",191.0196,0.953,0.000228,-5.598341946,"negative"
"51",337.0384,3.521,0.000239,5.564875337,"negative"
"52",297.0971,0.537,0.000307,5.387443355,"negative"
"53",497.1106,3.715,0.000368,5.261046961,"negative"
"54",467.1357,3.676,0.000497,5.052704087,"negative"
"55",545.1254,2.429,5e-04,-5.048831342,"negative"
"56",492.1522,3.718,0.000772,4.756984388,"negative"
"57",217.0174,1.047,0.000947,4.622222983,"negative"
"58",646.1225,3.879,0.00118,4.481635871,"negative"
"59",229.0023,1.031,0.00151,-4.321336878,"negative"
"60",253.0826,3.616,0.00154,4.306787572,"negative"
"61",531.0967,3.961,0.00168,4.252198696,"negative"
"62",339.1848,1.034,0.00171,-4.242686456,"negative"
"63",165.0046,1.023,0.00176,-4.225187566,"negative"
"64",477.1233,1.01,0.00183,4.199327414,"negative"
"65",188.0705,0.471,0.00229,-4.059868877,"positive"
"66",230.1247,5.055,0.00236,4.039951116,"positive"
"67",252.0203,4.947,0.0025,-4.003363269,"negative"
"68",489.1195,2.377,0.00252,-3.998704587,"negative"
"69",123.0542,0.96,0.00301,-3.889288509,"negative"
"70",431.1156,2.347,0.00347,-3.803352465,"negative"
"71",206.082,0.895,0.00384,-3.740533246,"negative"
"72",119.0352,5.013,0.00533,3.543510705,"negative"
"73",183.1025,0.808,0.00561,-3.512222238,"negative"
"74",423.0586,7.921,0.00572,-3.500973355,"negative"
"75",208.0968,0.848,0.00587,-3.485202514,"positive"
"76",229.0174,0.829,0.00595,-3.477465542,"negative"
"77",345.155,0.983,0.00675,-3.401672545,"negative"
"78",443.1009,0.567,0.00726,-3.35839079,"negative"
"79",143.0816,5.378,0.0074,3.34742894,"positive"
"80",144.0302,5.659,0.00772,3.322338107,"negative"
"81",408.1502,3.977,0.00804,-3.298407377,"negative"
"82",278.1422,0.538,0.00811,3.292622101,"negative"
"83",218.067,1.023,0.00815,-3.290261514,"negative"
"84",431.1163,0.545,0.00853,-3.26288572,"negative"
"85",259.0127,1.039,0.00857,-3.260249292,"negative"
"86",427.1393,2.402,0.00875,-3.248161001,"negative"
"87",244.997,1.029,0.00949,-3.20029931,"negative"
"88",300.0393,5.464,0.00958,3.194494003,"negative"
"89",279.1234,0.839,0.00984,-3.17867361,"negative"
"90",154.9986,7.909,0.01,3.169200683,"negative"
"91",212.0199,7.051,0.01,3.168463256,"negative"
"92",303.066,2.439,0.0102,-3.157282376,"negative"
"93",350.1261,4.787,0.011,3.115650328,"negative"
"94",337.0387,0.585,0.0113,3.097807841,"negative"
"95",181.0504,0.995,0.0115,-3.085448059,"negative"
"96",146.0925,2.629,0.012,3.061303408,"positive"
"97",172.9996,1.942,0.0124,3.044761816,"negative"
"98",104.0706,5.342,0.0125,3.036894655,"positive"
"99",252.9652,3.796,0.0131,-3.009089269,"negative"
"100",218.0822,0.977,0.0132,-3.006200158,"negative"
