"p.value","m.z","t.score","r.t"
0.0838,1030.3123,1.920057921,3.466
0.809,108.0216,-0.248311208,3.832
0.572,109.0294,0.584788293,3.11
0.785,1093.9937,-0.280814549,2.988
0.183,1108.0095,1.431322926,3.117
0.144,1108.0095,1.586010273,3.194
0.192,1108.0095,1.39819601,3.804
0.592,111.0085,-0.553444853,0.703
1.07e-08,1122.0248,16.95393799,4.125
1.51e-07,1122.0249,12.86439404,4.032
0.343,1133.0047,-0.994389127,3.302
0.731,123.0452,0.353818362,4.211
0.33,124.0072,-1.023668638,0.616
0.0637,131.0349,-2.084539612,0.8
0.512,133.0504,-0.679322943,0.696
0.772,135.0295,0.297861672,0.64
0.639,137.0243,0.484095898,4.815
0.967,137.0244,-0.042984131,4.225
0.64,137.0248,0.481685917,0.733
0.717,144.03,0.373404289,0.697
0.116,144.0665,-1.718681717,0.781
0.525,145.0141,-0.659069897,0.693
0.489,146.0456,0.718343617,0.708
0.954,147.0298,-0.059124187,0.76
0.625,149.0089,-0.503963367,0.649
0.567,149.0452,-0.592584596,0.654
0.649,151.04,0.469774879,4.082
0.936,151.04,0.081760955,4.576
0.392,154.0621,-0.895378534,0.609
0.681,154.9984,0.422689498,0.703
0.275,157.0506,-1.154473694,2.959
0.994,161.0454,0.007433686,0.768
0.427,161.9866,0.828869581,2.133
0.54,161.988,0.634817487,0.685
0.172,165.0405,1.472726454,0.634
0.0572,165.0409,-2.149104473,0.76
0.131,165.0417,-1.643493079,2.342
0.0852,165.0557,1.909805214,4.102
0.274,167.0208,-1.15831421,0.657
0.294,167.0211,-1.106325295,1.15
0.108,168.0301,1.765676601,0.797
0.0267,168.0302,2.594819742,2.597
0.72,168.0777,-0.368744818,0.606
0.82,171.0487,0.233345958,4.824
0.725,172.9915,0.362304438,3.001
0.835,173.0001,0.213298106,2.997
0.25,173.0089,-1.221490032,0.672
0.715,173.0091,0.376238815,1.231
0.578,173.9923,0.574411454,0.799
0.0306,174.0405,-2.515647116,0.655
0.842,175.0241,-0.204907037,0.753
0.812,175.0611,-0.244359872,3.177
0.749,175.0975,-0.328882108,4.743
0.141,177.0225,-1.5976685,0.776
0.728,177.1283,-0.357178957,5.202
0.705,178.0513,0.390051035,2.879
0.719,178.0515,-0.370419664,2.811
0.686,178.0515,0.415592612,3.479
0.878,178.0524,0.157008326,2.721
0.862,178.0526,-0.177923728,3.481
0.753,178.0557,0.324042542,3.444
0.89,179.0556,-0.142243816,0.643
0.582,181.0503,-0.569074812,4.495
0.419,181.0504,-0.842936619,3.017
0.484,181.0505,-0.727409005,0.817
0.277,181.0507,-1.150864434,4.062
0.879,181.9916,0.156030557,0.803
0.837,181.9917,0.211607843,2.823
0.867,182.0076,-0.171864577,0.788
0.847,182.0282,0.198183207,0.77
0.727,182.0458,0.35883611,0.803
0.637,182.0458,0.487369737,2.174
0.187,184.0979,-1.415216152,4.054
0.548,185.0819,-0.621325202,4.129
0.237,187.0075,1.257562938,3.121
0.189,187.0079,1.409766369,3.815
0.172,187.0101,1.469485712,3.824
0.028,187.0383,-2.567730627,0.634
0.203,187.0387,1.362972459,3.806
0.889,188.0021,0.142995148,0.665
0.732,188.9863,0.352304405,1.166
0.637,188.9864,0.486719699,0.815
0.276,188.9864,1.153331515,2.765
0.232,189.0027,1.272870325,3.097
0.124,191.0201,-1.680880727,1.159
0.488,191.0203,-0.719882916,0.697
0.249,191.0212,-1.22505824,0.699
0.154,191.0267,1.544176801,0.755
0.233,191.0276,1.270740215,1.165
0.746,191.0523,-0.333164435,0.699
0.571,191.0524,0.585058585,0.713
0.581,191.1076,-0.569665213,5.282
0.765,191.1105,0.307120519,5.283
0.698,193.0351,0.398807449,0.617
0.757,193.0353,0.318237484,5.465
0.0141,194.0458,2.967654146,3.657
0.734,194.0459,-0.349986972,0.799
0.835,194.0459,-0.213272146,2.735
0.402,194.0459,-0.875278467,2.921
0.0685,194.0459,2.041313948,3.542
0.106,194.0459,1.774225116,4.033
0.734,194.046,-0.349986972,0.798
0.2,194.0491,-1.371703698,4.031
0.406,194.0495,-0.86776389,2.735
0.788,194.0546,-0.276338557,0.797
0.227,195.0512,-1.287754189,0.787
0.123,195.0514,-1.685858768,2.765
0.0188,195.051,-2.800696677,0.627
0.783,197.0442,-0.283083753,3.134
0.853,197.0453,-0.190411005,3.76
0.609,197.0471,-0.527814111,3.745
0.692,197.0819,-0.40821677,4.344
0.157,198.1135,-1.531285591,5.021
0.0148,199.0068,2.937956786,4.328
0.0887,199.0975,1.885434264,5.017
0.649,200.1291,0.46872884,5.38
4.55e-08,201.0227,14.59462322,4.086
2.66e-08,201.0228,15.42991292,4.555
0.406,203.0017,0.867829234,3.661
0.0791,203.0021,1.954818426,0.801
0.506,203.0021,0.689834361,2.888
0.354,203.002,0.971547967,3.205
0.383,203.0048,0.911814762,3.202
0.754,204.0666,-0.322099552,4.129
0.863,204.0666,-0.176430486,4.532
0.46,204.9812,0.768523416,0.795
0.451,204.9812,0.785228613,2.586
0.336,205.0352,-1.010072318,0.76
0.163,206.9961,1.505040254,0.7
0.152,206.9967,1.549483199,2.418
0.00839,208.0615,-3.272723999,3.836
0.354,208.0646,-0.972056905,0.766
0.8,209.0452,-0.259827712,3.159
0.926,209.0452,0.095701185,3.24
0.48,209.0455,-0.734278703,3.749
0.0392,209.0532,-2.371227171,3.773
0.339,210.0419,-1.004587381,3.959
0.0103,211.0611,-3.149252856,3.158
0.561,211.0613,-0.600869099,3.866
0.471,211.0615,-0.749121304,4.235
0.0994,211.0967,-1.815982687,4.185
0.135,211.0971,-1.626470519,3.846
0.779,212.0023,0.288415302,0.825
0.327,212.0027,1.030396409,3.304
0.196,212.0065,1.384714718,4.503
0.23,212.0937,-1.279542912,3.815
0.274,213.1132,1.158422037,5.201
0.479,213.9981,0.735563083,2.254
2.86e-05,215.0021,7.220692658,3.307
0.523,215.0326,-0.662653812,0.629
0.338,216.9808,1.00546604,0.715
0.435,216.9812,0.812919001,2.65
0.334,216.981,1.015136711,0.709
0.635,217.0161,-0.489585029,1.159
0.353,217.0162,-0.974654605,0.671
0.00017,217.0172,5.811750134,4.4
0.00433,217.0173,3.667623964,3.88
0.494,217.0486,-0.709642498,0.63
0.923,217.1081,0.098781843,3.912
0.297,218.0492,-1.100138852,0.684
0.0194,218.0821,-2.782899298,5.22
0.758,218.1032,-0.317118315,0.748
0.0906,218.1033,-1.872689525,2.56
0.983,218.9961,-0.021970844,0.686
0.65,218.9964,-0.467952343,3.175
0.224,219.0457,-1.296247548,0.629
0.451,219.0508,-0.783929304,0.792
0.529,219.0509,-0.651710949,2.854
0.747,219.0524,-0.331879595,2.85
0.0674,220.0979,2.050528059,4.733
0.279,221.1178,-1.145649718,5.185
0.422,222.0406,-0.836350726,3.686
0.734,222.1134,-0.349515415,5.811
0.0274,223.0623,-2.580491092,0.802
0.408,223.0969,-0.863792764,5.259
0.89,223.0982,-0.141799999,5.267
0.551,224.0561,0.617417963,3.018
0.535,224.0563,0.642645351,0.81
0.14,224.062,-1.604900276,4.537
0.0214,225.0623,-2.72389763,0.658
0.995,227.0554,-0.006908267,2.1
0.0467,227.0559,-2.268031518,0.8
0.622,227.06,-0.508951505,0.796
0.225,227.9967,1.294676198,0.668
0.454,227.9971,0.77961335,0.795
0.418,227.9972,0.845002037,2.377
0.449,229.017,-0.787984674,4.354
0.852,229.0539,-0.191232432,5.383
0.933,230.0128,-0.085867716,3.042
0.508,230.0128,0.686187732,3.569
0.164,230.0129,1.501606397,2.513
0.474,230.0135,0.743503422,0.791
0.245,230.0139,1.236011463,0.763
0.86,230.0156,0.18148217,0.793
0.228,230.0159,1.283626004,2.501
0.751,230.0493,-0.326167812,0.666
0.601,230.9963,-0.539289551,3.838
0.0264,230.9967,2.601496621,0.757
0.0857,230.9968,1.906707131,3.178
0.603,230.9969,0.536908171,3.457
0.137,231.0308,-1.618897386,0.666
0.845,231.9926,-0.200256977,0.79
0.15,232.005,1.558509565,0.705
0.0043,232.9759,3.673044829,0.708
0.445,233.0124,0.796013321,2.47
0.00916,235.057,-3.220758275,0.641
0.767,235.0957,-0.304129006,5.223
0.711,236.1018,-0.380706573,5.033
0.625,237.0356,-0.504473575,3.369
0.433,237.0359,0.81645056,3.933
0.12,237.1243,1.69890774,4.614
0.0545,238.0776,-2.177228479,4.607
0.923,239.1144,-0.099543524,0.622
0.289,240.9816,-1.118684291,3.419
0.914,241.1189,-0.110379303,3.536
0.794,241.1193,-0.268538762,2.896
0.632,242.0115,0.493696526,0.695
0.598,242.0128,0.543978988,2.785
0.132,242.0128,-1.638124833,3.535
0.161,243.0329,-1.514183356,4.371
0.831,243.0617,-0.21958399,0.662
0.862,243.0779,-0.178704386,4.486
0.591,243.1236,0.555783581,4.74
0.989,243.1344,-0.013954936,3.787
0.977,243.1349,0.029809686,3.353
0.202,245.0124,-1.366580794,3.342
0.223,245.0433,1.300762176,0.63
0.566,245.0485,0.59288608,4.677
0.43,245.0488,-0.82161862,4.187
0.356,245.0489,-0.967754487,3.748
0.47,245.0937,-0.751622102,4.487
0.595,245.1137,0.549544416,0.783
0.476,246.0109,0.740993241,2.385
0.866,246.0383,0.173654343,2.873
0.752,246.0383,-0.324618328,3.487
0.263,246.0433,-1.186056723,0.669
0.0946,246.0752,-1.846335712,4.139
0.0227,246.0753,-2.690304058,3.721
0.677,246.1531,-0.428672731,5.399
0.578,246.9913,0.575444798,0.705
0.155,246.9917,1.53788699,2.802
0.132,247.0277,1.640153174,0.755
0.106,247.062,-1.776629325,0.659
0.0322,247.0798,-2.485532968,4.12
0.925,248.0596,0.096862318,0.808
0.478,250.0718,-0.737203594,3.655
0.196,251.0128,-1.385975496,3.524
4.28e-05,253.0503,6.883944476,5.048
0.124,253.9903,-1.678659545,0.661
0.0436,254.9816,-2.308606463,0.664
0.188,254.9941,1.411527706,3.14
0.00431,255.0674,3.671258282,5.078
0.474,255.1349,-0.744144782,3.614
0.498,255.1349,-0.703426667,4.042
6.85e-05,257.0816,6.505158379,6.056
0.161,258.0424,1.514666194,0.699
0.17,258.044,-1.477850326,2.007
0.64,258.9916,-0.482518787,0.797
0.256,258.9926,1.203809673,3.301
0.0454,259.057,-2.285240694,0.712
0.443,259.129,-0.799287876,3.733
0.412,260.0239,0.85532702,2.686
0.781,260.0254,0.285635254,0.667
0.61,261.0071,0.5263741,3.241
0.377,261.0072,-0.92419343,0.769
0.433,261.0232,-0.816812815,0.668
0.309,261.039,1.070823213,0.66
0.387,262.0286,0.903940971,0.664
0.92,262.0364,0.103032642,0.654
0.0944,262.9863,-1.847622724,0.693
0.3,263.0249,-1.093991388,0.69
0.989,263.0272,0.014008741,2.81
0.121,263.0573,-1.693843857,0.662
0.221,263.1041,1.305945523,2.759
0.0525,263.1041,2.199176689,2.796
0.137,263.1046,1.614588483,3.466
0.402,263.1054,-0.87435552,2.91
0.169,263.1397,1.480690701,2.777
0.176,263.141,1.457344298,3.465
0.434,264.0876,0.815682671,3.875
0.255,264.1168,1.208470554,3.46
0.474,264.9884,-0.743198693,0.68
