"","m/z","rt","p-value","t-score","mode"
"1",1030.3123,3.466,0.0838,1.920057921,"negative"
"2",108.0216,3.832,0.809,-0.248311208,"negative"
"3",109.0294,3.11,0.572,0.584788293,"negative"
"4",1093.9937,2.988,0.785,-0.280814549,"negative"
"5",1108.0095,3.117,0.183,1.431322926,"negative"
"6",1108.0095,3.194,0.144,1.586010273,"negative"
"7",1108.0095,3.804,0.192,1.39819601,"negative"
"8",111.0085,0.703,0.592,-0.553444853,"negative"
"9",1122.0248,4.125,1.07e-08,16.95393799,"negative"
"10",1122.0249,4.032,1.51e-07,12.86439404,"negative"
"11",1133.0047,3.302,0.343,-0.994389127,"negative"
"12",123.0452,4.211,0.731,0.353818362,"negative"
"13",124.0072,0.616,0.33,-1.023668638,"negative"
"14",131.0349,0.8,0.0637,-2.084539612,"negative"
"15",133.0504,0.696,0.512,-0.679322943,"negative"
"16",135.0295,0.64,0.772,0.297861672,"negative"
"17",137.0243,4.815,0.639,0.484095898,"negative"
"18",137.0244,4.225,0.967,-0.042984131,"negative"
"19",137.0248,0.733,0.64,0.481685917,"negative"
"20",144.03,0.697,0.717,0.373404289,"negative"
"21",144.0665,0.781,0.116,-1.718681717,"negative"
"22",145.0141,0.693,0.525,-0.659069897,"negative"
"23",146.0456,0.708,0.489,0.718343617,"negative"
"24",147.0298,0.76,0.954,-0.059124187,"negative"
"25",149.0089,0.649,0.625,-0.503963367,"negative"
"26",149.0452,0.654,0.567,-0.592584596,"negative"
"27",151.04,4.082,0.649,0.469774879,"negative"
"28",151.04,4.576,0.936,0.081760955,"negative"
"29",154.0621,0.609,0.392,-0.895378534,"negative"
"30",154.9984,0.703,0.681,0.422689498,"negative"
"31",157.0506,2.959,0.275,-1.154473694,"negative"
"32",161.0454,0.768,0.994,0.007433686,"negative"
"33",161.9866,2.133,0.427,0.828869581,"negative"
"34",161.988,0.685,0.54,0.634817487,"negative"
"35",165.0405,0.634,0.172,1.472726454,"negative"
"36",165.0409,0.76,0.0572,-2.149104473,"negative"
"37",165.0417,2.342,0.131,-1.643493079,"negative"
"38",165.0557,4.102,0.0852,1.909805214,"negative"
"39",167.0208,0.657,0.274,-1.15831421,"negative"
"40",167.0211,1.15,0.294,-1.106325295,"negative"
"41",168.0301,0.797,0.108,1.765676601,"negative"
"42",168.0302,2.597,0.0267,2.594819742,"negative"
"43",168.0777,0.606,0.72,-0.368744818,"negative"
"44",171.0487,4.824,0.82,0.233345958,"negative"
"45",172.9915,3.001,0.725,0.362304438,"negative"
"46",173.0001,2.997,0.835,0.213298106,"negative"
"47",173.0089,0.672,0.25,-1.221490032,"negative"
"48",173.0091,1.231,0.715,0.376238815,"negative"
"49",173.9923,0.799,0.578,0.574411454,"negative"
"50",174.0405,0.655,0.0306,-2.515647116,"negative"
"51",175.0241,0.753,0.842,-0.204907037,"negative"
"52",175.0611,3.177,0.812,-0.244359872,"negative"
"53",175.0975,4.743,0.749,-0.328882108,"negative"
"54",177.0225,0.776,0.141,-1.5976685,"negative"
"55",177.1283,5.202,0.728,-0.357178957,"negative"
"56",178.0513,2.879,0.705,0.390051035,"negative"
"57",178.0515,2.811,0.719,-0.370419664,"negative"
"58",178.0515,3.479,0.686,0.415592612,"negative"
"59",178.0524,2.721,0.878,0.157008326,"negative"
"60",178.0526,3.481,0.862,-0.177923728,"negative"
"61",178.0557,3.444,0.753,0.324042542,"negative"
"62",179.0556,0.643,0.89,-0.142243816,"negative"
"63",181.0503,4.495,0.582,-0.569074812,"negative"
"64",181.0504,3.017,0.419,-0.842936619,"negative"
"65",181.0505,0.817,0.484,-0.727409005,"negative"
"66",181.0507,4.062,0.277,-1.150864434,"negative"
"67",181.9916,0.803,0.879,0.156030557,"negative"
"68",181.9917,2.823,0.837,0.211607843,"negative"
"69",182.0076,0.788,0.867,-0.171864577,"negative"
"70",182.0282,0.77,0.847,0.198183207,"negative"
"71",182.0458,0.803,0.727,0.35883611,"negative"
"72",182.0458,2.174,0.637,0.487369737,"negative"
"73",184.0979,4.054,0.187,-1.415216152,"negative"
"74",185.0819,4.129,0.548,-0.621325202,"negative"
"75",187.0075,3.121,0.237,1.257562938,"negative"
"76",187.0079,3.815,0.189,1.409766369,"negative"
"77",187.0101,3.824,0.172,1.469485712,"negative"
"78",187.0383,0.634,0.028,-2.567730627,"negative"
"79",187.0387,3.806,0.203,1.362972459,"negative"
"80",188.0021,0.665,0.889,0.142995148,"negative"
"81",188.9863,1.166,0.732,0.352304405,"negative"
"82",188.9864,0.815,0.637,0.486719699,"negative"
"83",188.9864,2.765,0.276,1.153331515,"negative"
"84",189.0027,3.097,0.232,1.272870325,"negative"
"85",191.0201,1.159,0.124,-1.680880727,"negative"
"86",191.0203,0.697,0.488,-0.719882916,"negative"
"87",191.0212,0.699,0.249,-1.22505824,"negative"
"88",191.0267,0.755,0.154,1.544176801,"negative"
"89",191.0276,1.165,0.233,1.270740215,"negative"
"90",191.0523,0.699,0.746,-0.333164435,"negative"
"91",191.0524,0.713,0.571,0.585058585,"negative"
"92",191.1076,5.282,0.581,-0.569665213,"negative"
"93",191.1105,5.283,0.765,0.307120519,"negative"
"94",193.0351,0.617,0.698,0.398807449,"negative"
"95",193.0353,5.465,0.757,0.318237484,"negative"
"96",194.0458,3.657,0.0141,2.967654146,"negative"
"97",194.0459,0.799,0.734,-0.349986972,"negative"
"98",194.0459,2.735,0.835,-0.213272146,"negative"
"99",194.0459,2.921,0.402,-0.875278467,"negative"
"100",194.0459,3.542,0.0685,2.041313948,"negative"
