"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Caffeine metabolism","11","7","7","1.7733","0.045058","0.17758","0.0010863","6","0.06","1","1","0.0771273","P1","EC00010;EC000204;EC00042;EC000153"
"Pentose phosphate pathway","37","8","7","1.7733","0.045058","0.17758","0.0010863","6","0.06","1","1","0.0771273","P2","EC00022;EC0006;EC00042;EC00010"
"Vitamin E metabolism","54","2","2","0.50667","0.048517","0.38898","0.001102","0","0","1","1","0.0771273","P3","EC0006;EC00067"
"Vitamin B2 (riboflavin) metabolism","8","2","2","1.2667","0.074069","0.2992","0.0012259","1","0.01","1","1","0.0833612","P4","EC0006;EC00038;EC00039"
"C21-steroid hormone biosynthesis and metabolism","112","17","14","2.28","0.11333","0.3086","0.0014451","2","0.02","1","1","0.0968217","P5","EC000159;EC0002;EC0004;EC000193"
"Pyrimidine metabolism","70","7","3","1.7733","0.18494","0.47354","0.0019575","10","0.1","1","1","0.129195","P6","EC0006;EC00059;EC00045"
"Glycolysis and Gluconeogenesis","49","5","4","1.0133","0.21406","0.6283","0.0022175","13","0.13","1","1","0.1441375","P7","EC0006;EC00010"
"Hexose phosphorylation","20","6","5","1.0133","0.21406","0.6283","0.0022175","15","0.15","1","1","0.1441375","P8","EC00010;EC000179"
"CoA Catabolism","7","3","2","1.0133","0.21406","0.6283","0.0022175","4","0.04","1","1","0.1441375","P9","EC0006;EC00090"
"Di-unsaturated fatty acid beta-oxidation","26","1","1","0.25333","0.22179","1","0.0022924","5","0.05","1","1","0.1441375","P10","EC0006"
"Electron transport chain","7","1","1","0.25333","0.22179","1","0.0022924","7","0.07","1","1","0.1441375","P11","EC00059"
"Vitamin H (biotin) metabolism","5","1","1","0.25333","0.22179","1","0.0022924","5","0.05","1","1","0.1441375","P12","EC0006"
"Glyoxylate and Dicarboxylate Metabolism","12","1","1","0.25333","0.22179","1","0.0022924","21","0.21","1","1","0.1441375","P13","EC00022"
"De novo fatty acid biosynthesis","106","1","1","0.25333","0.22179","1","0.0022924","5","0.05","1","1","0.1441375","P14","EC0006"
"Fatty acid oxidation","35","1","1","0.25333","0.22179","1","0.0022924","7","0.07","1","1","0.1441375","P15","EC00059"
"Omega-3 fatty acid metabolism","39","1","1","0.25333","0.22179","1","0.0022924","5","0.05","1","1","0.1441375","P16","EC0006"
"Mono-unsaturated fatty acid beta-oxidation","19","1","1","0.25333","0.22179","1","0.0022924","5","0.05","1","1","0.1441375","P17","EC0006"
"Fatty acid activation","74","1","1","0.25333","0.22179","1","0.0022924","5","0.05","1","1","0.1441375","P18","EC0006"
"Omega-6 fatty acid metabolism","55","1","1","0.25333","0.22179","1","0.0022924","5","0.05","1","1","0.1441375","P19","EC0006"
"Selenoamino acid metabolism","35","1","1","0.25333","0.22179","1","0.0022924","5","0.05","1","1","0.1441375","P20","EC0006"
"Tryptophan metabolism","94","22","9","6.84","0.22472","0.36813","0.0023216","42","0.42","1","1","0.1441375","P21","EC0006;EC000174;EC00013;EC000141;EC000109;EC00021;EC000116;EC00010"
"Xenobiotics metabolism","110","16","10","2.0267","0.25074","0.55089","0.0025979","7","0.07","1","1","0.1441375","P22","EC000194;EC000116;EC000197"
"Ubiquinone Biosynthesis","10","4","3","2.0267","0.25074","0.55089","0.0025979","31","0.31","1","1","0.1441375","P23","EC00059;EC0006;EC00027"
"Chondroitin sulfate degradation","37","4","2","1.2667","0.30738","0.71057","0.0033271","32","0.32","1","1","0.1597008","P24","EC00010;EC00022"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","4","2","1.2667","0.30738","0.71057","0.0033271","9","0.09","1","1","0.1597008","P25","EC0006;EC00090"
"Heparan sulfate degradation","34","4","2","1.2667","0.30738","0.71057","0.0033271","32","0.32","1","1","0.1597008","P26","EC00010;EC00022"
"Alanine and Aspartate Metabolism","30","5","2","1.2667","0.30738","0.71057","0.0033271","16","0.16","1","1","0.1597008","P27","EC0006;EC000101"
"Methionine and cysteine metabolism","94","10","3","2.28","0.31945","0.62011","0.0035089","23","0.23","1","1","0.1597008","P28","EC0006;EC00032;EC000182"
"Purine metabolism","80","13","5","3.5467","0.37742","0.62248","0.0045432","21","0.21","1","1","0.1953576","P29","EC0006;EC000146;EC00022;EC00064"
"N-Glycan biosynthesis","48","2","2","0.50667","0.39506","1","0.0049195","29","0.29","1","1","0.206619","P30","EC00010"
"Glycosphingolipid biosynthesis - ganglioseries","62","2","2","0.50667","0.39506","1","0.0049195","29","0.29","1","1","0.206619","P31","EC00010"
"Vitamin B1 (thiamin) metabolism","20","2","1","0.50667","0.39506","1","0.0049195","22","0.22","1","1","0.206619","P32","EC0006"
"Glycosphingolipid biosynthesis - globoseries","16","1","1","0.50667","0.39506","1","0.0049195","29","0.29","1","1","0.206619","P33","EC00010"
"Propanoate metabolism","31","3","1","0.50667","0.39506","1","0.0049195","13","0.13","1","1","0.206619","P34","EC0006"
"Biopterin metabolism","22","1","1","0.50667","0.39506","1","0.0049195","18","0.18","1","1","0.206619","P35","EC00016"
"Starch and Sucrose Metabolism","33","3","3","0.50667","0.39506","1","0.0049195","29","0.29","1","1","0.206619","P36","EC00010"
"Phytanic acid peroxisomal oxidation","34","2","1","0.50667","0.39506","1","0.0049195","22","0.22","1","1","0.206619","P37","EC0006"
"Sialic acid metabolism","107","8","6","1.52","0.39858","0.77489","0.0049985","23","0.23","1","1","0.206619","P38","EC00010;EC000106"
"Butanoate metabolism","34","6","2","1.52","0.39858","0.77489","0.0049985","34","0.34","1","1","0.206619","P39","EC0006;EC000129"
"Pentose and Glucuronate Interconversions","15","9","5","1.52","0.39858","0.77489","0.0049985","35","0.35","1","1","0.206619","P40","EC00022;EC00042"
"Tyrosine metabolism","160","37","18","13.933","0.44843","0.56303","0.006278","92","0.92","1","1","0.206619","P41","EC0006;EC00078;EC00084;EC00068;EC000141;EC00016;EC00010;EC000153;EC000113;EC000164;EC000165;EC000167;EC00067"
"Histidine metabolism","33","7","2","1.7733","0.48404","0.82511","0.0074089","35","0.35","1","1","0.222267","P42","EC0006;EC00058"
"Phosphatidylinositol phosphate metabolism","59","5","3","1.7733","0.48404","0.82511","0.0074089","33","0.33","1","1","0.222267","P43","EC00010;EC000106"
"Galactose metabolism","41","9","8","0.76","0.53028","1","0.009224","38","0.38","1","1","0.258272","P44","EC00010"
"Keratan sulfate degradation","68","2","1","0.76","0.53028","1","0.009224","35","0.35","1","1","0.258272","P45","EC00010"
"Alkaloid biosynthesis II","10","3","1","0.76","0.53028","1","0.009224","21","0.21","1","1","0.258272","P46","EC0006"
"Vitamin B9 (folate) metabolism","33","4","1","0.76","0.53028","1","0.009224","22","0.22","1","1","0.258272","P47","EC000101"
"Vitamin A (retinol) metabolism","67","3","1","0.76","0.53028","1","0.009224","23","0.23","1","1","0.258272","P48","EC0006"
"N-Glycan Degradation","16","3","2","0.76","0.53028","1","0.009224","35","0.35","1","1","0.258272","P49","EC00010"
"Androgen and estrogen biosynthesis and metabolism","95","8","3","2.0267","0.5618","0.86429","0.010742","34","0.34","1","1","0.258272","P50","EC0004;EC000193"
"Glycerophospholipid metabolism","156","7","3","2.0267","0.5618","0.86429","0.010742","49","0.49","1","1","0.258272","P51","EC00010;EC000106"
"Prostaglandin formation from arachidonate","78","12","2","2.0267","0.5618","0.86429","0.010742","23","0.23","1","1","0.258272","P52","EC000249;EC0006"
"Drug metabolism - cytochrome P450","53","9","2","2.28","0.63105","0.89481","0.015165","21","0.21","1","1","0.288135","P53","EC000207;EC000208"
"Valine, leucine and isoleucine degradation","65","4","1","1.0133","0.63569","1","0.01553","46","0.46","1","1","0.288135","P54","EC0006"
"Glycosphingolipid metabolism","67","6","4","1.0133","0.63569","1","0.01553","45","0.45","1","1","0.288135","P55","EC00010"
"Beta-Alanine metabolism","20","4","1","1.0133","0.63569","1","0.01553","59","0.59","1","1","0.288135","P56","EC00058"
"Fructose and mannose metabolism","33","6","4","1.2667","0.71777","1","0.023988","52","0.52","1","1","0.35982","P57","EC00010"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","5","1","1.2667","0.71777","1","0.023988","47","0.47","1","1","0.35982","P58","EC0006"
"Arachidonic acid metabolism","95","14","1","1.2667","0.71777","1","0.023988","42","0.42","1","1","0.35982","P59","EC0006"
"Vitamin B6 (pyridoxine) metabolism","11","2","1","1.2667","0.71777","1","0.023988","39","0.39","1","1","0.35982","P60","EC00087"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","12","4","4.0533","0.73148","0.90053","0.025885","77","0.77","1","1","0.35982","P61","EC00042;EC00067;EC000153"
"Arginine and Proline Metabolism","45","7","1","1.52","0.78161","1","0.034577","67","0.67","1","1","0.35982","P62","EC00032"
"Carnitine shuttle","72","6","1","1.7733","0.8312","1","0.047134","55","0.55","1","1","0.424206","P63","EC000255"
"TCA cycle","31","6","1","1.7733","0.8312","1","0.047134","74","0.74","1","1","0.424206","P64","EC00059"
"Aspartate and asparagine metabolism","114","8","1","1.7733","0.8312","1","0.047134","69","0.69","1","1","0.424206","P65","EC0006"
"Urea cycle/amino group metabolism","85","14","3","4.8133","0.83716","0.94749","0.049025","92","0.92","1","1","0.424206","P66","EC000113;EC00032;EC00078"
"Leukotriene metabolism","92","10","1","2.0267","0.86969","1","0.061407","53","0.53","1","1","0.424206","P67","EC0006"
"Bile acid biosynthesis","82","6","1","2.28","0.89952","1","0.077103","75","0.75","1","1","0.424206","P68","EC0006"
"Porphyrin metabolism","43","7","1","2.28","0.89952","1","0.077103","76","0.76","1","1","0.424206","P69","EC000101"
"Lysine metabolism","52","11","1","2.5333","0.92261","1","0.093922","84","0.84","1","1","0.424206","P70","EC0006"
"Glycine, serine, alanine and threonine metabolism","88","11","1","3.04","0.95426","1","0.12985","92","0.92","1","1","0.424206","P71","EC0006"
