"p.value","m.z","t.score","r.t"
1.54e-09,621.1088,20.68347271,7.531
2.57e-09,461.1072,23.07147903,4.293
5.92e-09,165.0046,-18.0241431,1.023
2.16e-08,607.1285,18.12395279,8.059
2.26e-08,313.0919,15.69915817,5.697
2.51e-08,201.0078,15.52782031,1.025
2.65e-08,703.0841,15.43629173,8.109
2.66e-08,459.0923,15.43180773,4.329
3.34e-08,440.9939,15.07035522,1.065
7.77e-08,447.0919,15.656396,4.001
1.11e-07,504.1358,13.2945939,1.245
1.43e-07,469.0527,14.60020506,4.611
2.41e-07,531.0208,12.24925785,5.949
2.46e-07,431.0968,13.70716487,4.511
2.96e-07,297.0995,11.9820715,3.753
6.28e-07,445.077,11.05844854,4.149
6.9e-07,433.1123,12.1563345,4.289
8.84e-07,433.1135,10.65779114,3.943
1.15e-06,358.132,10.3618116,3.491
1.16e-06,431.098,10.35216631,4.31
1.18e-06,259.0977,11.41695052,3.914
1.33e-06,509.039,10.19401472,6.64
1.7e-06,712.2431,9.924818583,1.025
1.81e-06,429.0822,9.862017678,4.539
1.93e-06,234.1136,10.76445298,0.825
2.33e-06,355.0323,9.591694637,2.199
4.08e-06,182.0811,9.843878754,5.07
4.19e-06,569.1103,-8.988660695,3.819
4.42e-06,292.1576,9.749051765,1.593
5.44e-06,333.0077,8.729656099,2.22
5.83e-06,153.0193,8.6628378,3.42
5.94e-06,292.1577,9.406262391,0.516
6.1e-06,433.2365,9.376529052,1.214
6.71e-06,397.0538,8.525726042,5.353
7.63e-06,300.112,-8.403201015,1.001
7.7e-06,138.055,9.1141656,4.139
7.81e-06,232.0985,8.382006761,0.835
9e-06,335.0228,8.248511779,2.013
1.12e-05,363.0179,8.044682539,2.025
1.28e-05,333.0076,7.926608054,2.172
1.35e-05,353.0331,7.87467834,2.172
1.65e-05,349.002,7.697849621,2.669
1.74e-05,333.0072,7.648725116,3.165
1.76e-05,425.1157,7.639955214,3.412
1.89e-05,621.1629,7.574449122,3.937
2.22e-05,217.0164,7.435255074,3.25
2.37e-05,353.0334,7.380396643,2.232
2.79e-05,279.1234,-7.239883897,0.839
2.83e-05,191.0196,-7.229580721,0.953
3.52e-05,228.0885,-7.044665694,0.942
4.03e-05,377.0534,6.93248437,3.749
4.53e-05,144.0522,-6.83684827,1.038
4.64e-05,364.0847,-6.817563185,1.046
4.85e-05,176.0108,7.243272801,4.197
6.87e-05,297.0971,6.503253543,0.537
7.3e-05,287.0407,6.454977757,5.683
7.54e-05,261.0072,6.430181759,0.741
9.43e-05,214.9867,6.25649356,1.03
0.000106,337.0384,6.166850876,3.521
0.000125,674.2293,6.038629861,1.21
0.000134,497.1106,5.986649397,3.715
0.000142,215.0018,5.947529076,1.171
0.000148,160.0972,-6.257231663,5.086
0.00016,381.0996,5.856517875,3.658
0.000175,259.0127,-5.789522214,1.039
0.000183,449.108,5.759308155,4.523
0.000205,243.0178,-5.675002141,1.027
0.000214,253.0827,5.645819334,3.556
0.000219,459.1642,-5.629002483,2.435
0.000242,311.0767,5.5575831,4.586
0.000252,339.166,5.823802969,4.664
0.000256,255.1338,5.812000751,4.731
0.000274,182.0457,-5.468194385,0.856
0.000285,367.0828,-5.43921135,2.357
0.000289,256.1125,5.713280938,1.174
0.000291,204.1343,-5.709554871,4.98
0.000296,309.0783,-5.41211313,2.234
0.000296,317.0667,-5.411656655,2.147
0.000296,688.2445,5.412120545,1.123
0.000297,182.0308,-5.411512015,1.029
0.000321,540.4236,-5.631364103,0.454
0.000322,427.1828,-5.354530565,1.023
0.000342,300.1564,5.58282135,3.706
0.00035,531.0967,5.294874099,3.961
0.000358,153.0047,-5.2786739,1.043
0.000366,116.1073,-5.530075979,1.209
0.000385,243.1041,-5.229143992,0.908
0.000413,311.0929,-5.180678236,2.301
0.000417,217.0174,5.173110365,1.047
0.000419,275.1025,5.425297291,4.835
0.000424,319.1866,-5.416476731,5.073
0.000442,339.1848,-5.133251997,1.034
0.000451,153.0193,-5.119889907,1.076
0.000453,492.1522,5.117225113,3.718
0.000456,636.2293,5.111962585,3.934
0.000463,341.0875,5.100854654,4.696
0.000478,253.0826,5.07933446,3.616
0.000481,345.155,-5.074852336,0.983
0.00055,215.0733,-4.983625029,0.99
0.000567,408.1502,-4.9632325,3.977
0.000582,282.0471,-4.946150321,0.951
0.000602,208.0968,5.150811463,0.848
0.000636,138.0556,5.110917908,4.837
0.00067,467.1357,4.851544379,3.676
0.000708,568.1059,-4.814568115,3.844
0.000747,190.9655,4.778897884,2.104
0.00075,447.1091,-4.776537946,2.406
0.000824,175.0974,-4.713739967,0.971
0.00087,104.0818,-4.881094345,4.801
0.000927,262.1284,-4.835039072,5.3
0.000929,331.12,-4.634880166,2.389
0.00101,190.9746,4.580603027,2.11
0.00105,308.1524,4.74309041,4.919
0.00106,347.0935,-4.548038694,2.377
0.00108,429.1572,-4.537806177,3.915
0.00118,204.9662,-4.477648266,1.032
0.00124,345.1404,-4.446608264,1.027
0.00128,316.1208,-4.428866655,2.204
0.00129,309.0785,-4.424177958,2.268
0.00136,299.1366,-4.563637338,4.533
0.00144,230.9967,4.352639705,1.606
0.00146,300.1267,-4.340838932,0.968
0.00151,263.005,4.32009532,0.777
0.00152,646.1225,4.317458429,3.879
0.00167,204.0876,-4.255639968,5.17
0.00172,298.201,-4.399803195,0.979
0.00175,200.9711,-4.226466789,1.033
0.00194,189.0573,-4.163348725,2.271
0.00201,357.142,-4.293224078,5.129
0.00205,247.1759,-4.281152069,4.792
0.00211,355.084,-4.110939491,3.477
0.00216,198.0529,-4.24384482,5.13
0.00236,533.2041,-4.040853728,3.926
0.00241,414.2997,-4.169525611,3.986
0.0025,361.1498,-4.003743488,5.087
0.00255,211.0612,-3.99204948,0.531
0.00261,211.987,3.977231814,1.036
0.00269,188.0927,-3.960056444,4.517
0.0027,427.1393,-3.957630406,2.402
0.00275,540.2079,-3.9453451,3.902
0.00283,313.0927,3.927456331,4.354
0.00283,325.1094,-3.927148676,2.39
0.00289,274.9864,-3.915078609,3.583
0.00316,303.0869,-3.860202902,2.422
0.00319,275.0558,-3.854950176,2.36
0.00328,343.1393,-3.837373097,0.52
0.00342,501.1057,3.811539685,4.061
0.00366,439.1031,-3.770402247,2.332
0.00375,381.1378,-3.755910188,0.984
0.00376,192.9813,3.753832776,2.941
0.00407,262.0379,-3.822386146,7.079
0.00418,427.1967,-3.68952807,4.119
0.00419,213.0766,-3.688665045,0.898
0.00422,203.0347,-3.683800105,2.437
0.00431,325.1689,-3.671570582,1.04
0.00447,300.0195,-3.649416284,3.182
0.00452,248.0918,3.754937247,1.204
0.00457,285.134,-3.635905719,0.984
0.00458,262.9864,-3.63413047,7.93
0.0046,208.976,3.632286442,0.787
0.00471,480.1149,3.617526222,4.917
0.00474,241.1547,3.724218145,4.545
0.00474,347.2191,-3.723742476,4.123
0.00481,295.0816,3.604131888,4.004
0.00481,345.1552,-3.604455415,0.548
0.0049,316.1207,-3.593840975,2.075
0.005,427.1967,-3.580950888,0.523
0.00503,325.1527,-3.685222764,4.364
0.0052,405.1259,-3.557655899,0.956
0.00524,293.0895,3.659675406,4.725
0.0054,547.1866,-3.535129995,3.913
0.00546,263.0226,3.528115012,2.25
0.00547,242.1402,3.631929092,1.026
0.00558,345.1054,-3.619293141,8.017
0.00566,615.2464,-3.507289674,4.094
0.00572,242.9966,-3.500635696,1.058
0.00575,229.1553,3.599468492,4.5
0.00582,347.076,-3.490790289,2.334
0.00594,211.0612,-3.477840297,1.538
0.00595,326.1959,-3.577424448,0.963
0.00595,305.1049,-3.477057956,2.377
0.00617,308.0984,-3.455406489,6.982
0.00618,341.1238,-3.454624527,3.166
0.0062,609.2621,-3.452258168,0.562
0.00643,275.0227,-3.430512533,3.422
0.00651,204.9812,-3.42296347,1.012
0.00651,248.0959,-3.42331498,3.144
0.00658,336.2167,-3.513666481,0.936
0.00666,265.1324,-3.409665236,1.023
0.00674,422.1276,-3.403083571,2.248
0.00677,278.0704,-3.400136648,4.755
0.00692,265.1186,3.481438114,1.302
0.00694,535.2001,3.385294479,3.279
0.007,699.3031,-3.379866797,3.917
0.00701,313.0582,3.47375632,4.803
0.00716,457.3017,3.459887807,4.509
0.00719,345.1653,3.457797377,4.623
0.00723,279.068,-3.36101193,2.262
0.00727,233.0835,-3.357599766,2.303
0.0074,277.0733,-3.346966105,3.48
0.00743,307.0839,-3.344939681,3.473
0.00758,337.1097,-3.332995828,0.926
0.00759,295.1547,-3.332177639,0.818
0.00763,447.0927,3.328970812,4.077
0.00764,218.067,-3.328248452,1.023
0.00771,211.0613,-3.323189419,1.458
0.00791,378.1755,-3.397372275,3.998
0.00794,515.1935,-3.305339295,3.917
0.00819,363.0706,-3.286938168,2.372
0.00823,205.155,-3.372066678,7.708
0.00824,341.1236,-3.283702724,0.523
0.00841,61.0396,-3.358665625,2.563
0.00847,327.1515,-3.354131989,4.429
0.0085,172.0977,-3.264839896,0.843
0.00858,305.0866,3.346137663,4.783
0.00859,375.1293,-3.258823158,5.379
0.00863,146.0812,-3.341925034,0.629
0.00896,87.0451,-3.233732775,2.052
0.00905,345.0795,-3.22811506,2.084
0.00915,337.0387,3.221752988,0.585
0.00918,259.0278,-3.219470667,1.04
0.00925,295.0612,-3.215204749,3.17
0.00942,489.1195,-3.204488426,2.377
0.00944,230.9966,-3.203441218,2.338
0.00948,345.1552,-3.200541974,3.921
0.00952,312.1266,-3.198157926,0.909
0.00962,412.1484,3.274094049,4.864
0.00963,525.1638,-3.191258029,0.564
0.00975,246.0444,-3.18410144,5.448
0.00994,343.0389,3.172893261,3.833
0.00997,383.1166,-3.170879501,1.001
0.01,149.0455,-3.169495013,5.186
0.0102,593.3316,3.239399607,0.527
0.0105,343.0994,3.221609945,5.932
0.0105,327.144,-3.142925617,0.519
0.0105,343.1394,-3.13843259,3.094
0.0105,367.212,-3.142280886,0.875
