"","m.z","r.t.","p.value","t.score","mode"
"1",621.1088,7.531,1.54e-09,20.68347271,"negative"
"2",461.1072,4.293,2.57e-09,23.07147903,"positive"
"3",165.0046,1.023,5.92e-09,-18.0241431,"negative"
"4",607.1285,8.059,2.16e-08,18.12395279,"positive"
"5",313.0919,5.697,2.26e-08,15.69915817,"negative"
"6",201.0078,1.025,2.51e-08,15.52782031,"negative"
"7",703.0841,8.109,2.65e-08,15.43629173,"negative"
"8",459.0923,4.329,2.66e-08,15.43180773,"negative"
"9",440.9939,1.065,3.34e-08,15.07035522,"negative"
"10",447.0919,4.001,7.77e-08,15.656396,"positive"
"11",504.1358,1.245,1.11e-07,13.2945939,"negative"
"12",469.0527,4.611,1.43e-07,14.60020506,"positive"
"13",531.0208,5.949,2.41e-07,12.24925785,"negative"
"14",431.0968,4.511,2.46e-07,13.70716487,"positive"
"15",297.0995,3.753,2.96e-07,11.9820715,"negative"
"16",445.077,4.149,6.28e-07,11.05844854,"negative"
"17",433.1123,4.289,6.9e-07,12.1563345,"positive"
"18",433.1135,3.943,8.84e-07,10.65779114,"negative"
"19",358.132,3.491,1.15e-06,10.3618116,"negative"
"20",431.098,4.31,1.16e-06,10.35216631,"negative"
"21",259.0977,3.914,1.18e-06,11.41695052,"positive"
"22",509.039,6.64,1.33e-06,10.19401472,"negative"
"23",712.2431,1.025,1.7e-06,9.924818583,"negative"
"24",429.0822,4.539,1.81e-06,9.862017678,"negative"
"25",234.1136,0.825,1.93e-06,10.76445298,"positive"
"26",355.0323,2.199,2.33e-06,9.591694637,"negative"
"27",182.0811,5.07,4.08e-06,9.843878754,"positive"
"28",569.1103,3.819,4.19e-06,-8.988660695,"negative"
"29",292.1576,1.593,4.42e-06,9.749051765,"positive"
"30",333.0077,2.22,5.44e-06,8.729656099,"negative"
"31",153.0193,3.42,5.83e-06,8.6628378,"negative"
"32",292.1577,0.516,5.94e-06,9.406262391,"positive"
"33",433.2365,1.214,6.1e-06,9.376529052,"positive"
"34",397.0538,5.353,6.71e-06,8.525726042,"negative"
"35",300.112,1.001,7.63e-06,-8.403201015,"negative"
"36",138.055,4.139,7.7e-06,9.1141656,"positive"
"37",232.0985,0.835,7.81e-06,8.382006761,"negative"
"38",335.0228,2.013,9e-06,8.248511779,"negative"
"39",363.0179,2.025,1.12e-05,8.044682539,"negative"
"40",333.0076,2.172,1.28e-05,7.926608054,"negative"
"41",353.0331,2.172,1.35e-05,7.87467834,"negative"
"42",349.002,2.669,1.65e-05,7.697849621,"negative"
"43",333.0072,3.165,1.74e-05,7.648725116,"negative"
"44",425.1157,3.412,1.76e-05,7.639955214,"negative"
"45",621.1629,3.937,1.89e-05,7.574449122,"negative"
"46",217.0164,3.25,2.22e-05,7.435255074,"negative"
"47",353.0334,2.232,2.37e-05,7.380396643,"negative"
"48",279.1234,0.839,2.79e-05,-7.239883897,"negative"
"49",191.0196,0.953,2.83e-05,-7.229580721,"negative"
"50",228.0885,0.942,3.52e-05,-7.044665694,"negative"
"51",377.0534,3.749,4.03e-05,6.93248437,"negative"
"52",144.0522,1.038,4.53e-05,-6.83684827,"negative"
"53",364.0847,1.046,4.64e-05,-6.817563185,"negative"
"54",176.0108,4.197,4.85e-05,7.243272801,"positive"
"55",297.0971,0.537,6.87e-05,6.503253543,"negative"
"56",287.0407,5.683,7.3e-05,6.454977757,"negative"
"57",261.0072,0.741,7.54e-05,6.430181759,"negative"
"58",214.9867,1.03,9.43e-05,6.25649356,"negative"
"59",337.0384,3.521,0.000106,6.166850876,"negative"
"60",674.2293,1.21,0.000125,6.038629861,"negative"
"61",497.1106,3.715,0.000134,5.986649397,"negative"
"62",215.0018,1.171,0.000142,5.947529076,"negative"
"63",160.0972,5.086,0.000148,-6.257231663,"positive"
"64",381.0996,3.658,0.00016,5.856517875,"negative"
"65",259.0127,1.039,0.000175,-5.789522214,"negative"
"66",449.108,4.523,0.000183,5.759308155,"negative"
"67",243.0178,1.027,0.000205,-5.675002141,"negative"
"68",253.0827,3.556,0.000214,5.645819334,"negative"
"69",459.1642,2.435,0.000219,-5.629002483,"negative"
"70",311.0767,4.586,0.000242,5.5575831,"negative"
"71",339.166,4.664,0.000252,5.823802969,"positive"
"72",255.1338,4.731,0.000256,5.812000751,"positive"
"73",182.0457,0.856,0.000274,-5.468194385,"negative"
"74",367.0828,2.357,0.000285,-5.43921135,"negative"
"75",256.1125,1.174,0.000289,5.713280938,"positive"
"76",204.1343,4.98,0.000291,-5.709554871,"positive"
"77",309.0783,2.234,0.000296,-5.41211313,"negative"
"78",317.0667,2.147,0.000296,-5.411656655,"negative"
"79",688.2445,1.123,0.000296,5.412120545,"negative"
"80",182.0308,1.029,0.000297,-5.411512015,"negative"
"81",540.4236,0.454,0.000321,-5.631364103,"positive"
"82",427.1828,1.023,0.000322,-5.354530565,"negative"
"83",300.1564,3.706,0.000342,5.58282135,"positive"
"84",531.0967,3.961,0.00035,5.294874099,"negative"
"85",153.0047,1.043,0.000358,-5.2786739,"negative"
"86",116.1073,1.209,0.000366,-5.530075979,"positive"
"87",243.1041,0.908,0.000385,-5.229143992,"negative"
"88",311.0929,2.301,0.000413,-5.180678236,"negative"
"89",217.0174,1.047,0.000417,5.173110365,"negative"
"90",275.1025,4.835,0.000419,5.425297291,"positive"
"91",319.1866,5.073,0.000424,-5.416476731,"positive"
"92",339.1848,1.034,0.000442,-5.133251997,"negative"
"93",153.0193,1.076,0.000451,-5.119889907,"negative"
"94",492.1522,3.718,0.000453,5.117225113,"negative"
"95",636.2293,3.934,0.000456,5.111962585,"negative"
"96",341.0875,4.696,0.000463,5.100854654,"negative"
"97",253.0826,3.616,0.000478,5.07933446,"negative"
"98",345.155,0.983,0.000481,-5.074852336,"negative"
"99",215.0733,0.99,0.00055,-4.983625029,"negative"
"100",408.1502,3.977,0.000567,-4.9632325,"negative"
