"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Vitamin B2 (riboflavin) metabolism",8,4,2,0.09995,0.2419,0.1142
"Tyrosine metabolism",160,53,5,0.8869,0.02778,0.1159
"Biopterin metabolism",22,8,2,0.2143,0.1613,0.1509
"Selenoamino acid metabolism",35,6,1,0.3922,0.09756,0.1631
"Xenobiotics metabolism",110,19,3,0.1446,0.3281,0.1921
"Vitamin B12 (cyanocobalamin) metabolism",9,2,1,0.3394,0.1639,0.2163
"Drug metabolism - cytochrome P450",53,14,3,0.3062,0.2059,0.2373
"Arginine and Proline Metabolism",45,19,3,0.1734,0.4493,0.2767
"Fatty acid activation",74,2,1,0.1524,0.5172,0.2791
"Tryptophan metabolism",94,39,5,0.4469,0.2368,0.3435
"Glycerophospholipid metabolism",156,11,3,0.2058,0.5294,0.3505
"Purine metabolism",80,22,3,0.5967,0.194,0.3654
"Methionine and cysteine metabolism",94,11,2,0.4255,0.3016,0.3918
"Drug metabolism - other enzymes",31,5,1,0.5653,0.25,0.4178
"Ubiquinone Biosynthesis",10,7,2,0.2143,0.6901,0.4306
"N-Glycan Degradation",16,6,1,0.6625,0.25,0.4634
"Glyoxylate and Dicarboxylate Metabolism",12,1,1,0.282,0.6279,0.4836
"Ascorbate (Vitamin C) and Aldarate Metabolism",29,17,2,0.9243,0.1967,0.4918
"Lysine metabolism",52,17,3,0.2495,0.7302,0.4924
"Keratan sulfate degradation",68,4,1,0.5653,0.3286,0.4984
"Butanoate metabolism",34,13,2,0.4255,0.4921,0.5368
"Androgen and estrogen biosynthesis and metabolism",95,20,1,0.8434,0.3016,0.6026
"Urea cycle/amino group metabolism",85,30,4,0.3122,0.9344,0.651
"Vitamin B6 (pyridoxine) metabolism",11,5,1,0.4858,0.6232,0.6645
"Sialic acid metabolism",107,19,1,0.8293,0.3788,0.6779
"TCA cycle",31,8,2,0.6899,0.5,0.7121
"C21-steroid hormone biosynthesis and metabolism",112,21,8,0.3965,0.875,0.7142
"Glycosphingolipid metabolism",67,8,1,0.5653,0.6857,0.755
"Fructose and mannose metabolism",33,8,1,0.6004,0.6761,0.7719
"Pentose and Glucuronate Interconversions",15,9,4,0.7974,0.5606,0.8069
"Pentose phosphate pathway",37,13,4,0.8434,0.619,0.8614
"Aspartate and asparagine metabolism",114,38,3,0.5237,1,0.8625
"Aminosugars metabolism",69,10,1,0.7383,0.7879,0.8969
"Histidine metabolism",33,13,1,0.8682,0.7059,0.9129
"Vitamin B3 (nicotinate and nicotinamide) metabolism",28,8,1,0.7383,0.8485,0.9194
"Hexose phosphorylation",20,12,1,0.7597,0.9062,0.9454
"Glycine, serine, alanine and threonine metabolism",88,24,1,0.9218,0.7656,0.9517
"Heparan sulfate degradation",34,5,1,0.7597,0.9375,0.9539
"Chondroitin sulfate degradation",37,5,1,0.7151,1,0.9549
"Porphyrin metabolism",43,7,1,0.7974,0.9242,0.9619
"Phosphatidylinositol phosphate metabolism",59,8,2,0.7793,0.9524,0.9635
