m.z,r.t.,p.value,t.score,mode
621.1088,7.531,1.54E-09,20.68347271,negative
461.1072,4.293,2.57E-09,23.07147903,positive
165.0046,1.023,5.92E-09,-18.0241431,negative
607.1285,8.059,2.16E-08,18.12395279,positive
313.0919,5.697,2.26E-08,15.69915817,negative
201.0078,1.025,2.51E-08,15.52782031,negative
703.0841,8.109,2.65E-08,15.43629173,negative
459.0923,4.329,2.66E-08,15.43180773,negative
440.9939,1.065,3.34E-08,15.07035522,negative
447.0919,4.001,7.77E-08,15.656396,positive
504.1358,1.245,1.11E-07,13.2945939,negative
469.0527,4.611,1.43E-07,14.60020506,positive
531.0208,5.949,2.41E-07,12.24925785,negative
431.0968,4.511,2.46E-07,13.70716487,positive
297.0995,3.753,2.96E-07,11.9820715,negative
445.077,4.149,6.28E-07,11.05844854,negative
433.1123,4.289,6.90E-07,12.1563345,positive
433.1135,3.943,8.84E-07,10.65779114,negative
358.132,3.491,1.15E-06,10.3618116,negative
431.098,4.31,1.16E-06,10.35216631,negative
259.0977,3.914,1.18E-06,11.41695052,positive
509.039,6.64,1.33E-06,10.19401472,negative
712.2431,1.025,1.70E-06,9.924818583,negative
429.0822,4.539,1.81E-06,9.862017678,negative
234.1136,0.825,1.93E-06,10.76445298,positive
355.0323,2.199,2.33E-06,9.591694637,negative
182.0811,5.07,4.08E-06,9.843878754,positive
569.1103,3.819,4.19E-06,-8.988660695,negative
292.1576,1.593,4.42E-06,9.749051765,positive
333.0077,2.22,5.44E-06,8.729656099,negative
153.0193,3.42,5.83E-06,8.6628378,negative
292.1577,0.516,5.94E-06,9.406262391,positive
433.2365,1.214,6.10E-06,9.376529052,positive
397.0538,5.353,6.71E-06,8.525726042,negative
300.112,1.001,7.63E-06,-8.403201015,negative
138.055,4.139,7.70E-06,9.1141656,positive
232.0985,0.835,7.81E-06,8.382006761,negative
335.0228,2.013,9.00E-06,8.248511779,negative
363.0179,2.025,1.12E-05,8.044682539,negative
333.0076,2.172,1.28E-05,7.926608054,negative
353.0331,2.172,1.35E-05,7.87467834,negative
349.002,2.669,1.65E-05,7.697849621,negative
333.0072,3.165,1.74E-05,7.648725116,negative
425.1157,3.412,1.76E-05,7.639955214,negative
621.1629,3.937,1.89E-05,7.574449122,negative
217.0164,3.25,2.22E-05,7.435255074,negative
353.0334,2.232,2.37E-05,7.380396643,negative
279.1234,0.839,2.79E-05,-7.239883897,negative
191.0196,0.953,2.83E-05,-7.229580721,negative
228.0885,0.942,3.52E-05,-7.044665694,negative
377.0534,3.749,4.03E-05,6.93248437,negative
144.0522,1.038,4.53E-05,-6.83684827,negative
364.0847,1.046,4.64E-05,-6.817563185,negative
176.0108,4.197,4.85E-05,7.243272801,positive
297.0971,0.537,6.87E-05,6.503253543,negative
287.0407,5.683,7.30E-05,6.454977757,negative
261.0072,0.741,7.54E-05,6.430181759,negative
214.9867,1.03,9.43E-05,6.25649356,negative
337.0384,3.521,1.06E-04,6.166850876,negative
674.2293,1.21,1.25E-04,6.038629861,negative
497.1106,3.715,1.34E-04,5.986649397,negative
215.0018,1.171,1.42E-04,5.947529076,negative
160.0972,5.086,1.48E-04,-6.257231663,positive
381.0996,3.658,1.60E-04,5.856517875,negative
259.0127,1.039,1.75E-04,-5.789522214,negative
449.108,4.523,1.83E-04,5.759308155,negative
243.0178,1.027,2.05E-04,-5.675002141,negative
253.0827,3.556,2.14E-04,5.645819334,negative
459.1642,2.435,2.19E-04,-5.629002483,negative
311.0767,4.586,2.42E-04,5.5575831,negative
339.166,4.664,2.52E-04,5.823802969,positive
255.1338,4.731,2.56E-04,5.812000751,positive
182.0457,0.856,2.74E-04,-5.468194385,negative
367.0828,2.357,2.85E-04,-5.43921135,negative
256.1125,1.174,2.89E-04,5.713280938,positive
204.1343,4.98,2.91E-04,-5.709554871,positive
309.0783,2.234,2.96E-04,-5.41211313,negative
317.0667,2.147,2.96E-04,-5.411656655,negative
688.2445,1.123,2.96E-04,5.412120545,negative
182.0308,1.029,2.97E-04,-5.411512015,negative
540.4236,0.454,3.21E-04,-5.631364103,positive
427.1828,1.023,3.22E-04,-5.354530565,negative
300.1564,3.706,3.42E-04,5.58282135,positive
531.0967,3.961,3.50E-04,5.294874099,negative
153.0047,1.043,3.58E-04,-5.2786739,negative
116.1073,1.209,3.66E-04,-5.530075979,positive
243.1041,0.908,3.85E-04,-5.229143992,negative
311.0929,2.301,4.13E-04,-5.180678236,negative
217.0174,1.047,4.17E-04,5.173110365,negative
275.1025,4.835,4.19E-04,5.425297291,positive
319.1866,5.073,4.24E-04,-5.416476731,positive
339.1848,1.034,4.42E-04,-5.133251997,negative
153.0193,1.076,4.51E-04,-5.119889907,negative
492.1522,3.718,4.53E-04,5.117225113,negative
636.2293,3.934,4.56E-04,5.111962585,negative
341.0875,4.696,4.63E-04,5.100854654,negative
253.0826,3.616,4.78E-04,5.07933446,negative
345.155,0.983,4.81E-04,-5.074852336,negative
215.0733,0.99,5.50E-04,-4.983625029,negative
408.1502,3.977,5.67E-04,-4.9632325,negative
282.0471,0.951,5.82E-04,-4.946150321,negative
208.0968,0.848,6.02E-04,5.150811463,positive
138.0556,4.837,6.36E-04,5.110917908,positive
467.1357,3.676,6.70E-04,4.851544379,negative
568.1059,3.844,7.08E-04,-4.814568115,negative
190.9655,2.104,7.47E-04,4.778897884,negative
447.1091,2.406,7.50E-04,-4.776537946,negative
175.0974,0.971,8.24E-04,-4.713739967,negative
104.0818,4.801,8.70E-04,-4.881094345,positive
262.1284,5.3,9.27E-04,-4.835039072,positive
331.12,2.389,9.29E-04,-4.634880166,negative
190.9746,2.11,0.00101,4.580603027,negative
308.1524,4.919,0.00105,4.74309041,positive
347.0935,2.377,0.00106,-4.548038694,negative
429.1572,3.915,0.00108,-4.537806177,negative
204.9662,1.032,0.00118,-4.477648266,negative
345.1404,1.027,0.00124,-4.446608264,negative
316.1208,2.204,0.00128,-4.428866655,negative
309.0785,2.268,0.00129,-4.424177958,negative
299.1366,4.533,0.00136,-4.563637338,positive
230.9967,1.606,0.00144,4.352639705,negative
300.1267,0.968,0.00146,-4.340838932,negative
263.005,0.777,0.00151,4.32009532,negative
646.1225,3.879,0.00152,4.317458429,negative
204.0876,5.17,0.00167,-4.255639968,negative
298.201,0.979,0.00172,-4.399803195,positive
200.9711,1.033,0.00175,-4.226466789,negative
189.0573,2.271,0.00194,-4.163348725,negative
357.142,5.129,0.00201,-4.293224078,positive
247.1759,4.792,0.00205,-4.281152069,positive
355.084,3.477,0.00211,-4.110939491,negative
198.0529,5.13,0.00216,-4.24384482,positive
533.2041,3.926,0.00236,-4.040853728,negative
414.2997,3.986,0.00241,-4.169525611,positive
361.1498,5.087,0.0025,-4.003743488,negative
211.0612,0.531,0.00255,-3.99204948,negative
211.987,1.036,0.00261,3.977231814,negative
188.0927,4.517,0.00269,-3.960056444,negative
427.1393,2.402,0.0027,-3.957630406,negative
540.2079,3.902,0.00275,-3.9453451,negative
313.0927,4.354,0.00283,3.927456331,negative
325.1094,2.39,0.00283,-3.927148676,negative
274.9864,3.583,0.00289,-3.915078609,negative
303.0869,2.422,0.00316,-3.860202902,negative
275.0558,2.36,0.00319,-3.854950176,negative
343.1393,0.52,0.00328,-3.837373097,negative
501.1057,4.061,0.00342,3.811539685,negative
439.1031,2.332,0.00366,-3.770402247,negative
381.1378,0.984,0.00375,-3.755910188,negative
192.9813,2.941,0.00376,3.753832776,negative
262.0379,7.079,0.00407,-3.822386146,positive
427.1967,4.119,0.00418,-3.68952807,negative
213.0766,0.898,0.00419,-3.688665045,negative
203.0347,2.437,0.00422,-3.683800105,negative
325.1689,1.04,0.00431,-3.671570582,negative
300.0195,3.182,0.00447,-3.649416284,negative
248.0918,1.204,0.00452,3.754937247,positive
285.134,0.984,0.00457,-3.635905719,negative
262.9864,7.93,0.00458,-3.63413047,negative
208.976,0.787,0.0046,3.632286442,negative
480.1149,4.917,0.00471,3.617526222,negative
241.1547,4.545,0.00474,3.724218145,positive
347.2191,4.123,0.00474,-3.723742476,positive
295.0816,4.004,0.00481,3.604131888,negative
345.1552,0.548,0.00481,-3.604455415,negative
316.1207,2.075,0.0049,-3.593840975,negative
427.1967,0.523,0.005,-3.580950888,negative
325.1527,4.364,0.00503,-3.685222764,positive
405.1259,0.956,0.0052,-3.557655899,negative
293.0895,4.725,0.00524,3.659675406,positive
547.1866,3.913,0.0054,-3.535129995,negative
263.0226,2.25,0.00546,3.528115012,negative
242.1402,1.026,0.00547,3.631929092,positive
345.1054,8.017,0.00558,-3.619293141,positive
615.2464,4.094,0.00566,-3.507289674,negative
242.9966,1.058,0.00572,-3.500635696,negative
229.1553,4.5,0.00575,3.599468492,positive
347.076,2.334,0.00582,-3.490790289,negative
211.0612,1.538,0.00594,-3.477840297,negative
326.1959,0.963,0.00595,-3.577424448,positive
305.1049,2.377,0.00595,-3.477057956,negative
308.0984,6.982,0.00617,-3.455406489,negative
341.1238,3.166,0.00618,-3.454624527,negative
609.2621,0.562,0.0062,-3.452258168,negative
275.0227,3.422,0.00643,-3.430512533,negative
204.9812,1.012,0.00651,-3.42296347,negative
248.0959,3.144,0.00651,-3.42331498,negative
336.2167,0.936,0.00658,-3.513666481,positive
265.1324,1.023,0.00666,-3.409665236,negative
422.1276,2.248,0.00674,-3.403083571,negative
278.0704,4.755,0.00677,-3.400136648,negative
265.1186,1.302,0.00692,3.481438114,positive
535.2001,3.279,0.00694,3.385294479,negative
699.3031,3.917,0.007,-3.379866797,negative
313.0582,4.803,0.00701,3.47375632,positive
457.3017,4.509,0.00716,3.459887807,positive
345.1653,4.623,0.00719,3.457797377,positive
279.068,2.262,0.00723,-3.36101193,negative
233.0835,2.303,0.00727,-3.357599766,negative
277.0733,3.48,0.0074,-3.346966105,negative
307.0839,3.473,0.00743,-3.344939681,negative
337.1097,0.926,0.00758,-3.332995828,negative
