m/z,rt,p-value,t-score,mode
1030.3123,3.466,0.0838,1.920057921,negative
108.0216,3.832,0.809,-0.248311208,negative
109.0294,3.11,0.572,0.584788293,negative
1093.9937,2.988,0.785,-0.280814549,negative
1108.0095,3.117,0.183,1.431322926,negative
1108.0095,3.194,0.144,1.586010273,negative
1108.0095,3.804,0.192,1.39819601,negative
111.0085,0.703,0.592,-0.553444853,negative
1122.0248,4.125,1.07E-08,16.95393799,negative
1122.0249,4.032,1.51E-07,12.86439404,negative
1133.0047,3.302,0.343,-0.994389127,negative
123.0452,4.211,0.731,0.353818362,negative
124.0072,0.616,0.33,-1.023668638,negative
131.0349,0.8,0.0637,-2.084539612,negative
133.0504,0.696,0.512,-0.679322943,negative
135.0295,0.64,0.772,0.297861672,negative
137.0243,4.815,0.639,0.484095898,negative
137.0244,4.225,0.967,-0.042984131,negative
137.0248,0.733,0.64,0.481685917,negative
144.03,0.697,0.717,0.373404289,negative
144.0665,0.781,0.116,-1.718681717,negative
145.0141,0.693,0.525,-0.659069897,negative
146.0456,0.708,0.489,0.718343617,negative
147.0298,0.76,0.954,-0.059124187,negative
149.0089,0.649,0.625,-0.503963367,negative
149.0452,0.654,0.567,-0.592584596,negative
151.04,4.082,0.649,0.469774879,negative
151.04,4.576,0.936,0.081760955,negative
154.0621,0.609,0.392,-0.895378534,negative
154.9984,0.703,0.681,0.422689498,negative
157.0506,2.959,0.275,-1.154473694,negative
161.0454,0.768,0.994,0.007433686,negative
161.9866,2.133,0.427,0.828869581,negative
161.988,0.685,0.54,0.634817487,negative
165.0405,0.634,0.172,1.472726454,negative
165.0409,0.76,0.0572,-2.149104473,negative
165.0417,2.342,0.131,-1.643493079,negative
165.0557,4.102,0.0852,1.909805214,negative
167.0208,0.657,0.274,-1.15831421,negative
167.0211,1.15,0.294,-1.106325295,negative
168.0301,0.797,0.108,1.765676601,negative
168.0302,2.597,0.0267,2.594819742,negative
168.0777,0.606,0.72,-0.368744818,negative
171.0487,4.824,0.82,0.233345958,negative
172.9915,3.001,0.725,0.362304438,negative
173.0001,2.997,0.835,0.213298106,negative
173.0089,0.672,0.25,-1.221490032,negative
173.0091,1.231,0.715,0.376238815,negative
173.9923,0.799,0.578,0.574411454,negative
174.0405,0.655,0.0306,-2.515647116,negative
175.0241,0.753,0.842,-0.204907037,negative
175.0611,3.177,0.812,-0.244359872,negative
175.0975,4.743,0.749,-0.328882108,negative
177.0225,0.776,0.141,-1.5976685,negative
177.1283,5.202,0.728,-0.357178957,negative
178.0513,2.879,0.705,0.390051035,negative
178.0515,2.811,0.719,-0.370419664,negative
178.0515,3.479,0.686,0.415592612,negative
178.0524,2.721,0.878,0.157008326,negative
178.0526,3.481,0.862,-0.177923728,negative
178.0557,3.444,0.753,0.324042542,negative
179.0556,0.643,0.89,-0.142243816,negative
181.0503,4.495,0.582,-0.569074812,negative
181.0504,3.017,0.419,-0.842936619,negative
181.0505,0.817,0.484,-0.727409005,negative
181.0507,4.062,0.277,-1.150864434,negative
181.9916,0.803,0.879,0.156030557,negative
181.9917,2.823,0.837,0.211607843,negative
182.0076,0.788,0.867,-0.171864577,negative
182.0282,0.77,0.847,0.198183207,negative
182.0458,0.803,0.727,0.35883611,negative
182.0458,2.174,0.637,0.487369737,negative
184.0979,4.054,0.187,-1.415216152,negative
185.0819,4.129,0.548,-0.621325202,negative
187.0075,3.121,0.237,1.257562938,negative
187.0079,3.815,0.189,1.409766369,negative
187.0101,3.824,0.172,1.469485712,negative
187.0383,0.634,0.028,-2.567730627,negative
187.0387,3.806,0.203,1.362972459,negative
188.0021,0.665,0.889,0.142995148,negative
188.9863,1.166,0.732,0.352304405,negative
188.9864,0.815,0.637,0.486719699,negative
188.9864,2.765,0.276,1.153331515,negative
189.0027,3.097,0.232,1.272870325,negative
191.0201,1.159,0.124,-1.680880727,negative
191.0203,0.697,0.488,-0.719882916,negative
191.0212,0.699,0.249,-1.22505824,negative
191.0267,0.755,0.154,1.544176801,negative
191.0276,1.165,0.233,1.270740215,negative
191.0523,0.699,0.746,-0.333164435,negative
191.0524,0.713,0.571,0.585058585,negative
191.1076,5.282,0.581,-0.569665213,negative
191.1105,5.283,0.765,0.307120519,negative
193.0351,0.617,0.698,0.398807449,negative
193.0353,5.465,0.757,0.318237484,negative
194.0458,3.657,0.0141,2.967654146,negative
194.0459,0.799,0.734,-0.349986972,negative
194.0459,2.735,0.835,-0.213272146,negative
194.0459,2.921,0.402,-0.875278467,negative
194.0459,3.542,0.0685,2.041313948,negative
194.0459,4.033,0.106,1.774225116,negative
194.046,0.798,0.734,-0.349986972,negative
194.0491,4.031,0.2,-1.371703698,negative
194.0495,2.735,0.406,-0.86776389,negative
194.0546,0.797,0.788,-0.276338557,negative
195.0512,0.787,0.227,-1.287754189,negative
195.0514,2.765,0.123,-1.685858768,negative
195.051,0.627,0.0188,-2.800696677,negative
197.0442,3.134,0.783,-0.283083753,negative
197.0453,3.76,0.853,-0.190411005,negative
197.0471,3.745,0.609,-0.527814111,negative
197.0819,4.344,0.692,-0.40821677,negative
198.1135,5.021,0.157,-1.531285591,negative
199.0068,4.328,0.0148,2.937956786,negative
199.0975,5.017,0.0887,1.885434264,negative
200.1291,5.38,0.649,0.46872884,negative
201.0227,4.086,4.55E-08,14.59462322,negative
201.0228,4.555,2.66E-08,15.42991292,negative
203.0017,3.661,0.406,0.867829234,negative
203.0021,0.801,0.0791,1.954818426,negative
203.0021,2.888,0.506,0.689834361,negative
203.002,3.205,0.354,0.971547967,negative
203.0048,3.202,0.383,0.911814762,negative
204.0666,4.129,0.754,-0.322099552,negative
204.0666,4.532,0.863,-0.176430486,negative
204.9812,0.795,0.46,0.768523416,negative
204.9812,2.586,0.451,0.785228613,negative
205.0352,0.76,0.336,-1.010072318,negative
206.9961,0.7,0.163,1.505040254,negative
206.9967,2.418,0.152,1.549483199,negative
208.0615,3.836,0.00839,-3.272723999,negative
208.0646,0.766,0.354,-0.972056905,negative
209.0452,3.159,0.8,-0.259827712,negative
209.0452,3.24,0.926,0.095701185,negative
209.0455,3.749,0.48,-0.734278703,negative
209.0532,3.773,0.0392,-2.371227171,negative
210.0419,3.959,0.339,-1.004587381,negative
211.0611,3.158,0.0103,-3.149252856,negative
211.0613,3.866,0.561,-0.600869099,negative
211.0615,4.235,0.471,-0.749121304,negative
211.0967,4.185,0.0994,-1.815982687,negative
211.0971,3.846,0.135,-1.626470519,negative
212.0023,0.825,0.779,0.288415302,negative
212.0027,3.304,0.327,1.030396409,negative
