"p.value","m.z","t.score","r.t"
0,100.0756,-2.113752642,0.774
0,1106.5217,-1.478368647,3.833
0,111.0439,-1.393080496,0.81
0,111.044,-2.178043887,2.998
0,114.0669,-1.991276391,0.645
0,121.0283,0.66762934,0.799
0,121.0284,0.180762096,2.736
0,121.0284,1.727290075,3.033
0,121.0284,0.101594463,3.689
0,121.0646,0.424013257,4.206
0,125.0597,0.905410547,3.726
0,131.0494,1.766268673,4.532
0,132.0444,-1.140857167,0.791
0,132.0768,-3.151364538,0.656
0,134.0601,-0.434801035,3.31
0,134.0963,0.226928917,0.777
0,134.0964,1.011402557,2.689
0,135.0441,0.872773667,3.831
0,136.0482,2.582830834,0.633
0,137.0597,1.132142505,3.062
0,137.0598,1.041520138,4.484
0,137.071,1.885057811,0.636
0,138.0551,1.503747815,0.654
0,138.0639,0.498948291,0.655
0,139.0387,0.069242829,3.143
0,141.0659,-1.737938567,0.655
0,142.0862,-2.82289238,0.71
0,144.0655,0.675840147,0.707
0,144.1023,1.525007625,0.656
0,144.1103,-0.321492692,0.66
0,144.1283,2.329920156,0.662
0,145.0648,1.024045553,5.215
0,146.0609,0.166903755,0.789
0,146.0614,0.852832093,2.317
0,146.0812,0.394503536,0.71
0,148.1122,1.083618013,0.753
0,148.112,1.245807348,2.583
0,149.0596,0.796208353,0.765
0,149.0598,0.419164612,4.188
0,149.0598,2.065751956,7.95
0,152.0699,1.193675673,2.312
0,152.0705,1.28821356,2.812
0,152.07,1.009294359,0.791
0,153.0658,-0.872094212,0.769
0,153.0659,0.064839327,2.108
0,156.0769,-4.133470344,0.621
0,159.1492,-1.903601424,0.608
0,160.0405,-0.616435739,2.57
0,160.0967,1.650516945,0.691
0,160.1332,-1.994189705,0.662
0,162.1126,-3.118268849,0.642
0,163.0755,-0.507041469,3.225
0,163.0993,1.359061724,3.595
0,163.123,-1.604522287,1.223
0,163.1243,-3.976574337,0.654
0,166.0723,0.042540962,0.669
0,166.0862,-3.493107586,0.727
0,166.0863,-1.928249415,2.395
0,166.1216,1.000978922,0.797
0,166.1226,0.837326283,2.55
0,166.131,0.952445585,0.809
0,167.0562,-1.324799849,0.774
0,167.0563,-1.174410618,2.234
0,167.0564,-1.852422309,2.346
0,167.0795,1.532008436,4.248
0,169.0358,-0.466362527,1.154
0,170.0447,0.186275225,0.81
0,170.0448,-0.005741395,2.599
0,170.0602,0.581851126,4.487
0,170.0631,-2.237419776,0.751
0,170.0926,-2.976402823,0.62
0,174.0873,-0.90461797,0.814
0,174.1237,4.062177603,2.04
0,175.1442,-0.679794195,0.616
0,176.0707,1.437697092,4.755
0,177.0546,1.058972996,3.653
0,177.102,-1.775105376,0.741
0,177.1123,-0.169984809,4.741
0,180.0658,1.653626233,2.895
0,180.0658,1.715712339,3.481
0,180.0739,0.820630493,3.473
0,181.0609,-1.301218607,3.097
0,181.0704,-1.009306738,2.671
0,181.0717,-1.353806582,0.801
0,182.0715,1.139698265,2.896
0,183.0644,-1.440735031,2.192
0,183.0645,-1.05234901,2.074
0,183.0655,1.406814282,4.503
0,185.0912,-2.80823751,0.756
0,185.1284,-1.63749939,0.796
0,185.1284,-1.379333662,2.751
0,186.1124,0.168519017,4.054
0,189.1684,-2.295246717,0.616
0,189.16,-2.267223514,0.615
0,190.0499,-1.868689351,3.133
0,191.1066,-0.166111663,5.298
0,192.0659,-0.969471634,4.563
0,192.1052,-1.984012451,3.316
0,193.0968,-2.829616163,0.764
0,193.1547,-0.241061377,0.646
0,195.0647,1.545160205,0.814
0,195.0874,-2.517552842,3.353
0,196.0604,-0.153698694,3.589
0,196.0604,-0.097517039,4.033
0,196.0605,0.55371073,2.921
0,196.0693,-0.090621239,3.577
0,199.0965,-0.521041103,3.235
0,199.0965,-0.641884296,3.748
0,199.1068,-2.357132332,3.168
0,199.1069,-0.153776862,3.734
0,200.1281,-3.084402848,5.02
0,202.1437,-1.690618598,5.378
0,203.0814,-0.883125428,0.73
0,203.139,-2.996618505,0.665
0,203.1502,-1.800069307,0.654
0,204.1231,-3.754589656,0.665
0,204.1231,-2.013631533,1.146
0,205.0971,-1.872051508,2.931
0,205.097,-3.231558288,0.801
0,210.0607,4.391153963,1.159
0,213.0757,0.207593776,3.832
0,213.076,0.539943315,4.23
0,213.1234,0.679635025,0.672
0,215.0163,2.061306895,0.719
0,217.118,-0.909516593,0.7
0,217.1547,-0.893596197,0.664
0,218.0426,2.351570118,0.785
0,218.1384,1.440974751,6.89
0,218.1386,-2.449612159,2.048
0,219.1705,1.473806843,0.65
0,220.0637,-1.904473165,0.707
0,220.0638,-1.201617673,2.227
0,220.1178,3.131958836,2.562
0,220.1179,3.273684537,0.735
0,220.1367,-1.978848612,4.453
0,222.1126,-1.347785154,4.749
0,224.056,-0.916650625,3.685
0,226.071,-0.655703969,3.019
0,226.9516,-0.920000873,0.553
0,227.1026,-0.984871629,2.542
0,229.0704,1.181569985,2.103
0,229.0982,-1.493835234,5.024
0,229.1182,-0.625567326,0.667
0,229.1547,-3.228868045,1.206
0,229.1547,-2.830902062,1.899
0,229.1547,-1.964404704,2.116
0,229.1549,-2.069823718,0.669
0,230.1106,1.344495321,4.213
0,230.9902,3.554906631,0.718
0,231.1009,-0.143628914,6.633
0,232.0264,1.375447719,2.519
0,232.1543,-1.506234486,0.707
0,232.1544,-1.037348538,2.651
0,234.1122,9.0510619,4.883
0,235.0574,0.820111796,3.619
0,237.1232,0.854843882,2.723
0,239.1389,1.195201026,4.617
0,240.0954,-0.333710955,4.039
0,240.1607,0.286094147,5.206
0,241.1546,-2.041766734,1.985
0,242.1115,0.36684158,4.496
0,242.1325,-0.408302092,4.563
0,242.1417,0.061197434,4.559
0,242.1504,0.764390694,4.993
0,243.0877,0.607524124,4.57
0,243.1339,-1.574515459,3.536
0,244.1269,-0.520447403,4.537
0,244.1542,-2.298673282,0.804
0,244.1542,-1.423262705,3.098
0,244.1711,0.765822817,3.868
0,245.0798,-1.754020891,4.776
0,245.1494,-2.070424732,3.787
0,245.1495,-1.717294875,3.326
0,246.0972,1.28157168,2.12
0,246.1699,-2.568342815,0.806
0,246.17,-2.872692257,3.238
0,247.1076,-0.213969767,4.297
0,247.1078,0.782196522,4.488
0,247.1288,-0.664321034,0.789
0,247.1424,0.536899477,0.808
0,247.1441,-0.424128625,3.239
0,248.1679,-1.992384603,5.389
0,249.0966,-0.555923131,4.117
0,250.1107,7.791368378,3.546
0,251.1276,-2.071589051,5.991
0,254.1398,0.077943371,5.274
0,254.1765,0.936391405,6.358
0,255.0655,-1.353499695,5.039
0,256.1666,-1.462406536,4.784
0,257.1494,-1.818500828,3.646
0,257.1495,-1.480873306,4.039
0,257.153,-3.520886316,5.622
0,257.2261,-0.849047636,6.012
0,258.1241,-1.904071044,0.69
0,258.1269,0.307728452,3.305
0,258.128,-0.082970066,4.17
0,258.1827,-0.829782537,3.513
0,258.1834,1.116692745,4.934
0,258.1848,1.139692758,3.943
0,258.1947,0.98997404,3.931
0,259.1651,-1.698207993,4.324
0,260.1492,-1.540308557,2.107
0,261.1442,-2.832534265,0.8
0,261.1443,-0.268831574,3.263
0,261.1443,-0.629008437,3.733
0,262.1648,-2.916531602,2.169
0,263.0816,0.048535574,7.148
0,263.1025,-0.038847547,3.498
0,265.1191,-0.319940515,2.889
0,265.1195,-0.352546367,3.466
0,265.1278,-0.283494546,3.383
0,265.1556,-0.798197234,3.46
0,266.1022,-1.030961891,3.875
0,266.1357,-0.281861408,3.432
0,266.1362,-0.426899242,3.431
0,267.1329,0.1512794,3.967
0,267.1335,0.450775529,4.316
0,269.1244,-1.469476367,0.667
0,270.183,1.720548998,4.814
0,271.0596,-0.769508773,4.449
0,271.0753,1.648134476,2.433
0,271.0761,1.479414899,0.756
0,271.1653,-5.227256814,4.288
0,271.1656,-6.042335762,4.57
0,272.1663,0.325643812,5.352
0,272.1855,-2.337011666,3.975
0,272.2044,1.385377581,4.93
0,272.2049,1.666429602,4.967
0,272.2382,0.976414305,4.968
0,273.2384,1.01418792,4.97
0,274.1181,-0.076040386,0.778
0,274.1778,1.557027418,4.235
0,274.1833,-2.162628623,5.809
0,274.2013,-2.756234213,4.449
0,274.2138,-1.194979049,4.28
0,276.1366,-0.263375933,0.762
0,276.1375,-1.923106359,2.825
0,276.1442,-3.049526573,0.669
0,276.1442,-2.530288614,2.061
0,276.1991,-1.953093164,6.202
0,277.1173,-0.506699359,0.79
0,277.1432,-3.702155111,7.079
0,278.1335,-0.290503548,0.718
0,279.1317,0.710875202,4.044
0,279.1332,1.100265132,3.64
0,280.1543,-1.731455904,3.604
0,281.1128,-0.766548303,0.728
0,281.1128,-0.513462264,0.765
0,281.1131,-1.001581032,3.801
0,281.113,-0.620071984,2.62
0,281.113,-0.7829121,3.046
0,282.1196,0.70130223,1.153
0,283.1287,-2.252384088,4.036
0,284.092,0.583406367,3.463
0,284.1855,-3.846331063,4.179
0,285.1441,-3.946292416,0.774
0,285.1804,-1.289846819,5.23
0,286.1284,-1.514064747,2.172
0,286.1445,-1.318239951,2.886
0,286.1792,-0.042126585,4.126
0,286.2019,-4.114966555,4.654
0,286.2113,0.816529277,4.609
0,287.1002,2.362548514,2.762
0,287.1003,2.95777065,2.867
0,287.1004,4.274155373,3.467
0,287.1598,-5.178057831,0.805
0,287.1967,1.41002577,0.655
0,288.1616,-0.758453516,4.254
0,288.1937,-2.641002008,3.464
0,288.1983,0.628985507,5.173
0,288.2168,-3.449183285,4.83
0,288.2295,-3.414321386,5.182
0,289.1393,0.315566454,3.497
0,290.1419,0.250629286,5.181
0,290.1595,-1.855967746,0.783
0,290.1597,-1.359828425,2.525
0,290.1739,1.106762304,3.326
0,292.1575,8.277271862,3.656
0,293.1465,-3.418167255,4.573
0,295.048,0.31150144,2.58
0,295.1284,-0.592334094,0.813
0,295.1287,-3.09614445,3.186
0,296.1492,-1.384551907,2.896
0,296.1628,-0.64829588,4.092
0,297.1443,0.441973117,3.938
0,300.199,-2.579299862,6.283
0,300.2168,-1.945814016,5.214
0,300.217,-1.834399735,5.005
0,301.1221,-0.43473805,3.855
0,301.1391,-5.673245184,0.795
0,302.1232,-0.764352797,3.89
0,302.1418,-3.50121648,0.788
0,302.1423,-0.473635662,3.205
0,302.1728,0.613563744,6.009
0,302.1959,-3.466277685,0.798
0,302.196,-2.033895923,3.701
0,302.2329,-1.77571874,5.39
0,302.2435,-0.617269329,5.373
0,302.2687,-2.321958531,5.39
0,303.0741,7.829510918,3.467
0,303.0862,0.201754952,4.684
0,303.1704,0.939786673,6.179
0,304.129,-1.925231442,3.192
0,304.129,-1.949898175,3.69
0,304.15,-0.406786791,0.797
0,304.1925,0.909659976,4.641
0,304.2117,-2.769028766,4.122
0,305.0863,0.894888207,2.684
0,305.0865,0.517282216,0.744
0,305.1857,0.594757521,4.623
0,306.1703,0.845385015,4.74
0,307.1221,-1.155594507,2.208
0,307.2,0.69293539,5.592
0,308.168,1.332585829,5.004
0,308.1854,-0.743172766,4.932
0,308.1987,-0.670527419,4.967
0,308.2029,-0.313300273,4.983
0,309.1689,3.036682248,5.025
0,310.1653,-0.897834559,3.385
0,310.2375,-2.861673813,5.158
0,311.1488,1.43156617,4.505
0,311.1563,-1.243329378,5.057
0,312.1299,-2.360853604,0.786
0,312.1301,-0.926272233,2.601
0,312.2162,-2.866945885,5.201
0,312.2166,1.344986731,4.927
0,312.2168,-2.602086439,5.505
0,313.0848,0.956122999,2.276
0,313.0853,1.227489203,3.183
0,314.2327,-4.599722568,5.619
0,316.1385,-1.238448313,4.504
0,316.1938,-2.04616521,5.631
0,316.248,-2.00291751,5.914
0,316.248,-2.872707012,6.107
0,317.0855,-0.995322012,0.773
0,318.1438,-0.179575252,2.762
0,318.1909,-1.612502603,0.803
0,318.191,-1.14390254,3.368
0,318.2093,-1.771491375,5.034
0,319.1649,-0.016670463,4.258
0,319.165,-3.484670211,3.812
0,322.1811,1.195444644,5.096
0,322.2005,-0.116423251,4.899
0,324.1249,-1.877720717,2.964
0,324.1258,-0.102474109,3.118
0,325.1697,-0.549311116,5.177
0,325.1883,-1.376238859,3.576
0,326.0869,-0.384238767,2.134
0,326.1962,-1.092972474,5.293
0,327.0685,1.531445479,0.734
0,328.1026,-0.593691657,3.567
0,328.1873,0.874985469,2.778
0,328.2118,-0.943837434,4.717
0,328.2482,-4.587994631,6.065
0,328.248,-0.688306042,6.21
0,329.2074,-0.110716015,3.337
0,330.1909,-2.125612413,3.491
0,330.2272,-1.443869308,4.126
0,330.2275,-3.977007772,4.829
0,331.2276,-2.179067249,4.919
0,331.2294,-0.615492772,4.533
0,336.2167,-4.921831798,5.325
0,337.1754,-0.530972246,3.847
0,338.0825,-0.926598239,3.449
0,338.0863,0.4706154,0.805
0,338.0865,0.554710313,3.299
0,338.1399,-0.440948122,3.076
0,338.1737,0.065772376,6.007
0,338.1777,-2.379209007,5.232
0,338.2323,-3.797528991,5.729
0,338.2324,-3.070787817,5.637
0,340.1025,1.069219754,3.555
0,340.1026,0.931779207,3.009
0,340.1336,-0.965358367,2.71
0,340.2479,-1.683068291,6.162
0,341.1709,-0.876098476,3.522
0,341.183,1.160855698,2.936
0,341.1877,0.903854203,3.826
0,342.1686,-0.345312696,3.782
0,342.173,-2.695108896,5.69
0,342.2635,-1.827456075,6.518
0,343.1003,-0.251011407,0.795
0,343.1674,-1.396054522,2.639
