"","m.z","r.t.","p","t.score","mode"
"1",100.0756,0.774,0.0637,-2.113752642,"positive"
"2",1106.5217,3.833,0.173,-1.478368647,"positive"
"3",111.0439,0.81,0.197,-1.393080496,"positive"
"4",111.044,2.998,0.0574,-2.178043887,"positive"
"5",114.0669,0.645,0.0776,-1.991276391,"positive"
"6",121.0283,0.799,0.521,0.66762934,"positive"
"7",121.0284,2.736,0.861,0.180762096,"positive"
"8",121.0284,3.033,0.118,1.727290075,"positive"
"9",121.0284,3.689,0.921,0.101594463,"positive"
"10",121.0646,4.206,0.682,0.424013257,"positive"
"11",125.0597,3.726,0.389,0.905410547,"positive"
"12",131.0494,4.532,0.111,1.766268673,"positive"
"13",132.0444,0.791,0.283,-1.140857167,"positive"
"14",132.0768,0.656,0.0117,-3.151364538,"positive"
"15",134.0601,3.31,0.674,-0.434801035,"positive"
"16",134.0963,0.777,0.826,0.226928917,"positive"
"17",134.0964,2.689,0.338,1.011402557,"positive"
"18",135.0441,3.831,0.405,0.872773667,"positive"
"19",136.0482,0.633,0.0296,2.582830834,"positive"
"20",137.0597,3.062,0.287,1.132142505,"positive"
"21",137.0598,4.484,0.325,1.041520138,"positive"
"22",137.071,0.636,0.0921,1.885057811,"positive"
"23",138.0551,0.654,0.167,1.503747815,"positive"
"24",138.0639,0.655,0.63,0.498948291,"positive"
"25",139.0387,3.143,0.946,0.069242829,"positive"
"26",141.0659,0.655,0.116,-1.737938567,"positive"
"27",142.0862,0.71,0.02,-2.82289238,"positive"
"28",144.0655,0.707,0.516,0.675840147,"positive"
"29",144.1023,0.656,0.162,1.525007625,"positive"
"30",144.1103,0.66,0.755,-0.321492692,"positive"
"31",144.1283,0.662,0.0448,2.329920156,"positive"
"32",145.0648,5.215,0.333,1.024045553,"positive"
"33",146.0609,0.789,0.871,0.166903755,"positive"
"34",146.0614,2.317,0.416,0.852832093,"positive"
"35",146.0812,0.71,0.702,0.394503536,"positive"
"36",148.1122,0.753,0.307,1.083618013,"positive"
"37",148.112,2.583,0.244,1.245807348,"positive"
"38",149.0596,0.765,0.446,0.796208353,"positive"
"39",149.0598,4.188,0.685,0.419164612,"positive"
"40",149.0598,7.95,0.0688,2.065751956,"positive"
"41",152.0699,2.312,0.263,1.193675673,"positive"
"42",152.0705,2.812,0.23,1.28821356,"positive"
"43",152.07,0.791,0.339,1.009294359,"positive"
"44",153.0658,0.769,0.406,-0.872094212,"positive"
"45",153.0659,2.108,0.95,0.064839327,"positive"
"46",156.0769,0.621,0.00255,-4.133470344,"positive"
"47",159.1492,0.608,0.0894,-1.903601424,"positive"
"48",160.0405,2.57,0.553,-0.616435739,"positive"
"49",160.0967,0.691,0.133,1.650516945,"positive"
"50",160.1332,0.662,0.0773,-1.994189705,"positive"
"51",162.1126,0.642,0.0124,-3.118268849,"positive"
"52",163.0755,3.225,0.624,-0.507041469,"positive"
"53",163.0993,3.595,0.207,1.359061724,"positive"
"54",163.123,1.223,0.143,-1.604522287,"positive"
"55",163.1243,0.654,0.00322,-3.976574337,"positive"
"56",166.0723,0.669,0.967,0.042540962,"positive"
"57",166.0862,0.727,0.0068,-3.493107586,"positive"
"58",166.0863,2.395,0.0859,-1.928249415,"positive"
"59",166.1216,0.797,0.343,1.000978922,"positive"
"60",166.1226,2.55,0.424,0.837326283,"positive"
"61",166.131,0.809,0.366,0.952445585,"positive"
"62",167.0562,0.774,0.218,-1.324799849,"positive"
"63",167.0563,2.234,0.27,-1.174410618,"positive"
"64",167.0564,2.346,0.097,-1.852422309,"positive"
"65",167.0795,4.248,0.16,1.532008436,"positive"
"66",169.0358,1.154,0.652,-0.466362527,"positive"
"67",170.0447,0.81,0.856,0.186275225,"positive"
"68",170.0448,2.599,0.996,-0.005741395,"positive"
"69",170.0602,4.487,0.575,0.581851126,"positive"
"70",170.0631,0.751,0.0521,-2.237419776,"positive"
"71",170.0926,0.62,0.0155,-2.976402823,"positive"
"72",174.0873,0.814,0.389,-0.90461797,"positive"
"73",174.1237,2.04,0.00283,4.062177603,"positive"
"74",175.1442,0.616,0.514,-0.679794195,"positive"
"75",176.0707,4.755,0.184,1.437697092,"positive"
"76",177.0546,3.653,0.317,1.058972996,"positive"
"77",177.102,0.741,0.11,-1.775105376,"positive"
"78",177.1123,4.741,0.869,-0.169984809,"positive"
"79",180.0658,2.895,0.133,1.653626233,"positive"
"80",180.0658,3.481,0.12,1.715712339,"positive"
"81",180.0739,3.473,0.433,0.820630493,"positive"
"82",181.0609,3.097,0.226,-1.301218607,"positive"
"83",181.0704,2.671,0.339,-1.009306738,"positive"
"84",181.0717,0.801,0.209,-1.353806582,"positive"
"85",182.0715,2.896,0.284,1.139698265,"positive"
"86",183.0644,2.192,0.184,-1.440735031,"positive"
"87",183.0645,2.074,0.32,-1.05234901,"positive"
"88",183.0655,4.503,0.193,1.406814282,"positive"
"89",185.0912,0.756,0.0204,-2.80823751,"positive"
"90",185.1284,0.796,0.136,-1.63749939,"positive"
"91",185.1284,2.751,0.201,-1.379333662,"positive"
"92",186.1124,4.054,0.87,0.168519017,"positive"
"93",189.1684,0.616,0.0474,-2.295246717,"positive"
"94",189.16,0.615,0.0496,-2.267223514,"positive"
"95",190.0499,3.133,0.0945,-1.868689351,"positive"
"96",191.1066,5.298,0.872,-0.166111663,"positive"
"97",192.0659,4.563,0.358,-0.969471634,"positive"
"98",192.1052,3.316,0.0786,-1.984012451,"positive"
"99",193.0968,0.764,0.0197,-2.829616163,"positive"
"100",193.1547,0.646,0.815,-0.241061377,"positive"
