"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tyrosine metabolism","160","37","30","25.795","1.8198e-06","5.8359e-06","0.00053985","0","0","0.0001146474","0.0003676617","0.03401055","P1","EC0009;EC00077;EC00078;EC0008;EC00082;EC00083;EC00084;EC00068;EC00047;EC00048;EC00049;EC000252;EC000162;EC0003;EC00015;EC00016;EC00010;EC000153;EC000152;EC000134;EC000135;EC000183;EC000184;EC000120;EC000121;EC000260;EC00051;EC00052;EC00065;EC000112;EC000113;EC000163;EC000164;EC000165;EC000166;EC000167;EC000168;EC00067"
"Urea cycle/amino group metabolism","85","14","9","9.0759","0.0036779","0.012907","0.00054867","1","0.01","0.2280298","0.800234","0.03401754","P2","EC0008;EC000112;EC000113;EC00079;EC000125;EC00046;EC000120;EC000121;EC0009;EC00077;EC00078;EC00047;EC00048;EC00049"
"Tryptophan metabolism","94","22","17","12.897","0.0053891","0.014514","0.00055282","7","0.07","0.3287351","0.885354","0.03401754","P3","EC0008;EC0009;EC000173;EC000213;EC000214;EC00076;EC000174;EC00070;EC00013;EC00014;EC000108;EC00021;EC000115;EC000219;EC00010;EC00011;EC000172;EC00094"
"Lysine metabolism","52","11","9","4.7768","0.014931","0.062153","0.0005766","0","0","0.89586","1","0.034596","P4","EC0008;EC0009;EC000160;EC000125;EC00050;EC00095;EC000107;EC000138"
"Glycine, serine, alanine and threonine metabolism","88","11","7","5.7321","0.06913","0.1786","0.00073327","4","0.04","1","1","0.04326293","P5","EC0008;EC0009;EC00033;EC000226;EC000227;EC00046;EC000228;EC000229"
"Vitamin B6 (pyridoxine) metabolism","11","2","2","2.3884","0.099351","0.34081","0.00083924","3","0.03","1","1","0.04867592","P6","EC00047;EC00048;EC00049;EC00086"
"N-Glycan biosynthesis","48","2","2","0.95536","0.17374","0.65763","0.0011738","12","0.12","1","1","0.0669066","P7","EC00010;EC00011"
"Glycosphingolipid biosynthesis - ganglioseries","62","2","2","0.95536","0.17374","0.65763","0.0011738","12","0.12","1","1","0.0669066","P8","EC00010;EC00011"
"Glycosphingolipid biosynthesis - globoseries","16","1","1","0.95536","0.17374","0.65763","0.0011738","12","0.12","1","1","0.0669066","P9","EC00010;EC00011"
"Biopterin metabolism","22","1","1","0.95536","0.17374","0.65763","0.0011738","4","0.04","1","1","0.0669066","P10","EC00015;EC00016"
"Glutamate metabolism","15","2","2","0.95536","0.17374","0.65763","0.0011738","5","0.05","1","1","0.0669066","P11","EC0008;EC0009"
"Starch and Sucrose Metabolism","33","3","3","0.95536","0.17374","0.65763","0.0011738","12","0.12","1","1","0.0669066","P12","EC00010;EC00011"
"Valine, leucine and isoleucine degradation","65","4","3","1.9107","0.19872","0.54976","0.0013153","11","0.11","1","1","0.0670803","P13","EC0008;EC0009;EC00033"
"Glycosphingolipid metabolism","67","6","5","1.9107","0.19872","0.54976","0.0013153","25","0.25","1","1","0.0670803","P14","EC00065;EC00010;EC00011"
"Beta-Alanine metabolism","20","4","3","1.9107","0.19872","0.54976","0.0013153","24","0.24","1","1","0.0670803","P15","EC0008;EC00024;EC0009"
"Butanoate metabolism","34","6","4","2.8661","0.20228","0.48511","0.0013369","11","0.11","1","1","0.0670803","P16","EC0008;EC0009;EC00033;EC000128"
"Carnitine shuttle","72","6","2","3.3438","0.32333","0.61238","0.0023439","15","0.15","1","1","0.1101633","P17","EC000262;EC000263;EC000264;EC00050"
"Histidine metabolism","33","7","4","3.3438","0.32333","0.61238","0.0023439","25","0.25","1","1","0.1101633","P18","EC0008;EC0009;EC000177;EC00024"
"Caffeine metabolism","11","7","4","3.3438","0.32333","0.61238","0.0023439","34","0.34","1","1","0.1101633","P19","EC00010;EC00011;EC000152;EC000153"
"Aspartate and asparagine metabolism","114","8","5","3.3438","0.32333","0.61238","0.0023439","21","0.21","1","1","0.1101633","P20","EC0008;EC0009;EC000101;EC000125"
"Chondroitin sulfate degradation","37","4","3","2.3884","0.34777","0.68907","0.0026312","39","0.39","1","1","0.1131416","P21","EC00010;EC00011;EC00034"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","5","3","2.3884","0.34777","0.68907","0.0026312","14","0.14","1","1","0.1131416","P22","EC0008;EC000179;EC000180"
"Heparan sulfate degradation","34","4","3","2.3884","0.34777","0.68907","0.0026312","39","0.39","1","1","0.1131416","P23","EC00010;EC00011;EC00034"
"Galactose metabolism","41","9","8","1.433","0.37759","0.80051","0.0030331","24","0.24","1","1","0.121324","P24","EC00010;EC00011"
"Keratan sulfate degradation","68","2","1","1.433","0.37759","0.80051","0.0030331","23","0.23","1","1","0.121324","P25","EC00010;EC00011"
"N-Glycan Degradation","16","3","2","1.433","0.37759","0.80051","0.0030331","23","0.23","1","1","0.121324","P26","EC00010;EC00011"
"Fatty Acid Metabolism","63","1","1","0.47768","0.41797","1","0.0036854","14","0.14","1","1","0.1363598","P27","EC00050"
"Saturated fatty acids beta-oxidation","36","1","1","0.47768","0.41797","1","0.0036854","14","0.14","1","1","0.1363598","P28","EC00050"
"Fatty acid oxidation, peroxisome","28","1","1","0.47768","0.41797","1","0.0036854","29","0.29","1","1","0.1363598","P29","EC0009"
"Glutathione Metabolism","19","1","1","0.47768","0.41797","1","0.0036854","18","0.18","1","1","0.1363598","P30","EC0008"
"1- and 2-Methylnaphthalene degradation","4","2","2","0.47768","0.41797","1","0.0036854","11","0.11","1","1","0.1363598","P31","EC000124"
"Nitrogen metabolism","6","1","1","0.47768","0.41797","1","0.0036854","18","0.18","1","1","0.1363598","P32","EC0008"
"Arginine and Proline Metabolism","45","7","4","2.8661","0.49327","0.79105","0.0053418","30","0.3","1","1","0.1655958","P33","EC0008;EC0009;EC000125"
"Glycolysis and Gluconeogenesis","49","5","3","1.9107","0.55645","0.88409","0.0073652","51","0.51","1","1","0.220956","P34","EC00010;EC00011"
"Hexose phosphorylation","20","6","4","1.9107","0.55645","0.88409","0.0073652","56","0.56","1","1","0.220956","P35","EC00010;EC00011"
"CoA Catabolism","7","3","1","1.9107","0.55645","0.88409","0.0073652","41","0.41","1","1","0.220956","P36","EC00089;EC00090"
"Phosphatidylinositol phosphate metabolism","59","5","3","3.3438","0.62072","0.86251","0.010331","43","0.43","1","1","0.278937","P37","EC00010;EC00011;EC00034"
"Hyaluronan Metabolism","8","1","1","0.95536","0.66219","1","0.012956","25","0.25","1","1","0.336856","P38","EC00034"
"Putative anti-Inflammatory metabolites formation from EPA","27","6","1","0.95536","0.66219","1","0.012956","25","0.25","1","1","0.336856","P39","EC0008"
"Vitamin B1 (thiamin) metabolism","20","2","1","0.95536","0.66219","1","0.012956","33","0.33","1","1","0.336856","P40","EC0009"
"Vitamin E metabolism","54","2","1","0.95536","0.66219","1","0.012956","29","0.29","1","1","0.336856","P41","EC00067"
"Aminosugars metabolism","69","2","1","0.95536","0.66219","1","0.012956","32","0.32","1","1","0.336856","P42","EC0008"
"Phytanic acid peroxisomal oxidation","34","2","1","0.95536","0.66219","1","0.012956","33","0.33","1","1","0.336856","P43","EC0009"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","4","1","2.3884","0.69557","0.93285","0.015631","57","0.57","1","1","0.336856","P44","EC00089;EC00090"
"Fructose and mannose metabolism","33","6","4","2.3884","0.69557","0.93285","0.015631","72","0.72","1","1","0.336856","P45","EC00010;EC00011"
"Alanine and Aspartate Metabolism","30","5","2","2.3884","0.69557","0.93285","0.015631","52","0.52","1","1","0.336856","P46","EC0008;EC0009"
"Xenobiotics metabolism","110","16","7","3.8214","0.72462","0.91107","0.018497","36","0.36","1","1","0.336856","P47","EC000193;EC000185;EC000115"
"Glycerophospholipid metabolism","156","7","3","3.8214","0.72462","0.91107","0.018497","57","0.57","1","1","0.336856","P48","EC00065;EC00010;EC00011"
"Ubiquinone Biosynthesis","10","4","1","3.8214","0.72462","0.91107","0.018497","67","0.67","1","1","0.336856","P49","EC00025;EC00026;EC00027"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","12","6","7.6429","0.72955","0.86825","0.019044","59","0.59","1","1","0.336856","P50","EC00067;EC00034;EC000152;EC000153;EC0003;EC00080"
"Sialic acid metabolism","107","8","5","2.8661","0.79672","0.96121","0.028838","74","0.74","1","1","0.374894","P51","EC00010;EC00011"
"Pentose and Glucuronate Interconversions","15","9","4","2.8661","0.79672","0.96121","0.028838","62","0.62","1","1","0.374894","P52","EC00057;EC00034"
"Alkaloid biosynthesis II","10","3","1","1.433","0.8045","1","0.030342","28","0.28","1","1","0.374894","P53","EC000194"
"Vitamin B9 (folate) metabolism","33","4","1","1.433","0.8045","1","0.030342","31","0.31","1","1","0.374894","P54","EC0008"
"Drug metabolism - cytochrome P450","53","9","4","4.2991","0.80506","0.94329","0.030455","34","0.34","1","1","0.374894","P55","EC000205;EC000172;EC000204"
"TCA cycle","31","6","3","3.3438","0.86712","0.97765","0.047114","75","0.75","1","1","0.376912","P56","EC0009;EC0003"
"Pentose phosphate pathway","37","8","1","3.3438","0.86712","0.97765","0.047114","79","0.79","1","1","0.376912","P57","EC00010;EC00011"
"Arachidonic acid metabolism","95","14","1","2.3884","0.93508","1","0.085178","46","0.46","1","1","0.511068","P58","EC0008"
"Porphyrin metabolism","43","7","2","4.2991","0.94592","0.99265","0.095822","74","0.74","1","1","0.511068","P59","EC00034;EC00092"
"Methionine and cysteine metabolism","94","10","3","4.2991","0.94592","0.99265","0.095822","80","0.8","1","1","0.511068","P60","EC0008;EC0009"
"Pyrimidine metabolism","70","7","1","3.3438","0.9787","1","0.15258","65","0.65","1","1","0.511068","P61","EC0008"
"Leukotriene metabolism","92","10","1","3.8214","0.98785","1","0.18714","49","0.49","1","1","0.511068","P62","EC0008"
"Purine metabolism","80","13","2","6.6875","0.9953","0.99957","0.2439","89","0.89","1","1","0.511068","P63","EC00056;EC0008"
