p.value,m.z,t.score,r.t,pos_inx
4.24e-06,232.9759,8.975045921,5.687,0
1.6e-05,292.1577,8.330500637,0.516,1
1.8e-05,336.2167,-8.209961217,0.936,1
1.83e-05,261.0072,7.604975926,0.741,0
2.88e-05,234.1136,7.738548585,0.825,1
5.22e-05,232.0985,6.722077679,0.835,0
7.12e-05,292.1576,6.893111466,1.593,1
0.000109,269.1504,-6.145610803,0.514,0
0.000113,181.0805,-6.115769417,5.323,0
0.000126,338.2322,-6.396817999,0.863,1
0.000137,214.9867,5.971713712,1.03,0
0.000154,181.0718,-5.887803663,5.323,0
0.000165,213.9964,5.835448446,1.026,0
0.00018,227.0551,-5.770283505,5.703,0
0.000239,153.0193,5.566121571,3.42,0
0.000256,290.8472,5.811012266,5.298,1
0.000266,190.9655,5.488198285,2.104,0
0.000281,308.1524,5.737687222,4.919,1
0.000329,448.198,-5.338398724,0.564,0
0.000334,405.1259,-5.327938556,0.956,0
0.000369,271.1654,-5.522123815,0.513,1
0.000369,314.2326,-5.522813337,0.846,1
0.000479,190.9746,5.077879766,2.11,0
0.000592,367.1391,-4.934931329,0.519,0
0.000671,171.0765,-5.071413174,5.52,1
0.00074,88.0403,-4.785428126,6.143,0
0.000855,104.0706,-4.893551534,5.342,1
0.000894,288.2081,-4.861523519,1.122,1
0.000903,211.987,4.653379238,1.036,0
0.000906,284.1853,-4.851954896,1.366,1
0.000936,241.1294,-4.828549322,5.434,1
0.000938,196.0726,-4.628478152,6.012,0
0.000964,284.1854,-4.807094835,1.331,1
0.00104,144.0302,-4.562546846,5.659,0
0.00108,215.0018,4.539643932,1.171,0
0.00111,128.9597,4.517350415,5.323,0
0.00114,280.1183,4.688527186,0.99,1
0.00114,310.2019,-4.685957788,0.968,1
0.00114,485.1983,-4.502148708,9.408,0
0.00115,188.0705,4.680902019,0.471,1
0.00121,423.0586,4.464930673,7.921,0
0.00124,171.07653,-4.629970889,5.569,1
0.00129,86.06,-4.60229238,5.38,1
0.00129,263.005,4.423115294,0.777,0
0.00133,452.1908,-4.579944485,4.095,1
0.00141,279.0893,-4.367262965,4.848,0
0.00151,287.1598,-4.489894315,3.82,1
0.00153,537.2331,-4.313369574,0.562,0
0.00173,286.2017,-4.395569024,1.13,1
0.00173,328.248,-4.396763323,0.84,1
