"","m.z","r.t.","p.value","t.score","mode"
"1",232.9759,5.687,4.24e-06,8.975045921,"negative"
"2",292.1577,0.516,1.6e-05,8.330500637,"positive"
"3",336.2167,0.936,1.8e-05,-8.209961217,"positive"
"4",261.0072,0.741,1.83e-05,7.604975926,"negative"
"5",234.1136,0.825,2.88e-05,7.738548585,"positive"
"6",232.0985,0.835,5.22e-05,6.722077679,"negative"
"7",292.1576,1.593,7.12e-05,6.893111466,"positive"
"8",269.1504,0.514,0.000109,-6.145610803,"negative"
"9",181.0805,5.323,0.000113,-6.115769417,"negative"
"10",338.2322,0.863,0.000126,-6.396817999,"positive"
"11",214.9867,1.03,0.000137,5.971713712,"negative"
"12",181.0718,5.323,0.000154,-5.887803663,"negative"
"13",213.9964,1.026,0.000165,5.835448446,"negative"
"14",227.0551,5.703,0.00018,-5.770283505,"negative"
"15",153.0193,3.42,0.000239,5.566121571,"negative"
"16",290.8472,5.298,0.000256,5.811012266,"positive"
"17",190.9655,2.104,0.000266,5.488198285,"negative"
"18",308.1524,4.919,0.000281,5.737687222,"positive"
"19",448.198,0.564,0.000329,-5.338398724,"negative"
"20",405.1259,0.956,0.000334,-5.327938556,"negative"
"21",271.1654,0.513,0.000369,-5.522123815,"positive"
"22",314.2326,0.846,0.000369,-5.522813337,"positive"
"23",190.9746,2.11,0.000479,5.077879766,"negative"
"24",367.1391,0.519,0.000592,-4.934931329,"negative"
"25",171.0765,5.52,0.000671,-5.071413174,"positive"
"26",88.0403,6.143,0.00074,-4.785428126,"negative"
"27",104.0706,5.342,0.000855,-4.893551534,"positive"
"28",288.2081,1.122,0.000894,-4.861523519,"positive"
"29",211.987,1.036,0.000903,4.653379238,"negative"
"30",284.1853,1.366,0.000906,-4.851954896,"positive"
"31",241.1294,5.434,0.000936,-4.828549322,"positive"
"32",196.0726,6.012,0.000938,-4.628478152,"negative"
"33",284.1854,1.331,0.000964,-4.807094835,"positive"
"34",144.0302,5.659,0.00104,-4.562546846,"negative"
"35",215.0018,1.171,0.00108,4.539643932,"negative"
"36",128.9597,5.323,0.00111,4.517350415,"negative"
"37",280.1183,0.99,0.00114,4.688527186,"positive"
"38",310.2019,0.968,0.00114,-4.685957788,"positive"
"39",485.1983,9.408,0.00114,-4.502148708,"negative"
"40",188.0705,0.471,0.00115,4.680902019,"positive"
"41",423.0586,7.921,0.00121,4.464930673,"negative"
