m.z,r.t.,p.value,t.score,mode
232.9759,5.687,4.24E-06,8.975045921,negative
292.1577,0.516,1.60E-05,8.330500637,positive
336.2167,0.936,1.80E-05,-8.209961217,positive
261.0072,0.741,1.83E-05,7.604975926,negative
234.1136,0.825,2.88E-05,7.738548585,positive
232.0985,0.835,5.22E-05,6.722077679,negative
292.1576,1.593,7.12E-05,6.893111466,positive
269.1504,0.514,1.09E-04,-6.145610803,negative
181.0805,5.323,1.13E-04,-6.115769417,negative
338.2322,0.863,1.26E-04,-6.396817999,positive
214.9867,1.03,1.37E-04,5.971713712,negative
181.0718,5.323,1.54E-04,-5.887803663,negative
213.9964,1.026,1.65E-04,5.835448446,negative
227.0551,5.703,1.80E-04,-5.770283505,negative
153.0193,3.42,2.39E-04,5.566121571,negative
290.8472,5.298,2.56E-04,5.811012266,positive
190.9655,2.104,2.66E-04,5.488198285,negative
308.1524,4.919,2.81E-04,5.737687222,positive
448.198,0.564,3.29E-04,-5.338398724,negative
405.1259,0.956,3.34E-04,-5.327938556,negative
271.1654,0.513,3.69E-04,-5.522123815,positive
314.2326,0.846,3.69E-04,-5.522813337,positive
190.9746,2.11,4.79E-04,5.077879766,negative
367.1391,0.519,5.92E-04,-4.934931329,negative
171.0765,5.52,6.71E-04,-5.071413174,positive
88.0403,6.143,7.40E-04,-4.785428126,negative
104.0706,5.342,8.55E-04,-4.893551534,positive
288.2081,1.122,8.94E-04,-4.861523519,positive
211.987,1.036,9.03E-04,4.653379238,negative
284.1853,1.366,9.06E-04,-4.851954896,positive
241.1294,5.434,9.36E-04,-4.828549322,positive
196.0726,6.012,9.38E-04,-4.628478152,negative
284.1854,1.331,9.64E-04,-4.807094835,positive
144.0302,5.659,0.00104,-4.562546846,negative
215.0018,1.171,0.00108,4.539643932,negative
128.9597,5.323,0.00111,4.517350415,negative
280.1183,0.99,0.00114,4.688527186,positive
310.2019,0.968,0.00114,-4.685957788,positive
485.1983,9.408,0.00114,-4.502148708,negative
188.0705,0.471,0.00115,4.680902019,positive
423.0586,7.921,0.00121,4.464930673,negative
171.0765,5.569,0.00124,-4.629970889,positive
86.06,5.38,0.00129,-4.60229238,positive
263.005,0.777,0.00129,4.423115294,negative
452.1908,4.095,0.00133,-4.579944485,positive
279.0893,4.848,0.00141,-4.367262965,negative
287.1598,3.82,0.00151,-4.489894315,positive
537.2331,0.562,0.00153,-4.313369574,negative
286.2017,1.13,0.00173,-4.395569024,positive
328.248,0.84,0.00173,-4.396763323,positive
217.0487,5.68,0.00177,-4.220061955,negative
330.2273,1.14,0.00184,-4.354117332,positive
248.1491,4.879,0.00189,-4.333868773,positive
208.976,0.787,0.00189,4.180444843,negative
175.0713,5.433,0.00194,-4.317463325,positive
478.1159,4.716,0.002,-4.142738564,negative
300.0393,5.464,0.00201,-4.139391989,negative
163.0403,0.951,0.00211,4.110199554,negative
324.2159,0.482,0.00226,4.213896974,positive
217.1647,5.35,0.00232,-4.195395416,positive
205.1261,3.722,0.00234,-4.189219423,positive
236.0232,7.803,0.00237,-4.038217978,negative
255.0974,5.375,0.00244,-4.161984115,positive
595.3413,0.521,0.00244,-4.019867884,negative
121.0647,3.848,0.00254,-4.135149623,positive
167.0461,5.457,0.00254,-3.994418667,negative
139.0398,0.519,0.00257,3.987884141,negative
531.0967,3.961,0.00264,3.970264154,negative
325.0944,5.667,0.00274,-3.948424314,negative
286.2017,0.511,0.00295,-4.035445572,positive
313.0919,5.697,0.00298,3.895896818,negative
287.0519,6.124,0.00305,-3.882670741,negative
259.0568,7.075,0.00322,-3.849405563,negative
217.0575,5.682,0.00336,-3.82182684,negative
217.1548,5.348,0.00353,-3.916129826,positive
201.1356,7.005,0.00354,-3.789853168,negative
595.3943,0.51,0.00381,-3.865753651,positive
167.0727,0.556,0.00382,3.864946255,positive
288.1598,0.546,0.00406,-3.824176701,positive
146.1176,5.061,0.00426,-3.793196696,positive
141.0661,5.379,0.00427,-3.791238669,positive
146.1176,5.027,0.00443,-3.76732808,positive
221.1607,4.761,0.00449,-3.758999294,positive
288.2166,0.952,0.00454,-3.752666321,positive
208.0968,0.848,0.0046,3.743825811,positive
135.0299,6.065,0.00464,-3.626117115,negative
168.078,7.818,0.00476,-3.610628791,negative
319.1647,0.799,0.00484,-3.710179809,positive
154.9986,7.909,0.00492,-3.591281471,negative
248.0955,0.541,0.00504,3.576226175,negative
147.0474,4.904,0.0051,-3.677091135,positive
230.1247,5.055,0.00519,-3.665008441,positive
300.127,0.553,0.00535,-3.540881286,negative
369.1547,0.523,0.00544,-3.53068235,negative
452.1919,4.102,0.00563,-3.510031089,negative
528.263,4.027,0.00566,-3.506635191,negative
347.0747,6.014,0.00568,-3.505026183,negative
288.216,0.509,0.00571,-3.604636621,positive
591.3172,0.523,0.00598,3.473962923,negative
143.0816,5.378,0.00608,-3.564336375,positive
262.1284,5.3,0.00622,-3.550040072,positive
369.1208,5.681,0.00625,-3.447382594,negative
284.0796,7.959,0.00634,3.537635238,positive
258.1102,6.605,0.00654,-3.517172568,positive
337.0561,4.657,0.00656,3.418473274,negative
215.0731,0.557,0.00672,-3.404511924,negative
152.0354,1.011,0.00685,3.393438685,negative
356.2428,0.932,0.00695,-3.479152966,positive
307.044,4.081,0.00702,-3.472836717,positive
226.082,3.788,0.00708,-3.467433356,positive
286.2374,0.512,0.00726,-3.450910331,positive
144.102,5.362,0.00727,-3.450185598,positive
119.0352,5.013,0.00737,-3.349434358,negative
197.0541,1.058,0.00743,-3.344875987,negative
304.158,0.542,0.00745,-3.343192179,negative
319.1651,2.866,0.00761,-3.421448199,positive
449.1074,3.962,0.00767,3.416659099,positive
383.1703,0.521,0.00768,3.325500001,negative
302.1426,0.553,0.00772,-3.322398283,negative
244.1655,7.349,0.00781,-3.404735841,positive
264.0545,5.686,0.00785,-3.311858506,negative
146.0925,2.629,0.00797,-3.392113692,positive
365.1096,4.1,0.00797,-3.303498366,negative
139.0069,4.58,0.00834,-3.276324955,negative
294.1347,0.513,0.00837,-3.274104263,negative
447.0927,4.077,0.00838,3.273381406,negative
128.0819,2.693,0.00844,-3.356189496,positive
206.082,0.895,0.00845,3.268915915,negative
210.0882,5.677,0.00858,-3.259369234,negative
239.1389,6.704,0.00868,-3.338592794,positive
339.065,3.661,0.00878,-3.245851857,negative
365.1351,6.514,0.009,-3.231563986,negative
432.1425,4.299,0.00906,-3.227586754,negative
360.1841,0.558,0.00934,-3.209337447,negative
349.1248,5.438,0.00946,-3.201938619,negative
287.0951,0.56,0.00952,3.198011589,negative
358.1317,0.569,0.00956,-3.277709865,positive
240.9658,1.039,0.00958,3.194699939,negative
302.1959,1.349,0.00962,-3.273881698,positive
450.1766,4.114,0.00963,-3.191536225,negative
425.1157,3.412,0.00967,3.188796821,negative
342.2272,1.198,0.0097,-3.268639853,positive
245.0768,4.431,0.0101,-3.242893787,positive
366.1391,7.934,0.0101,-3.244839836,positive
660.2145,1.234,0.0101,-3.162592722,negative
204.1343,4.98,0.0102,-3.238612267,positive
179.0561,5.436,0.0103,-3.152844206,negative
123.0553,5,0.0106,-3.214181858,positive
342.2272,1.218,0.0107,-3.205097904,positive
299.069,6.097,0.0109,-3.119640002,negative
462.1763,3.681,0.011,-3.113172264,negative
232.0283,5.427,0.0111,-3.106049864,negative
355.1046,5.684,0.0112,-3.103505786,negative
399.095,6.659,0.0112,-3.100362879,negative
183.1025,0.808,0.0113,3.099606021,negative
316.2476,0.839,0.0114,-3.168588059,positive
243.0712,4.454,0.0115,-3.089375067,negative
419.1429,3.43,0.0115,-3.087906912,negative
255.11,5.346,0.0116,-3.159110731,positive
592.152,1.844,0.0117,-3.075057427,negative
215.1391,5.03,0.0118,-3.145033065,positive
196.0283,4.94,0.0119,-3.06513008,negative
215.139,5.001,0.012,-3.134438175,positive
531.3637,0.503,0.012,-3.134630864,positive
310.1153,3.36,0.012,-3.060233258,negative
260.0231,7.103,0.0121,-3.056787497,negative
345.1054,8.017,0.0122,-3.124148893,positive
285.0453,5.683,0.0122,-3.051386833,negative
308.0775,5.457,0.0122,-3.053842431,negative
297.134,0.497,0.0124,-3.042791796,negative
348.1105,4.903,0.0124,-3.041040658,negative
139.0513,5.435,0.0125,-3.038952314,negative
299.1246,5.173,0.0128,-3.024585835,negative
632.2037,7.803,0.0128,-3.025480355,negative
192.9813,2.941,0.0129,3.02095326,negative
236.0772,0.506,0.0129,3.021555717,negative
279.1553,8.49,0.0132,-3.078010825,positive
255.145,7.703,0.0133,-3.074472107,positive
222.1131,0.844,0.0133,-3.003964282,negative
323.1456,9.146,0.0133,-3.003562482,negative
203.1478,5.105,0.0134,-3.066525053,positive
361.1498,0.533,0.0134,-2.996458381,negative
578.1363,1.547,0.0134,-2.997232011,negative
200.107,1.003,0.0135,-3.061132466,positive
239.1389,6.713,0.0135,-3.062724362,positive
350.1635,0.57,0.0136,-2.989602504,negative
513.2981,0.528,0.0142,-3.031738151,positive
445.207,3.608,0.0142,-2.964340272,negative
490.1469,4.11,0.0143,-3.027561859,positive
166.0861,4.404,0.0144,-3.021759747,positive
327.089,3.629,0.0145,-2.949676291,negative
254.1498,4.993,0.0149,-3.0036667,positive
376.2119,0.518,0.0149,-2.937382917,negative
170.0932,7.795,0.015,-2.997842872,positive
243.1343,0.515,0.0151,-2.928826145,negative
229.1547,3.637,0.0152,-2.991651459,positive
304.2115,1.134,0.0153,-2.987318209,positive
151.0612,4.846,0.0156,-2.909822013,negative
220.1182,0.536,0.0157,2.969718392,positive
258.0611,5.695,0.0158,-2.900550625,negative
205.0684,5.668,0.0159,-2.964222591,positive
168.0862,7.82,0.016,-2.893945315,negative
243.0624,4.458,0.0163,-2.882632764,negative
242.1402,1.026,0.0165,-2.940876609,positive
286.2373,0.511,0.0165,-2.93922809,positive
188.0351,4.457,0.0165,-2.875740408,negative
481.2437,3.36,0.0165,-2.877528364,negative
99.0451,1.601,0.0165,-2.877404072,negative
115.0866,4.961,0.0166,-2.936460041,positive
417.1978,7.183,0.0166,-2.93534965,positive
289.0147,2.488,0.0166,-2.872179238,negative
454.2063,4.046,0.0168,-2.927143667,positive
192.0743,6.855,0.0169,-2.924157335,positive
218.1387,2.855,0.0169,-2.925119409,positive
104.0818,4.801,0.017,-2.919662572,positive
298.0967,1.246,0.017,2.921276612,positive
452.1921,0.558,0.017,-2.858976256,negative
209.0675,0.96,0.0171,-2.854420967,negative
341.1704,5.083,0.0172,2.913627462,positive
433.2361,4.762,0.0172,-2.914352162,positive
445.1477,3.493,0.0176,-2.837113023,negative
475.2465,3.874,0.0177,-2.896398952,positive
162.1129,5.651,0.0179,-2.888084161,positive
219.0611,7.946,0.0179,-2.888518196,positive
230.9967,1.606,0.0179,2.830057236,negative
171.0662,0.928,0.0181,-2.822722405,negative
227.1263,3.423,0.0183,-2.876517429,positive
202.1187,4.623,0.0184,-2.871549127,positive
369.2493,7.282,0.0184,-2.873541826,positive
181.0368,3.602,0.0187,-2.802838438,negative
231.9927,3.013,0.0188,-2.800986915,negative
245.0465,2.156,0.0189,-2.796573705,negative
304.129,4.045,0.019,-2.852933608,positive
275.1025,4.835,0.0192,2.845506424,positive
241.0948,5.126,0.0194,-2.840521176,positive
231.1702,5.351,0.0196,-2.833330275,positive
302.1415,0.545,0.0196,-2.834268656,positive
318.0761,2.4,0.0197,-2.773174491,negative
370.1324,0.553,0.0198,-2.770219833,negative
227.1262,3.586,0.0199,-2.823652565,positive
538.0701,3.804,0.0199,-2.766604413,negative
285.1557,7.39,0.0201,-2.818318431,positive
356.1167,0.565,0.0201,-2.762155413,negative
462.1765,0.536,0.0201,-2.761015727,negative
513.2982,4.083,0.0202,-2.814766511,positive
357.2497,7.349,0.0203,-2.811474179,positive
181.0504,3.057,0.0203,-2.755936621,negative
339.0737,6.209,0.0203,-2.755992454,negative
306.0641,1.47,0.0204,-2.808756639,positive
171.043,3.694,0.0205,-2.750632697,negative
539.2492,4.084,0.0207,-2.744102746,negative
288.0526,5.655,0.0208,-2.741068891,negative
334.1252,7.52,0.0208,-2.740262921,negative
387.1794,0.529,0.0209,-2.737357699,negative
491.2414,4.923,0.0211,-2.789799606,positive
229.1548,5.62,0.0214,-2.780625762,positive
302.1348,8.135,0.0214,-2.778629603,positive
350.0879,4.725,0.0214,-2.72377564,negative
392.1204,3.651,0.0214,-2.723942468,negative
481.2435,0.53,0.0214,-2.723024523,negative
286.146,3.481,0.0215,-2.775827987,positive
317.1237,0.522,0.0215,-2.722513732,negative
401.194,3.928,0.0217,2.71629402,negative
262.0379,7.079,0.0218,-2.767571165,positive
246.1703,1.784,0.0219,-2.765566206,positive
465.2489,0.518,0.0219,-2.711792976,negative
299.135,8.024,0.0221,-2.759846377,positive
212.0199,7.051,0.0221,-2.705095245,negative
169.0608,5.613,0.0223,-2.753576279,positive
217.1079,1,0.0223,-2.69941275,negative
182.081,1.497,0.0225,2.749538409,positive
262.9863,5.091,0.0226,-2.692490727,negative
493.2431,0.524,0.0226,-2.691545266,negative
323.0573,0.537,0.0227,-2.688892054,negative
162.1128,5.221,0.0231,-2.732221763,positive
204.123,1.344,0.0232,-2.730245615,positive
287.0407,5.683,0.0233,2.674466037,negative
123.0542,0.96,0.0234,2.671364814,negative
