"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Fructose and mannose metabolism",33,8,7,0.02491,0.06186,0.01152
"Carnitine shuttle",72,3,3,0.0095,0.4286,0.02649
"Glutathione Metabolism",19,5,4,0.0095,1,0.05376
"Methionine and cysteine metabolism",94,11,3,0.233,0.08,0.09286
"Electron transport chain",7,1,1,0.236,0.09615,0.1086
"Fatty acid oxidation",35,1,1,0.236,0.09615,0.1086
"Ubiquinone Biosynthesis",10,7,3,0.5018,0.07216,0.1564
"Galactose metabolism",41,21,13,0.1684,0.2323,0.1659
"Alkaloid biosynthesis II",10,3,2,0.04269,0.9762,0.1741
"Vitamin B9 (folate) metabolism",33,2,1,0.1403,0.3038,0.1771
"Phosphatidylinositol phosphate metabolism",59,8,5,0.648,0.07,0.1857
"Saturated fatty acids beta-oxidation",36,1,1,0.05539,0.9403,0.206
"N-Glycan Degradation",16,6,5,0.0606,0.8866,0.2108
"Sialic acid metabolism",107,19,10,0.09523,0.6465,0.2332
"N-Glycan biosynthesis",48,7,3,0.4325,0.1443,0.2355
"CoA Catabolism",7,2,1,0.5549,0.1266,0.2568
"Vitamin B5 - CoA biosynthesis from pantothenate",12,2,1,0.5549,0.1266,0.2568
"Hexose phosphorylation",20,12,7,0.1904,0.42,0.282
"Glutamate metabolism",15,8,5,0.08598,1,0.2969
"D4&E4-neuroprostanes formation",37,2,1,0.8029,0.1075,0.2978
"Biopterin metabolism",22,8,4,0.09133,1,0.3099
"Pyrimidine metabolism",70,15,9,0.09523,1,0.3192
"Nitrogen metabolism",6,2,2,0.1469,0.7957,0.3677
"Tryptophan metabolism",94,39,18,0.121,1,0.3766
"Pentose and Glucuronate Interconversions",15,9,7,0.6933,0.202,0.4154
"Keratan sulfate degradation",68,4,3,0.1907,0.7629,0.4259
"Vitamin B6 (pyridoxine) metabolism",11,5,1,0.8858,0.1702,0.436
"Aminosugars metabolism",69,10,4,0.1513,1,0.4371
"Vitamin E metabolism",54,4,1,0.6605,0.25,0.4625
"Heparan sulfate degradation",34,5,2,0.9385,0.19,0.4858
"Glycosphingolipid metabolism",67,8,5,0.1907,0.9485,0.4902
"Glycerophospholipid metabolism",156,11,5,0.5291,0.3535,0.5006
"Beta-Alanine metabolism",20,6,3,0.1907,1,0.5067
"Chondroitin sulfate degradation",37,5,2,0.9038,0.2121,0.5084
"Alanine and Aspartate Metabolism",30,11,6,0.2163,0.8866,0.5085
"Aspartate and asparagine metabolism",114,38,20,0.1919,1,0.5087
"Putative anti-Inflammatory metabolites formation from EPA",27,7,1,0.238,0.8214,0.5145
"Fatty Acid Metabolism",63,5,1,0.433,0.5484,0.5789
"Prostaglandin formation from arachidonate",78,25,3,0.6798,0.3505,0.58
"Pentose phosphate pathway",37,13,8,0.2444,1,0.5888
"Arachidonic acid metabolism",95,18,2,0.2863,0.9468,0.6249
"Starch and Sucrose Metabolism",33,8,3,0.5206,0.5368,0.6358
"Caffeine metabolism",11,10,10,0.2859,1,0.6439
"Selenoamino acid metabolism",35,6,1,0.8029,0.4086,0.6937
"Histidine metabolism",33,13,5,0.329,1,0.6948
"Arginine and Proline Metabolism",45,19,7,0.3312,1,0.6972
"Glycosphingolipid biosynthesis - globoseries",16,3,1,0.5206,0.7368,0.7511
"Urea cycle/amino group metabolism",85,30,9,0.4319,1,0.7945
"Tyrosine metabolism",160,53,21,0.4553,1,0.8135
"Vitamin B3 (nicotinate and nicotinamide) metabolism",28,8,3,0.5453,0.85,0.8199
"Lysine metabolism",52,17,3,0.6238,0.7677,0.8315
"Linoleate metabolism",46,15,8,0.5453,1,0.876
"Valine, leucine and isoleucine degradation",65,9,2,0.5667,1,0.8885
"Glycolysis and Gluconeogenesis",49,8,3,0.7256,0.7835,0.8896
"Xenobiotics metabolism",110,19,3,0.9385,0.61,0.8918
"Glyoxylate and Dicarboxylate Metabolism",12,1,1,0.6605,0.881,0.897
"Glycine, serine, alanine and threonine metabolism",88,24,8,0.5881,1,0.9003
"Drug metabolism - cytochrome P450",53,14,6,0.6798,1,0.9422
"Glycosphingolipid biosynthesis - ganglioseries",62,5,2,0.8499,0.8105,0.9456
"Purine metabolism",80,22,7,0.7123,1,0.954
"3-oxo-10R-octadecatrienoate beta-oxidation",27,8,2,0.7256,1,0.9583
"Ascorbate (Vitamin C) and Aldarate Metabolism",29,17,10,0.7864,1,0.9754
"Butanoate metabolism",34,13,2,0.8381,1,0.9861
"TCA cycle",31,8,2,0.8803,1,0.9925
"Leukotriene metabolism",92,19,2,0.8883,1,0.9935
"Porphyrin metabolism",43,7,2,0.9612,1,0.9992
"C21-steroid hormone biosynthesis and metabolism",112,21,3,0.9905,1,1
"Androgen and estrogen biosynthesis and metabolism",95,20,2,0.9977,1,1
