"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Carnitine shuttle","72","3","3","1.8488","0.009505","0.055752","0.0039189","0","0","0.64634","1","0.2664852","P1","EC000557;EC000558;EC000120;EC000121;EC000551"
"Glutathione Metabolism","19","5","4","1.8488","0.009505","0.055752","0.0039189","1","0.01","0.64634","1","0.2664852","P2","EC000274;EC0009;EC00010;EC00055;EC00020"
"Fructose and mannose metabolism","33","8","7","2.9052","0.02491","0.088797","0.0041228","2","0.02","1","1","0.2721048","P3","EC000231;EC00015;EC00012;EC000200;EC000201;EC000213"
"Alkaloid biosynthesis II","10","3","2","1.0565","0.042694","0.23497","0.0043723","6","0.06","1","1","0.2841995","P4","EC000259;EC000260;EC000430"
"Saturated fatty acids beta-oxidation","36","1","1","0.52823","0.055388","0.41393","0.0045601","12","0.12","1","1","0.2918464","P5","EC000120;EC000121"
"N-Glycan Degradation","16","6","5","3.4335","0.060597","0.16561","0.0046396","8","0.08","1","1","0.2922948","P6","EC00012;EC00015;EC000175;EC000107;EC000108;EC000231"
"Glutamate metabolism","15","8","5","3.6976","0.08598","0.21136","0.0050486","6","0.06","1","1","0.3130132","P7","EC0009;EC00010;EC00055;EC00020;EC000125;EC00027"
"Biopterin metabolism","22","8","4","2.9052","0.091332","0.24272","0.0051396","7","0.07","1","1","0.3135156","P8","EC000213;EC000345;EC00037;EC00040;EC00041"
"Sialic acid metabolism","107","19","10","5.5464","0.095226","0.19919","0.0052069","6","0.06","1","1","0.3135156","P9","EC000355;EC00015;EC00012;EC000268;EC000107;EC000108;EC00088;EC000342"
"Pyrimidine metabolism","70","15","9","5.5464","0.095226","0.19919","0.0052069","4","0.04","1","1","0.3135156","P10","EC00027;EC000138;EC0009;EC00010;EC000125;EC00020;EC000114;EC000155"
"Tryptophan metabolism","94","39","18","14.526","0.12101","0.18844","0.0056771","15","0.15","1","1","0.3292718","P11","EC0009;EC00010;EC000387;EC00036;EC000227;EC000254;EC00049;EC000410;EC000501;EC000269;EC000541;EC000182;EC000482;EC00015;EC000223;EC000266;EC00020"
"Vitamin B9 (folate) metabolism","33","2","1","0.79234","0.14032","0.5517","0.0060587","16","0.16","1","1","0.3453459","P12","EC0009;EC00010"
"Nitrogen metabolism","6","2","2","1.5847","0.14686","0.42867","0.0061941","7","0.07","1","1","0.3468696","P13","EC0009;EC00010;EC00027"
"Aminosugars metabolism","69","10","4","4.2258","0.15134","0.31223","0.0062886","6","0.06","1","1","0.3468696","P14","EC0009;EC00010;EC00027;EC000107;EC000108;EC000175"
"Galactose metabolism","41","21","13","5.2823","0.16845","0.31797","0.0066642","12","0.12","1","1","0.3598668","P15","EC00015;EC000355;EC00088;EC00012;EC000200;EC000201;EC000175"
"Hexose phosphorylation","20","12","7","4.4899","0.19044","0.36508","0.0071828","24","0.24","1","1","0.3806884","P16","EC00012;EC00015;EC000400;EC00074;EC000200;EC000201"
"Keratan sulfate degradation","68","4","3","2.6411","0.1907","0.42694","0.0071892","21","0.21","1","1","0.3806884","P17","EC00015;EC000107;EC000108;EC000231"
"Glycosphingolipid metabolism","67","8","5","2.6411","0.1907","0.42694","0.0071892","18","0.18","1","1","0.3806884","P18","EC00015;EC000107;EC000108;EC00012"
"Beta-Alanine metabolism","20","6","3","2.6411","0.1907","0.42694","0.0071892","22","0.22","1","1","0.3806884","P19","EC0009;EC00010;EC000125;EC00020"
"Aspartate and asparagine metabolism","114","38","20","12.413","0.1919","0.28939","0.0072186","11","0.11","1","1","0.3806884","P20","EC0009;EC00010;EC000145;EC000232;EC000274;EC000477;EC00035;EC000221;EC000125;EC00027;EC000333;EC000311;EC000312;EC00055"
"Alanine and Aspartate Metabolism","30","11","6","3.6976","0.21634","0.42282","0.0078494","12","0.12","1","1","0.3806884","P21","EC0009;EC00010;EC000221;EC00027;EC00020"
"Methionine and cysteine metabolism","94","11","3","4.754","0.23297","0.41815","0.0083123","15","0.15","1","1","0.3906781","P22","EC0009;EC00010;EC00075;EC00076;EC00077;EC00055"
"Electron transport chain","7","1","1","0.26411","0.23604","1","0.0084009","10","0.1","1","1","0.3906781","P23","EC000138"
"Fatty acid oxidation","35","1","1","0.26411","0.23604","1","0.0084009","10","0.1","1","1","0.3906781","P24","EC000138"
"Putative anti-Inflammatory metabolites formation from EPA","27","7","1","1.0565","0.23795","0.65728","0.0084567","26","0.26","1","1","0.3906781","P25","EC0009;EC00010"
"Pentose phosphate pathway","37","13","8","5.8105","0.24442","0.41336","0.0086481","30","0.3","1","1","0.3906781","P26","EC00051;EC000281;EC00094;EC00098;EC00088;EC00012;EC00015"
"Caffeine metabolism","11","10","10","6.0746","0.28594","0.46091","0.0099946","27","0.27","1","1","0.4197732","P27","EC00012;EC00015;EC000460;EC000281;EC00098;EC000362;EC000457"
"Arachidonic acid metabolism","95","18","2","2.1129","0.28626","0.59395","0.010006","17","0.17","1","1","0.4197732","P28","EC0009;EC00010;EC00055"
